,vacuum_cleaners_(excl._professional),"household_heating_&_ventilation_(f.i._hoods,_ventilators,_space_heaters)",air_conditioners_(household_installed_and_portable),cathode_ray_tube_monitors,"lamps_(f.i._pocket,_christmas,_excl._led_&_incandescent)","household_tools_(f.i._drills,_saws,_high_pressure_cleaners,_lawn_mowers)",fridges_(incl._combi-fridges),"professional_monitoring_&_control_(f.i._laboratory,_control_panels)","microwaves_(incl._combined,_excl._grills)","professional_cooling_(f.i._large_airconditioners,_cooling_displays)",household_luminaires_(incl._household_incandescent_fittings),speakers,"small_it_(f.i._routers,_mice,_keyboards,_external_drives_&_accessoires)",professional_heating_&_ventilation_(excl._cooling_equipment),"professional_medical_(f.i._hospital,_dentist,_diagnostics)",washing_machines_(incl._combined_dryers),"household_monitoring_&_control_(alarm,_heat,_smoke,_excl._screens)",laptops_(incl._tablets),"personal_care_(f.i._tooth_brushes,_hair_dryers,_razors)","hot_water_(f.i._coffee,_tea,_water_cookers)","food_(f.i._toaster,_grills,_food_processing,_frying_pans)","music_instruments,_radio,_hifi_(incl._audio_sets)","telecom_(f.i._(cordless)_phones,_answering_machines)","toys_(f.i._car_racing_sets,_electric_trains,_music_toys,_biking_computers)","other_small_household_(f.i._small_ventilators,_irons,_clocks,_adapters)","leisure_(f.i._large_exercise,_sports_equipment)","video_(f.i._video_recorders,_dvd,_blue_ray,_set-top_boxes)","flat_display_panel_monitors_(lcd,_led)","professional_it_(f.i._servers,_routers,_data_storage,_copiers)","desktop_pcs_(excl._monitors,_accessoires)","kitchen_(f.i._large_furnaces,_ovens,_cooking_equipment)","small_consumer_electronics_(f.i._headphones,_remote_controls)","printers_(f.i._scanners,_multifunctionals,_faxes)","portable_audio_&_video_(f.i._mp3,_e-readers,_car_navigation)","cameras_(f.i._camcorders,_foto_&_digital_still_cameras)","professional_tools_(f.i._for_welding,_soldering,_milling)","professional_luminaires_(offices,_public_space,_industry)","mobile_phones_(incl._smartphones,_pagers)","flat_display_panel_tvs_(lcd,_led,_plasma)",cathode_ray_tube_tvs,"non_cooled_dispensers_(f.i._for_vending,_hot_drinks,_tickets,_money)",freezers,"dryers_(wash_dryers,_centrifuges)","cooled_dispensers_(f.i._for_vending,_cold_drinks)",straight_tube_fluorescent_lamps,"special_lamps_(f.i._professional_mercury,_high_&_low_pressure_sodium)",dishwashers,"household_medical_(f.i._thermometers,_blood_pressure_meters)","other_cooling_(f.i._dehumidifiers,_heat_pump_dryers)"
China,514251.064,365317.413,1768798.224,5454.999,179101.204,868926.899,427856.716,30758.599,745683.074,453168.263,1122454.37,349158.087,130750.276,15328.107,29788.191,1123027.462,953251.066,579676.603,207700.689,339079.72,1137443.506,759072.334,46452.992,3244489.994,1350136.471,53329.414,194301.631,605221.101,60736.736,225241.003,796781.749,206613.869,437905.947,215920.913,105099.485,230719.592,852296.465,361125.854,507804.902,17341.42,2571.467,675568.642,120679.524,6264.412,16032.914,88379.114,171624.309,632.73,37735.563
Germany,84906.384,34727.269,23464.554,306.842,2686.084,114107.381,53333.163,3799.827,13661.391,62238.576,50031.309,16914.861,21265.404,3265.336,21886.005,127433.69,128166.485,22218.454,21910.386,36166.98,45432.669,72350.516,7676.581,161267.75,65430.646,6060.354,15233.45,25959.207,10126.065,31256.5,135915.372,7997.016,99683.066,5754.055,6512.852,29540.72,32174.069,7272.614,12224.454,560.7429999999999,720.3919999999999,19785.400999999998,30156.735,1830.339,2983.896,2923.433,113672.993,231.549,19936.422
Mexico,13067.397,18196.576,74722.785,19.227,296.766,46563.722,15324.527,13104.473,192.535,94174.82800000001,67488.686,14862.313,9172.756,9.163,3757.051,108722.879,762852.399,1873.9589999999998,457.023,47721.077999999994,18001.013,84899.257,3560.634,62186.446,6561.72,917.185,6365.039,12392.881,5180.664000000001,106919.085,48793.038,4907.6089999999995,13862.446999999998,2837.957,2133.411,26749.631999999998,19573.785999999996,424.362,453020.671,0.551,29.764000000000003,3445.2680000000005,113306.406,115.14000000000001,27.714,195.489,12.15,107.505,4228.6630000000005
Viet Nam,34071.73,1018.6610000000001,864.682,633.7850000000001,105.052,36853.549,19153.112,80.27,105.021,2765.6000000000004,11014.937,22087.27,5916.19,355.52,645.488,163549.532,33079.624,16176.017,758.979,7234.617,1180.502,58298.536,2878.279,125495.821,44562.474,548.032,9581.271,25505.672000000002,7282.827,2085.634,1335.566,22690.196,209367.791,7164.4800000000005,6660.369,19381.499,6664.597,50858.496,94367.954,943.977,313.831,8096.3460000000005,57.25,3.1719999999999997,47.754999999999995,1196.93,2.908,394.608,36.949
USA,8435.781,6536.076,47650.923,725.765,1486.462,19567.519,10760.315,3984.886,4641.931,84179.014,10418.887,8874.614,19355.22,1813.521,96872.928,68131.784,198390.756,9138.976,4907.621,21053.740999999998,25357.981,50257.799,4774.089,65763.703,19596.153,2942.347,29691.885000000002,14928.788,3266.9649999999997,32428.695,41779.236,6644.445,19219.414,2737.456,4044.346,72359.982,15136.204,9294.985,31871.935,3804.819,1152.097,18545.853,22725.478,2332.245,997.033,1920.115,25093.621,131.739,5068.217000000001
Netherlands,12031.865,6261.1720000000005,19732.135,551.237,939.345,14185.323,14257.903,1364.751,8054.013,17521.605,17983.814,17870.400999999998,24632.986,1621.191,9374.231,18210.902,38799.523,41951.149,8194.594,20432.302,18743.291999999998,61135.82,5209.675,82028.178,24294.079,4349.637,18439.197,69631.37,5113.557,33306.08,16669.091,8521.533,62770.373,2267.849,4420.2,7381.17,14923.829,11739.535,28248.293,83.634,142.824,7734.525,4180.631,1515.569,247.825,1350.317,4713.661,183.93,1796.084
Thailand,5984.1,973.264,352164.207,744.319,189.282,4400.271,60997.086,826.706,26917.927,26144.948,2347.061,1957.445,94866.81700000001,258.695,258.072,286179.476,77275.424,717.515,3961.71,7630.934,2773.845,36023.013,1859.605,23591.556,24645.71,10.782,8425.302,4360.525,9760.511,828.172,71170.89600000001,1413.321,182538.073,883.802,5966.169,548.475,1938.294,2365.4120000000003,16991.206000000002,4.335,399.14399999999995,19677.646,9690.046,24.914,87.785,1102.271,17791.032,7.638999999999999,2743.771
"Other Asia, nes",1001.714,5428.818,1734.346,139.317,521.304,6287.237,179.953,351.41499999999996,28.549,5330.112,3860.261,2466.265,23896.848,1637.936,917.083,194.425,100662.45,10506.514000000001,862.888,1322.402,3548.554,57933.345,1612.483,26773.771,43387.114,242.001,15319.688,16075.242,2628.7529999999997,31846.592,1047.992,3236.332,4050.431,1793.016,5802.325,173.873,6407.231,1043.216,14921.519999999999,17.454,287.986,1166.211,303.928,38.038,491.704,208.518,4.4,3.1270000000000002,24.102
Malaysia,90517.60500000001,18460.368,70698.85,182.209,526.847,22300.429,1042.592,1901.583,90801.823,11699.098,3490.118,15072.216999999999,13134.860999999999,2561.2889999999998,1931.473,493.858,150786.598,1097.828,13239.774,14129.887,3475.754,50913.015,5518.715,16042.039999999999,20853.564,5559.076,13634.546,7388.973,7386.777,9871.637,27566.574,9344.988,37772.477999999996,16836.846999999998,479.975,68.509,2773.0609999999997,1136.294,59123.781,1022.5279999999999,7.404,3806.317,90.661,32.275,34.292,130.263,37.686,202.755,2660.598
Japan,1705.914,2973.38,13509.866,166.578,471.497,27338.468,12086.312,1372.19,789.5310000000001,10729.602,502.91700000000003,2348.511,2696.847,1314.192,7320.454,4037.431,133968.882,2641.7259999999997,1619.079,1314.916,5161.024,19036.887,848.937,25023.187,11192.868,2843.112,21828.284,12972.851,5629.827,2490.84,4109.387,5833.299000000001,50418.656,923.429,6793.163,7758.368,1646.088,1326.584,2635.491,59.335,180.904,8291.720000000001,1216.692,405.836,709.547,803.4449999999999,79.188,9.267,4006.032
