,vacuum_cleaners_(excl._professional),"household_heating_&_ventilation_(f.i._hoods,_ventilators,_space_heaters)",air_conditioners_(household_installed_and_portable),cathode_ray_tube_monitors,"lamps_(f.i._pocket,_christmas,_excl._led_&_incandescent)","household_tools_(f.i._drills,_saws,_high_pressure_cleaners,_lawn_mowers)",fridges_(incl._combi-fridges),"professional_monitoring_&_control_(f.i._laboratory,_control_panels)","microwaves_(incl._combined,_excl._grills)","professional_cooling_(f.i._large_airconditioners,_cooling_displays)",household_luminaires_(incl._household_incandescent_fittings),speakers,"small_it_(f.i._routers,_mice,_keyboards,_external_drives_&_accessoires)",professional_heating_&_ventilation_(excl._cooling_equipment),"professional_medical_(f.i._hospital,_dentist,_diagnostics)",washing_machines_(incl._combined_dryers),"household_monitoring_&_control_(alarm,_heat,_smoke,_excl._screens)",laptops_(incl._tablets),"personal_care_(f.i._tooth_brushes,_hair_dryers,_razors)","hot_water_(f.i._coffee,_tea,_water_cookers)","food_(f.i._toaster,_grills,_food_processing,_frying_pans)","music_instruments,_radio,_hifi_(incl._audio_sets)","telecom_(f.i._(cordless)_phones,_answering_machines)","toys_(f.i._car_racing_sets,_electric_trains,_music_toys,_biking_computers)","other_small_household_(f.i._small_ventilators,_irons,_clocks,_adapters)","leisure_(f.i._large_exercise,_sports_equipment)","video_(f.i._video_recorders,_dvd,_blue_ray,_set-top_boxes)","flat_display_panel_monitors_(lcd,_led)","professional_it_(f.i._servers,_routers,_data_storage,_copiers)","desktop_pcs_(excl._monitors,_accessoires)","kitchen_(f.i._large_furnaces,_ovens,_cooking_equipment)","small_consumer_electronics_(f.i._headphones,_remote_controls)","printers_(f.i._scanners,_multifunctionals,_faxes)","portable_audio_&_video_(f.i._mp3,_e-readers,_car_navigation)","cameras_(f.i._camcorders,_foto_&_digital_still_cameras)","professional_tools_(f.i._for_welding,_soldering,_milling)","professional_luminaires_(offices,_public_space,_industry)","mobile_phones_(incl._smartphones,_pagers)","flat_display_panel_tvs_(lcd,_led,_plasma)",cathode_ray_tube_tvs,"non_cooled_dispensers_(f.i._for_vending,_hot_drinks,_tickets,_money)",freezers,"dryers_(wash_dryers,_centrifuges)","cooled_dispensers_(f.i._for_vending,_cold_drinks)",straight_tube_fluorescent_lamps,"special_lamps_(f.i._professional_mercury,_high_&_low_pressure_sodium)",dishwashers,"household_medical_(f.i._thermometers,_blood_pressure_meters)","other_cooling_(f.i._dehumidifiers,_heat_pump_dryers)"
China,7202464.299000001,2421954.107,11632074.679,95418.34300000001,2466928.437,11334544.215,1660170.324,790074.931,3337175.116,3668567.642,13204327.42,6357250.425,21332253.737,117553.64600000001,3663950.3510000003,4017064.699,29118519.029,139112551.539,3999993.154,3262030.235,9967993.822,72850767.687,4323416.475,35373122.188,14975971.783,928490.982,8540148.246,20568747.118,1782181.5620000002,25439233.163,4952965.66,12370736.833,8006918.369,2653191.626,13145189.055,1584496.352,11684258.053000001,174577050.178,10580021.339,140741.787,42759.637,2331781.373,732078.385,62272.199,313595.468,911272.106,852925.2710000001,467554.445,456027.165
Germany,1489764.8129999998,511594.663,455638.065,7895.789,93605.363,2856339.647,398298.574,708012.991,127997.872,999339.956,1150807.1570000001,519882.78500000003,3841495.163,74743.145,4231703.818,729723.551,17178339.544,5584424.713,1100513.088,735968.299,658016.452,6006117.054,1435364.883,2537187.537,1854980.271,205717.044,2562868.641,1491237.831,237313.1,4548455.88,1650404.788,958277.907,1890029.969,166731.416,2333081.748,342527.591,1097114.303,4412268.057,313800.004,922.5079999999999,44246.388,150935.607,320606.92699999997,29656.086,368649.453,156717.449,942401.169,76097.489,396677.005
Mexico,178857.456,170809.673,1138589.656,437.23400000000004,4709.839,992271.441,74396.927,71025.102,732.723,1312187.406,1395905.1130000001,428060.186,2445036.891,167.696,1186569.635,475645.125,5195659.3209999995,478498.858,16020.094000000001,346689.571,212715.08299999998,12968703.697999999,650263.868,822779.3030000001,117781.197,56902.235,351805.342,1008176.87,207295.232,27846247.678999998,363211.62899999996,358178.044,286612.64,68189.599,702537.508,234800.06100000002,557108.985,104541.954,11564489.372000001,68.053,1290.886,16550.419,1021905.7039999999,1526.449,1919.466,2065.326,98.696,187893.459,75355.06300000001
Viet Nam,582793.361,8998.355,12213.876,1331.8799999999999,3769.208,779193.921,97715.515,7080.603,693.6709999999999,48704.933000000005,150576.167,523473.049,871325.458,2037.991,82886.821,794541.407,1271952.151,4799362.899,25410.002,51984.738,17834.904000000002,9521404.454,271829.397,1724414.7389999998,696807.625,18588.442,602064.28,1893886.879,678242.903,290901.197,15096.869999999999,3592487.2770000002,3048129.6890000002,170165.31,2247232.057,162520.89800000002,189526.498,35914884.474,2173157.991,4067.345,10137.937,43039.322,519.819,67.631,1033.45,1499.055,21.492,624325.458,651.85
USA,159426.408,76299.783,781400.495,22455.954999999998,70953.298,555859.441,56872.791,1086699.391,29836.488,1435028.823,292639.254,301027.55199999997,5230696.102,18911.256,5293214.187,333111.215,15206366.5,2857230.673,183058.391,200687.653,399259.54,10417145.788999999,1646881.32,853204.5549999999,596711.089,175956.513,1857252.7920000001,1232793.536,164522.634,7488851.396,328305.592,611274.643,698596.532,107032.975,1328314.922,788444.0240000001,545731.991,5957569.947,691077.934,7259.69,37151.158,117565.548,205160.67200000002,32158.51,133093.971,49766.396,160469.156,260627.00900000002,87632.477
Netherlands,256323.427,58138.890999999996,253406.194,15871.248,25146.634,299117.501,91751.92599999999,173057.674,26563.654,296210.21,295847.846,548583.998,3910943.1720000003,6991.734,1631824.101,72485.67899999999,2876174.613,11125953.998,516038.962,241238.226,242513.22,9756160.086,597166.638,967291.403,619062.061,146077.43300000002,675967.803,2119552.42,75808.285,4375085.217,133863.14800000002,967682.953,1605242.173,78383.025,1143869.11,85763.971,309426.652,8137827.805,907849.304,2277.965,2718.341,73079.749,32803.64,20484.819,22885.058,48008.513,30663.099,261977.268,37158.248
Thailand,89774.694,11750.351999999999,3269312.356,19399.803,7174.7080000000005,90186.225,301796.3,25341.96,194553.13700000002,257236.609,33840.334,46621.812,23753404.408,3083.315,47374.726,1343720.54,870722.785,98689.219,113339.44,137375.044,26370.206,6930964.291,359519.966,298228.554,729224.426,374.392,605474.071,384127.995,173120.804,166614.421,502978.17399999994,142260.901,2816392.222,30269.269,1903983.639,6009.873,49599.904,1405034.088,413661.784,83.62,2727.688,103599.25,78512.563,336.071,3685.0,8078.912,118012.656,2406.928,35308.454
"Other Asia, nes",9924.306,49897.659,22593.831,9132.6,11991.121,151280.586,653.107,25233.766,113.709,73751.33899999999,108039.379,38766.537,9311851.371,5480.165,114841.17700000001,1010.571,2734072.896,2786113.631,24428.595,15550.43,47210.11,9500621.801,430252.32899999997,397981.07300000003,485506.306,9716.798999999999,951731.724,1170589.239,236281.544,7045396.648,10251.632,216253.649,150045.698,53438.626,1381547.4919999999,2586.656,171580.75999999998,565740.716,370140.425,654.44,11400.411,7353.287,2626.64,1512.663,15422.517,7542.183,53.742,3028.454,521.496
Malaysia,1837406.527,333155.622,706467.095,6722.7570000000005,18410.718,520458.77,5076.658,109423.828,433580.973,137157.011,53462.214,390422.574,4150070.644,44139.958,366037.975,2646.8779999999997,3060086.448,261514.73,521277.222,247368.66,48034.023,9652150.628,1401320.4000000001,202014.255,406010.334,136262.675,692810.448,505227.272,148382.499,2019833.8260000001,205404.265,831397.1680000001,844976.128,337259.751,148809.06,228.97500000000002,63084.208,219775.00400000002,1426387.704,25552.002,258.312,17034.310999999998,1220.006,541.73,1564.1970000000001,2639.813,277.708,100224.343,40318.434
Japan,28948.457,30444.53,237241.343,15551.783000000001,8943.417000000001,1014456.913,83861.75200000001,195620.738,6819.448,246041.456,16085.281,42667.563,685035.65,12347.558,2100089.383,29101.212,8512657.862,620295.004,89592.497,19600.312,82580.334,1450646.916,391422.01999999996,656548.535,1038678.75,85920.045,2168819.265,959166.414,111543.736,561062.082,56867.813,122557.549,1195119.733,24359.935,2706395.213,96585.376,91164.607,741372.228,80891.804,1075.894,1006.516,71289.559,12840.908,6059.398,246055.109,89225.08200000001,650.342,4743.071,77613.52
Poland,177732.408,220145.976,87957.708,7639.888,21295.858,254229.459,66175.567,21097.688000000002,28790.08,235938.43899999998,415067.582,128539.405,1052106.577,3129.251,177641.346,1382815.2759999998,1362286.187,454427.526,411658.649,223168.807,169160.299,1969613.138,150761.934,959652.073,530040.659,11993.684,307380.121,515755.93700000003,24356.094,4801394.863,869049.829,400757.38700000005,87788.686,30636.976000000002,532178.665,147210.238,575868.604,832875.286,4018672.0979999998,134.481,2691.605,130294.565,907310.221,4451.572,74686.944,132289.389,950745.742,906198.9500000001,35028.193
