,connectors,storage_devices,batteries,leds_lasers,fans,semiconductors
Afghanistan,14300.868,3451.304,0.168,125.88400000000001,602.8340000000001,4302.341
Albania,215531.279,11658.487000000001,1753.882,1073.365,15485.386,26561.986
Algeria,44817.68,3125.1639999999998,13.696,839.202,25465.299,11785.518
American Samoa,2733.161,932.897,12.158,77.434,278.714,6527.167
Andorra,22320.301,12095.722,32.416,3760.456,10163.433,275459.896
Angola,42032.865,7696.662,10.728000000000002,738.3,12280.902,4972.7609999999995
Antigua and Barbuda,6845.67,287.478,0.0,26.412,573.7909999999999,5209.256
Azerbaijan,77877.678,14865.242,38.125,5792.845,18324.02,5987.445
Argentina,767903.024,247072.381,193.312,5154.553,135371.737,68428.395
Australia,8650073.27,1792585.004,8829.718,242595.671,710743.748,1573707.443
Austria,46207604.607,10691891.533,89104.624,1855767.939,5466106.198,24368512.189
Bahamas,24725.792,2360.272,5.621,1752.9360000000001,4427.421,7454.583999999999
Bahrain,731444.418,295836.67,409.823,8672.642,1195420.164,101998.475
Bangladesh,92497.485,16284.313,282.02299999999997,59478.609,18253.922,16641.606
Armenia,208626.451,40692.86,47.541,1676.771,40981.553,57020.156
Barbados,9690.031,4541.298,0.0,110.536,1361.194,3081.224
Belgium,23819540.407,8064433.851,21618.141,1432814.3260000001,17612763.557,13938215.421
Bermuda,4862.237,2149.051,8.725999999999999,52.94,1808.563,1230.134
Bhutan,3647.812,2136.61,0.0,33.805,76.406,514.56
Bolivia (Plurinational State of),17626.413,5116.76,0.245,187.627,1770.873,3085.394
Bosnia Herzegovina,994626.768,71976.686,1331.299,23258.229,324940.071,33963.335
Botswana,22647.372,7174.5869999999995,250.479,637.239,5130.755,1821.667
Brazil,7172106.952,1091789.479,4951.1849999999995,144156.087,1592066.864,2011813.149
Belize,5311.689,812.127,3.584,121.781,539.457,1590.579
Br. Indian Ocean Terr.,16300.082,42230.006,0.0,0.164,9.986,27768.771
Solomon Isds,5965.063,104.619,5.024,20.753,158.095,2471.183
Br. Virgin Isds,11710.392,3246.719,0.0,1378.546,851.255,7626.514
Brunei Darussalam,82135.058,6367.084,3.5450000000000004,1958.735,27445.716,3554.348
Bulgaria,13378575.395,2150103.354,1050.733,112289.943,1112172.045,2295164.397
Myanmar,203203.426,15157.645,0.004,7819.099,51559.247,21691.292999999998
Burundi,1762.509,223.108,1.275,13.288,331.323,118.824
Belarus,1291491.666,336817.445,1913.566,139917.429,204989.631,630707.616
Cambodia,4471313.177,104111.09300000001,0.093,23397.531,19705.516,81579.479
Cameroon,45442.33,19699.06,79.495,1491.707,4813.916,22399.826
Canada,38197418.882,7890960.647,47229.347,1872685.607,10285370.966,16893692.143
Cabo Verde,5966.845,4457.881,0.0,59.164,1171.886,3673.995
Cayman Isds,63240.153,2153.465,0.0,53.638999999999996,559.845,17582.395
Central African Rep.,2349.249,1487.7839999999999,80.307,13.265,371.784,708.042
Sri Lanka,1482781.634,120611.962,49.684000000000005,6722.666,18882.735,148614.859
Chad,3677.535,740.924,0.0,50.197,288.32099999999997,1138.4470000000001
Chile,544367.554,394521.662,209.476,6928.979,97553.086,68115.644
China,1618299315.632,630481779.79,1325373.223,40166756.941,242020244.803,1252871862.765
Christmas Isds,3256.263,751.15,0.0,52.851,862.816,1074.408
Cocos Isds,1780.16,560.203,343.91,3442.3940000000002,398.545,3581.878
Colombia,1097763.679,298500.143,1056.706,9816.094,114190.157,539628.902
Comoros,447.687,42.535000000000004,0.0,561.0129999999999,6.638,95.782
Mayotte (Overseas France),83.44999999999999,30.038,0.0,0.0,5.586,91.47399999999999
Congo,14056.247,2799.886,1.218,182.54,13234.027,4312.919999999999
Dem. Rep. of the Congo,12253.186,2753.976,0.739,480.76300000000003,975.116,1025.932
Cook Isds,1706.56,514.38,0.0,30.245,51.957,318.375
Costa Rica,2949983.556,151940.126,487.588,5815.862,15795.361,35541507.247
Croatia,2842470.633,289302.085,1629.785,42404.39,1033458.424,161957.582
Cuba,10883.075,4437.963,1.425,106.008,3447.6639999999998,21788.788
Cyprus,676817.182,233802.813,15.665,12416.074,38437.753,159174.635
Czechia,104183065.885,75354144.129,27113.286,505352.028,26050806.24,16869700.756
Benin,8979.538,414.393,0.24,255.37,893.981,1150.256
Denmark,15347814.88,4717637.957,11100.022,535084.267,3568469.657,2750102.23
Dominica,47475.884,1454.864,0.461,109.90899999999999,794.2760000000001,517.711
Dominican Rep.,8921879.755,26920.242,35.207,80782.115,19324.718,36713.743
Ecuador,60465.592,52396.276,8.415,938.426,11080.203,34387.165
El Salvador,84605.65,14132.187,51.43600000000001,667.4060000000001,8484.463,140592.632
Equatorial Guinea,2225.261,487.419,0.0,395.432,2481.206,51.6
Ethiopia,39905.224,4143.716,0.134,1722.0420000000001,45702.399000000005,38977.435999999994
Eritrea,1254.875,66.236,0.0,5.409,118.642,158.701
Estonia,17814467.103,447272.05,573.405,71382.389,660679.124,771383.991
Falkland Isds (Malvinas),409.033,5707.873,0.0,20.364,3042.875,114.518
Fiji,65742.314,3007.092,32.122,204.912,6943.44,2665.507
Finland,17459823.22,2833484.116,2071.572,679725.835,1376638.861,4880196.218
