,tin,tungsten,lithium,silver,copper,aluminium,gold,lead,tantalum,zinc,nickel,graphite,antimony,cobalt,indium,"earth-metals,_rare",germanium,gallium
Guinea,0.0,0.0,0.118,0.8260000000000001,2106.558,76833838.035,158.119,3.3139999999999996,0.0,44.66,0.071,2.578,4.053,0.0,0.0,0.0,0.0,0.0
Australia,29847.38,551.365,7620.905000000001,224614.68000000002,2180707.485,56416787.45899999,45140.788,603858.674,57360.831,3166018.247,425662.57499999995,451.737,179266.27099999998,4772.116,684.106,23409.073999999997,3436.5499999999997,684.106
Papua New Guinea,674.5390000000001,642.7489999999999,1.031,56411.556,40813712.682,24736.188,547.7189999999999,131.418,0.0,2.0740000000000003,180782.035,0.0,0.055,0.0,0.0,0.0,0.0,0.0
Philippines,8030.781,545.6279999999999,3903.7490000000003,8281.161,586147.853,69829.215,6134.987,81542.20300000001,62.933,22769.184,33281783.087,11.779,9494.357,821.921,714.0519999999999,0.004,714.0519999999999,714.0519999999999
China,1453707.962,72270.67,1006523.487,198094.981,2018144.236,10833170.43,8747.815,2219413.368,1731.5720000000001,11333305.040000001,322366.498,506061.53099999996,57811.579,8957.273000000001,1218.1979999999999,5734.063,17412.336,1218.1979999999999
Indonesia,87779.245,234.657,20607.071,20527.721,1551492.771,20253664.648,3184.638,87063.539,571.219,191501.563,6778190.984,2638.787,2930.1820000000002,255.309,0.001,0.002,0.003,0.001
Brazil,59363.854,603.476,1832.278,2518.973,1289920.135,13780096.544,9457.173999999999,85975.484,1080.373,522466.217,265176.201,26843.982,2376.4919999999997,155.328,3201.0330000000004,0.25,3201.0330000000004,3201.0330000000004
Chile,1375.2620000000002,202.137,111762.998,32014.569999999996,15240709.058,46754.951,2978.8959999999997,27451.043999999998,0.0,185435.482,214.868,64.141,10762.371,0.006,28.463,0.0,28.463,28.463
Germany,1042213.51,11342.142,248034.297,52789.228,1862951.242,5260353.245,59328.051,874951.152,1170.577,4560184.926,452794.096,105008.107,68099.122,2621.765,842.332,11.092,1056.882,842.332
Peru,21750.332,43.004000000000005,70.589,316723.605,6685662.6790000005,3343896.0589999994,1719.215,434697.513,0.006,2006850.089,2499.32,115.10099999999998,2279.494,0.005,0.0,0.0,0.0,0.0
Morocco,446.24600000000004,59.766,628.027,4100.262000000001,148082.344,12238579.315,589.83,60843.356,0.45799999999999996,104747.937,2849.839,113.969,7006.271000000001,2212.7529999999997,0.0,0.0,0.0,0.0
Rep. of Korea,455437.615,3453.462,161089.336,16829.175,899620.464,2170480.525,10487.448,1065335.608,598.223,6138566.072,148085.089,39296.596,73777.004,2377.191,219.518,44.782,329.592,219.518
USA,135489.925,4796.601,92574.14,74694.56999999999,2795786.7,3668415.709,75330.174,1181730.317,2791.951,2515557.525,323854.576,88873.965,20723.318,7480.557,1238.916,200.267,5110.425,1238.916
Russian Federation,31680.548000000003,7735.73,32937.563,278894.087,1461909.425,6303856.626,4573.296,556717.028,291.13,1087576.654,442566.713,51165.689,44831.757,13787.628999999999,836.65,10.039,855.247,836.65
Canada,205766.295,703.787,2275.0280000000002,52182.387,1892649.165,4044026.258,9226.75,232061.00600000002,560.891,1671258.369,419481.482,10813.271999999999,72570.24,10213.238,483.013,17.3,571.397,483.013
New Caledonia,0.0,0.006,770.443,0.019,582.288,670.535,0.095,1.8599999999999999,0.0,5.356,8290761.2020000005,0.407,0.0,901.783,0.0,0.0,0.0,0.0
Belgium,205509.634,1445.924,44012.418,7866.9929999999995,589957.528,1008528.825,6361.436,270155.152,332.769,4766760.07,143936.464,3591.109,47118.977,5697.34,147.237,10.924999999999999,219.375,147.237
Netherlands,575304.644,2207.188,27800.881,27542.522,456868.33900000004,2594394.484,51062.477000000006,469951.716,3061.65,2416751.145,140807.49,20090.134000000002,5200.09,4941.81,118.765,335.372,1220.665,118.765
TÃ¼rkiye,166266.34399999998,417.101,46782.241,70970.71399999999,673802.964,2441493.752,7411.689,379409.10099999997,15.265,2448174.617,353930.161,6556.29,11036.567,6640.003000000001,0.604,0.002,0.604,0.604
Japan,628426.989,8945.127,79196.39,38081.687,1789762.199,871082.456,4733.325,150451.72,828.833,2574338.4729999998,335814.986,55156.841,48437.183,5882.899,128.212,103.86899999999999,3258.674,128.212
