,tin,tungsten,lithium,silver,copper,aluminium,gold,lead,tantalum,zinc,nickel,graphite,antimony,cobalt,indium,"earth-metals,_rare",germanium,gallium
Guinea,0.0,0.0,11.237,476.377,10166.368,3584497.6199999996,8189583.875999999,6.2170000000000005,0.0,79.09700000000001,0.6980000000000001,32.908,21.595000000000002,0.0,0.0,0.0,0.0,0.0
Australia,142244.47400000002,2083.4429999999998,60578.502,1212869.492,6550833.938,9241752.33,18332580.21,1178645.6539999999,47856.371,2815722.28,2430193.9960000003,7105.397,425588.724,147233.373,862.303,69353.69900000001,14685.458,862.303
Papua New Guinea,261.179,157.767,75.712,2722319.319,937729.728,9986.31,4608972.336,178.32299999999998,0.0,5.665,462983.25600000005,0.0,0.052,0.0,0.0,0.0,0.0,0.0
Philippines,25995.777000000002,6377.353,76414.132,87717.416,2651037.732,183370.242,2008140.769,326071.113,34128.704,34974.902,2348598.017,567.035,17443.561,1064.392,6651.782999999999,0.123,6651.782999999999,6651.782999999999
China,1448581.778,941090.4500000001,18764044.655,9472878.874,9592841.998,28525595.967,5346639.523,6951921.11,372099.17199999996,9340089.977,2215729.38,1522190.334,288318.343,233106.885,135695.142,79282.98,259002.195,135695.142
Indonesia,1439621.427,2540.2850000000003,447665.033,1327808.038,4316083.005,2330690.616,7173096.23,219641.51,140933.844,311007.912,6142028.4969999995,8248.036,6503.756,313.677,0.002,2.859,0.135,0.002
Brazil,227863.843,8175.531,8953.907,46334.132999999994,3123571.882,3570054.98,5550729.881,178633.711,26260.385000000002,609767.818,835240.057,37924.937,2695.0119999999997,4082.883,151010.755,16.65,151010.755,151010.755
Chile,19668.654000000002,866.2620000000001,813283.529,341281.065,37730092.673,110737.565,985047.553,67077.523,0.025,160315.543,1309.038,145.969,20040.093,0.14,54838.276,0.0,54838.276,54838.276
Germany,1729262.123,468357.805,3659958.433,3977542.833,12655119.451,15443927.196,10398176.436,3381600.026,158657.694,6555195.533,3328934.886,1267348.299,172269.824,132082.118,53162.078,166.66,57672.824,53162.078
Peru,398712.4,736.765,640.4110000000001,1092206.387,11777223.744,242916.06399999998,6535815.139,870007.674,0.074,1890587.084,14141.178,168.679,7131.743,2.713,0.0,0.0,0.0,0.0
Morocco,549.011,397.246,7006.692,143984.388,259228.386,1172023.6469999999,76648.52100000001,80837.836,146.011,79042.052,7323.78,353.841,2488.299,87758.874,0.0,0.0,0.0,0.0
Rep. of Korea,585159.126,88743.942,5355779.489,2267030.565,5581157.902,4651687.451,2032127.4610000001,2867305.413,41824.1,6655473.766,875564.178,371529.038,172336.623,28527.367,42940.432,2747.5130000000004,46260.839,42940.432
USA,345349.056,158646.305,2176753.873,6885622.617000001,10245577.623,10154123.268000001,17919828.125,3527132.14,416565.317,3458728.408,5065374.229,1371825.94,54482.971,267091.35000000003,120189.763,2921.142,162945.579,120189.763
Russian Federation,56964.024000000005,98791.36,119517.845,1478437.333,7411899.683999999,7212669.897,18920577.591000002,863582.016,2709.9990000000003,884824.498,3363127.454,48862.638,111858.408,139398.01,46648.994999999995,2086.054,47969.135,46648.994999999995
Canada,226742.678,18338.112999999998,134634.285,1748647.324,6045823.472,8541892.533,9083866.092,581570.429,3604.2920000000004,2596770.0209999997,3687967.5160000003,44656.172,163323.75,316392.384,15391.284,404.921,45299.922,15391.284
New Caledonia,0.0,0.17099999999999999,8759.735,41.64,1351.4989999999998,788.975,58.534,9.509,0.0,0.9390000000000001,1816943.3,20.282,0.0,9391.689,0.0,0.0,0.0,0.0
Belgium,387623.796,19733.837,196654.539,809986.037,3262055.826,2559620.85,2052425.1249999998,600217.79,11800.561,4711558.075,605544.94,26610.256,142566.288,165293.606,25523.646,141.394,31360.295000000002,25523.646
Netherlands,674004.546,39184.885,479648.783,492127.68799999997,2186963.189,4551214.728,1023274.995,1009792.434,28869.281,2644859.901,1451666.5420000001,144145.013,9937.113,163586.01,30492.963000000003,5269.951999999999,42414.179,30492.963000000003
TÃ¼rkiye,192009.962,5286.621,46944.344000000005,3744822.028,2261178.814,3332714.523,3255300.663,678802.836,481.37600000000003,1850248.163,212905.63100000002,77493.909,24459.568,57810.299,10.027,0.2,10.151,10.027
Japan,1222152.023,185399.282,2684673.388,2655014.4159999997,9951025.97,4109676.776,11294743.481999999,677646.516,363524.325,3476756.435,3636890.08,1052632.503,112879.773,159783.954,29106.158,9098.262,88614.634,29106.158
