t,i,j,k,v,q,year
2012,8,40,780191,169.031,78.375,2012
2012,8,40,780199,170.344,78.375,2012
2012,8,156,261710,222.659,956.157,2012
2012,8,203,780191,171.354,72.645,2012
2012,8,300,780199,47.615,24.067,2012
2012,8,380,780191,3946.787,1956.371,2012
2012,8,380,780199,142.826,75.355,2012
2012,8,688,261790,2.502,9.8,2012
2012,8,688,780199,160.943,73.145,2012
2012,12,124,261790,0.015,0.052,2012
2012,12,276,262091,66.01,219.794,2012
2012,12,380,262091,6.181,20.02,2012
2012,12,699,262091,212.381,693.678,2012
2012,12,724,262091,368.226,1208.328,2012
2012,24,410,780191,49.434,25.001,2012
2012,24,516,261790,0.706,0.374,2012
2012,24,710,261790,0.154,7.8,2012
2012,24,784,780199,734.151,404.67,2012
2012,31,156,780191,399.842,192.0,2012
2012,31,392,780191,743.96,377.7,2012
2012,31,392,780199,140.4,168.0,2012
2012,31,699,780199,1164.195,1464.26,2012
2012,31,710,261790,0.7,8.0,2012
2012,31,784,780199,368.4,582.0,2012
2012,31,792,780191,286.168,144.0,2012
2012,31,792,780199,1690.837,2299.251,2012
2012,31,804,780199,617.4,735.0,2012
2012,32,68,780191,60.184,25.0,2012
2012,32,76,282580,2.842,0.1,2012
2012,32,76,780191,1696.464,608.971,2012
2012,32,76,780199,823.983,359.945,2012
2012,32,124,261790,8.788,28.994,2012
2012,32,152,261710,0.129,0.008,2012
2012,32,152,261790,28.894,5.204,2012
2012,32,152,282580,1.97,0.1,2012
2012,32,156,261790,20.368,1.004,2012
2012,32,276,811090,1.206,0.014,2012
2012,32,320,780199,1.929,0.036,2012
2012,32,484,261790,0.221,0.044,2012
2012,32,724,261790,0.161,0.008,2012
2012,32,858,780191,284.36,119.454,2012
2012,36,50,780191,2424.391,936.117,2012
2012,36,50,780199,84.074,39.984,2012
2012,36,56,261790,0.103,0.05,2012
2012,36,76,261790,71.539,1.618,2012
2012,36,124,261790,74.417,307.205,2012
2012,36,152,261790,28.637,0.108,2012
2012,36,156,261710,52526.346,7140.2,2012
2012,36,156,780191,660.524,333.598,2012
2012,36,156,780199,0.868,0.51,2012
2012,36,170,261790,9.24,0.05,2012
2012,36,251,261790,0.135,0.11,2012
2012,36,344,811020,430.298,125.0,2012
2012,36,360,261790,46.92,96.0,2012
2012,36,360,780191,501.337,247.039,2012
2012,36,360,780199,345.813,151.39,2012
2012,36,372,261790,3.944,0.157,2012
2012,36,410,780191,3355.918,1594.071,2012
