t,i,j,k,v,q,year
2012,4,56,852580,0.05,,2012
2012,4,124,852580,2.115,0.009,2012
2012,4,170,852580,196.388,4.76,2012
2012,4,528,852580,1.212,0.018,2012
2012,4,586,852580,0.829,0.014,2012
2012,4,710,852580,0.595,0.002,2012
2012,4,724,852580,0.242,0.002,2012
2012,4,752,852580,3464.483,6.471,2012
2012,4,764,852580,0.037,0.001,2012
2012,4,807,852580,0.108,0.001,2012
2012,8,56,852580,0.124,0.001,2012
2012,8,100,852580,4.236,0.009,2012
2012,8,152,852580,5.292,0.021,2012
2012,8,276,852580,2.605,0.011,2012
2012,8,348,852580,1.931,0.001,2012
2012,8,490,852580,6.297,0.015,2012
2012,8,499,852580,6.02,0.032,2012
2012,8,688,852580,13.685,0.141,2012
2012,8,705,852580,0.947,0.001,2012
2012,8,757,852580,0.091,0.002,2012
2012,8,784,852580,9.829,0.008,2012
2012,8,807,852580,24.696,0.557,2012
2012,12,251,852580,11.223,0.005,2012
2012,12,276,852580,26.823,0.04,2012
2012,12,410,852580,7.24,0.034,2012
2012,12,826,852580,3.058,0.01,2012
2012,16,36,852580,13.987,1.44,2012
2012,16,882,852580,0.878,0.001,2012
2012,20,124,852580,2.402,0.01,2012
2012,20,251,852580,19.628,0.058,2012
2012,20,276,852580,1.876,0.003,2012
2012,20,372,852580,0.276,0.001,2012
2012,20,533,852580,1.028,0.002,2012
2012,20,620,852580,1.45,0.002,2012
2012,20,724,852580,747.657,4.74,2012
2012,20,826,852580,1.208,0.004,2012
2012,24,251,852580,14.776,0.042,2012
2012,24,410,852580,0.173,0.002,2012
2012,24,528,852580,9.985,0.007,2012
2012,24,579,852580,4.956,0.002,2012
2012,24,620,852580,63.39,0.101,2012
2012,24,702,852580,6.16,0.024,2012
2012,24,710,852580,0.074,,2012
2012,24,826,852580,11.162,0.047,2012
2012,28,251,852580,0.102,0.001,2012
2012,31,268,852580,0.469,0.007,2012
2012,31,276,852580,0.158,0.002,2012
2012,31,579,852580,14.163,0.02,2012
2012,31,764,852580,0.259,0.001,2012
2012,31,842,852580,55.539,0.21,2012
2012,32,36,852580,9.06,0.019,2012
2012,32,40,852580,336.519,0.36,2012
2012,32,50,852580,1.408,0.001,2012
2012,32,56,852580,2.75,0.006,2012
2012,32,68,852580,10.396,0.085,2012
2012,32,76,852580,11.89,0.055,2012
2012,32,152,852580,54.986,0.524,2012
2012,32,170,852580,39.068,0.143,2012
2012,32,188,852580,10.489,0.132,2012
2012,32,203,852580,15.99,0.125,2012
2012,32,214,852580,0.729,0.006,2012
2012,32,218,852580,13.72,0.11,2012
2012,32,251,852580,37.083,0.101,2012
2012,32,276,852580,6.69,0.055,2012
2012,32,300,852580,4.821,0.063,2012
2012,32,320,852580,0.525,0.002,2012
2012,32,340,852580,3.228,0.031,2012
2012,32,360,852580,0.525,0.005,2012
2012,32,376,852580,4.521,0.063,2012
2012,32,380,852580,21.448,0.189,2012
2012,32,392,852580,12.233,0.037,2012
2012,32,400,852580,0.563,0.001,2012
2012,32,410,852580,16.816,0.092,2012
2012,32,484,852580,43.134,0.34,2012
2012,32,528,852580,0.518,0.001,2012
2012,32,558,852580,2.192,0.014,2012
2012,32,566,852580,0.525,0.005,2012
2012,32,591,852580,18.33,0.059,2012
2012,32,600,852580,70.0,0.7,2012
2012,32,604,852580,7.633,0.033,2012
2012,32,608,852580,3.062,0.003,2012
2012,32,616,852580,34.874,0.227,2012
2012,32,642,852580,1.171,0.012,2012
2012,32,643,852580,14.835,0.185,2012
2012,32,682,852580,0.69,0.002,2012
2012,32,688,852580,1.05,0.019,2012
2012,32,699,852580,24.795,0.15,2012
2012,32,702,852580,1.283,0.014,2012
2012,32,703,852580,0.525,0.008,2012
2012,32,705,852580,0.033,0.012,2012
2012,32,710,852580,0.525,0.007,2012
2012,32,724,852580,3.441,0.062,2012
2012,32,752,852580,2.953,0.009,2012
2012,32,757,852580,0.508,0.003,2012
2012,32,764,852580,10.005,0.012,2012
2012,32,818,852580,3.45,0.054,2012
2012,32,826,852580,0.69,0.003,2012
2012,32,842,852580,123.35,0.825,2012
2012,32,858,852580,11.73,0.032,2012
2012,32,887,852580,6.21,0.017,2012
2012,36,4,852580,5.452,0.026,2012
2012,36,12,852580,0.812,0.004,2012
2012,36,32,852580,2.684,0.011,2012
2012,36,40,852580,50.096,0.091,2012
2012,36,50,852580,0.554,0.002,2012
2012,36,56,852580,45.879,0.06,2012
2012,36,76,852580,87.112,0.522,2012
2012,36,90,852580,66.023,0.857,2012
2012,36,104,852580,0.047,,2012
2012,36,116,852580,3.897,0.009,2012
2012,36,124,852580,301.625,1.338,2012
2012,36,152,852580,2401.656,9.303,2012
2012,36,156,852580,296.721,0.52,2012
2012,36,162,852580,2.254,0.01,2012
2012,36,170,852580,38.999,0.068,2012
2012,36,178,852580,2.569,0.027,2012
2012,36,184,852580,7.244,0.013,2012
2012,36,191,852580,1.612,0.003,2012
2012,36,196,852580,0.062,0.001,2012
2012,36,203,852580,49.397,15.505,2012
2012,36,208,852580,66.602,0.184,2012
2012,36,233,852580,2.019,0.004,2012
2012,36,242,852580,2379.615,12.963,2012
2012,36,246,852580,10.65,0.019,2012
2012,36,251,852580,43.872,0.176,2012
2012,36,258,852580,1.038,0.003,2012
2012,36,268,852580,0.003,0.001,2012
2012,36,276,852580,1095.838,4.471,2012
2012,36,288,852580,100.806,0.446,2012
2012,36,296,852580,5.048,0.07,2012
2012,36,300,852580,4.421,0.034,2012
2012,36,316,852580,3.105,0.03,2012
2012,36,324,852580,0.155,0.001,2012
2012,36,344,852580,6251.296,55.548,2012
2012,36,348,852580,2.155,0.005,2012
2012,36,352,852580,0.215,0.001,2012
2012,36,360,852580,492.642,4.643,2012
2012,36,368,852580,9.79,0.023,2012
2012,36,372,852580,23.013,0.048,2012
2012,36,376,852580,12.887,0.048,2012
2012,36,380,852580,43.389,0.187,2012
2012,36,392,852580,728.247,0.72,2012
2012,36,398,852580,8.7,0.042,2012
2012,36,400,852580,1.885,0.005,2012
2012,36,404,852580,3.394,5.0,2012
2012,36,410,852580,417.025,2.758,2012
2012,36,414,852580,83.826,0.051,2012
2012,36,418,852580,14.994,0.042,2012
2012,36,430,852580,0.742,0.004,2012
2012,36,442,852580,2.32,0.011,2012
2012,36,458,852580,3201.735,11.27,2012
2012,36,462,852580,2.779,0.02,2012
2012,36,466,852580,92.852,0.128,2012
2012,36,470,852580,0.111,0.001,2012
2012,36,480,852580,3.508,0.01,2012
2012,36,484,852580,121.249,0.409,2012
2012,36,490,852580,73.893,0.339,2012
2012,36,499,852580,1.067,0.001,2012
2012,36,512,852580,22.535,0.002,2012
2012,36,516,852580,1.99,0.045,2012
2012,36,520,852580,15.572,0.174,2012
2012,36,524,852580,2.588,0.005,2012
2012,36,528,852580,516.514,0.777,2012
2012,36,540,852580,62.805,0.831,2012
2012,36,548,852580,75.855,0.35,2012
2012,36,554,852580,4317.498,18.955,2012
2012,36,566,852580,2.871,0.003,2012
2012,36,579,852580,47.045,0.231,2012
2012,36,585,852580,16.351,0.07,2012
2012,36,586,852580,46.138,0.953,2012
2012,36,598,852580,1516.755,8.422,2012
2012,36,604,852580,4.486,0.015,2012
2012,36,608,852580,64.543,0.722,2012
2012,36,616,852580,83.467,0.447,2012
2012,36,620,852580,3.832,0.006,2012
2012,36,626,852580,13.275,0.077,2012
2012,36,634,852580,140.049,0.542,2012
2012,36,642,852580,36.637,0.023,2012
2012,36,643,852580,27.735,0.042,2012
2012,36,682,852580,6855.714,21.513,2012
2012,36,688,852580,12.844,0.015,2012
2012,36,690,852580,6.168,0.06,2012
2012,36,699,852580,195.116,0.864,2012
2012,36,702,852580,3274.884,18.089,2012
2012,36,703,852580,13.016,0.029,2012
2012,36,704,852580,161.325,0.075,2012
2012,36,705,852580,2.276,0.001,2012
2012,36,710,852580,145.553,0.604,2012
2012,36,716,852580,7.3,0.008,2012
2012,36,724,852580,20.101,0.059,2012
2012,36,729,852580,6.644,0.014,2012
2012,36,752,852580,186.755,0.57,2012
2012,36,757,852580,55.63,0.046,2012
2012,36,764,852580,107.715,0.42,2012
2012,36,768,852580,0.269,0.005,2012
2012,36,776,852580,3.632,0.005,2012
2012,36,784,852580,4436.632,22.448,2012
2012,36,792,852580,8.016,0.011,2012
2012,36,818,852580,11.963,0.172,2012
2012,36,826,852580,1562.816,5.908,2012
2012,36,834,852580,5.174,0.002,2012
2012,36,842,852580,4100.027,17.423,2012
2012,36,854,852580,4.036,0.007,2012
2012,36,882,852580,12.626,0.041,2012
2012,36,894,852580,3.273,0.011,2012
2012,40,4,852580,39.336,0.587,2012
2012,40,8,852580,2.7,0.04,2012
2012,40,24,852580,17.926,0.054,2012
2012,40,31,852580,29.728,0.083,2012
2012,40,32,852580,47.509,0.093,2012
2012,40,36,852580,588.3,1.854,2012
2012,40,44,852580,11.416,0.052,2012
2012,40,48,852580,127.44,0.837,2012
2012,40,51,852580,1.201,0.004,2012
2012,40,56,852580,119.374,0.47,2012
2012,40,70,852580,158.63,0.092,2012
2012,40,76,852580,94.214,0.114,2012
2012,40,100,852580,8850.08,23.811,2012
2012,40,112,852580,7.168,0.023,2012
2012,40,116,852580,9.348,0.025,2012
2012,40,124,852580,597.347,1.936,2012
2012,40,152,852580,24.724,0.083,2012
2012,40,156,852580,1135.698,0.416,2012
2012,40,170,852580,13.791,0.085,2012
2012,40,180,852580,0.929,0.007,2012
2012,40,188,852580,0.355,0.022,2012
2012,40,191,852580,14.819,0.056,2012
2012,40,192,852580,12.961,0.005,2012
2012,40,196,852580,931.656,1.855,2012
2012,40,203,852580,256.634,0.833,2012
2012,40,208,852580,59.218,0.187,2012
2012,40,214,852580,12.402,0.281,2012
2012,40,218,852580,3.085,0.005,2012
2012,40,233,852580,25.839,0.099,2012
2012,40,246,852580,35.58,0.265,2012
2012,40,251,852580,2057.498,9.242,2012
2012,40,262,852580,2.212,0.01,2012
2012,40,266,852580,5.131,0.005,2012
2012,40,268,852580,1591.846,4.68,2012
2012,40,270,852580,0.073,0.001,2012
2012,40,276,852580,16281.989,70.236,2012
2012,40,288,852580,4.199,0.022,2012
2012,40,300,852580,60.336,1.378,2012
2012,40,320,852580,0.176,0.069,2012
2012,40,344,852580,6056.318,15.236,2012
2012,40,348,852580,2837.895,26.503,2012
2012,40,352,852580,0.191,0.001,2012
2012,40,360,852580,15.063,0.003,2012
2012,40,364,852580,42.114,0.39,2012
2012,40,368,852580,12.936,0.028,2012
2012,40,372,852580,597.232,1.613,2012
2012,40,376,852580,133.691,0.713,2012
2012,40,380,852580,2316.049,28.229,2012
2012,40,384,852580,84.982,0.339,2012
2012,40,392,852580,1504.076,3.788,2012
2012,40,398,852580,39.827,0.159,2012
2012,40,400,852580,7.134,0.002,2012
2012,40,410,852580,194.81,0.121,2012
2012,40,414,852580,166.414,0.756,2012
2012,40,417,852580,2.52,0.016,2012
2012,40,422,852580,0.923,0.002,2012
2012,40,428,852580,23.43,0.077,2012
2012,40,430,852580,17.111,0.109,2012
2012,40,440,852580,34.44,0.206,2012
2012,40,442,852580,21.31,0.151,2012
2012,40,458,852580,203.292,0.482,2012
2012,40,470,852580,11.272,0.002,2012
2012,40,484,852580,186.306,0.731,2012
2012,40,490,852580,174.136,0.183,2012
2012,40,498,852580,11.611,0.115,2012
2012,40,504,852580,78.859,0.806,2012
2012,40,512,852580,18.644,0.032,2012
2012,40,528,852580,2262.347,4.205,2012
2012,40,554,852580,6.362,0.025,2012
