t,i,j,k,v,q,year
2012,8,300,852849,9.341,1.79,2012
2012,8,826,852841,37.369,0.018,2012
2012,8,826,852849,0.411,0.085,2012
2012,12,764,852849,0.475,,2012
2012,16,188,852849,53.064,3.168,2012
2012,20,251,852849,0.59,0.025,2012
2012,24,40,852849,0.143,0.005,2012
2012,24,251,852849,0.386,0.008,2012
2012,24,710,852849,2.11,0.046,2012
2012,28,724,852841,0.163,0.001,2012
2012,31,764,852849,0.972,,2012
2012,32,68,852841,0.265,0.013,2012
2012,32,152,852841,0.675,0.022,2012
2012,32,276,852849,0.03,0.011,2012
2012,32,604,852841,0.22,0.002,2012
2012,32,710,852849,1.827,0.023,2012
2012,32,842,852849,2.11,0.005,2012
2012,36,32,852849,1.169,0.005,2012
2012,36,56,852841,3.221,0.039,2012
2012,36,70,852849,0.893,0.005,2012
2012,36,76,852849,1.94,0.004,2012
2012,36,116,852849,0.543,0.045,2012
2012,36,124,852841,16.239,10.002,2012
2012,36,152,852841,1.193,0.025,2012
2012,36,152,852849,1.924,0.008,2012
2012,36,156,852841,9.117,0.084,2012
2012,36,242,852841,23.283,2.112,2012
2012,36,242,852849,42.402,0.251,2012
2012,36,251,852841,0.521,0.002,2012
2012,36,251,852849,1.359,0.006,2012
2012,36,276,852841,8.625,0.451,2012
2012,36,276,852849,9.916,0.17,2012
2012,36,340,852849,16.684,0.172,2012
2012,36,344,852849,2.392,0.043,2012
2012,36,360,852841,51.505,0.19,2012
2012,36,360,852849,219.865,7.558,2012
2012,36,372,852841,6.944,0.004,2012
2012,36,380,852841,5.216,0.05,2012
2012,36,380,852849,1.785,0.003,2012
2012,36,392,852841,38.264,0.088,2012
2012,36,392,852849,11.92,0.108,2012
2012,36,398,852841,0.951,0.007,2012
2012,36,410,852841,1.646,0.01,2012
2012,36,414,852849,130.627,0.12,2012
2012,36,458,852841,18.874,9.23,2012
2012,36,480,852849,1.062,0.031,2012
2012,36,484,852849,7.396,0.1,2012
2012,36,490,852841,26.609,0.01,2012
2012,36,490,852849,55.957,0.03,2012
2012,36,528,852841,38.995,0.014,2012
2012,36,528,852849,19.22,0.006,2012
2012,36,554,852841,52.316,1.012,2012
2012,36,554,852849,149.63,1.963,2012
2012,36,579,852849,31.179,0.097,2012
2012,36,586,852841,78.859,27.103,2012
2012,36,586,852849,4.16,0.324,2012
2012,36,598,852841,172.184,1.026,2012
2012,36,598,852849,42.849,0.819,2012
2012,36,608,852841,33.131,0.06,2012
2012,36,634,852849,16.429,0.08,2012
2012,36,642,852841,0.042,0.015,2012
2012,36,694,852849,4.14,4.0,2012
2012,36,699,852841,3.223,0.006,2012
2012,36,702,852841,14.19,0.297,2012
2012,36,702,852849,2.168,0.012,2012
2012,36,704,852841,1.373,,2012
2012,36,704,852849,1.64,,2012
2012,36,710,852841,0.246,0.005,2012
2012,36,710,852849,30.18,0.548,2012
2012,36,764,852841,0.927,0.02,2012
2012,36,764,852849,37.646,0.015,2012
2012,36,784,852841,2.667,0.241,2012
2012,36,784,852849,69.612,18.1,2012
2012,36,800,852849,0.2,0.081,2012
2012,36,826,852841,6.218,0.014,2012
2012,36,826,852849,31.991,0.063,2012
2012,36,842,852841,67.97,0.444,2012
2012,36,842,852849,36.675,0.453,2012
2012,36,858,852849,0.335,0.006,2012
2012,36,882,852841,4.186,0.092,2012
2012,36,882,852849,6.159,0.054,2012
2012,40,32,852841,3.173,0.03,2012
2012,40,36,852841,3.001,0.06,2012
2012,40,36,852849,7.654,0.123,2012
2012,40,50,852849,0.518,0.093,2012
2012,40,56,852849,0.38,0.014,2012
2012,40,70,852841,13.297,0.12,2012
2012,40,70,852849,1.465,1.322,2012
2012,40,76,852841,2.816,0.016,2012
2012,40,92,852849,2.202,0.008,2012
2012,40,100,852849,0.156,0.006,2012
2012,40,124,852849,0.774,0.002,2012
2012,40,144,852841,8.879,21.799,2012
2012,40,156,852841,0.269,0.01,2012
2012,40,191,852841,6.569,0.217,2012
2012,40,191,852849,0.93,0.022,2012
2012,40,192,852849,15.226,0.024,2012
2012,40,203,852841,22.619,0.342,2012
2012,40,203,852849,2.404,0.028,2012
2012,40,251,852841,24.681,0.066,2012
2012,40,251,852849,0.925,0.007,2012
2012,40,276,852841,24.611,0.526,2012
2012,40,276,852849,12.139,0.147,2012
2012,40,320,852841,0.372,0.004,2012
2012,40,344,852849,2.351,0.002,2012
2012,40,348,852841,9.82,0.232,2012
2012,40,348,852849,9.287,0.009,2012
2012,40,380,852841,37.704,3.899,2012
2012,40,380,852849,103.776,1.724,2012
2012,40,392,852849,2.412,0.004,2012
2012,40,400,852849,1.225,0.003,2012
2012,40,404,852841,1.183,0.02,2012
2012,40,410,852841,6.169,0.142,2012
2012,40,410,852849,31.848,0.415,2012
2012,40,428,852841,1.514,0.034,2012
2012,40,484,852841,5.002,0.105,2012
2012,40,484,852849,0.716,0.008,2012
2012,40,528,852841,7.777,1.538,2012
2012,40,554,852849,8.169,0.054,2012
2012,40,579,852849,3.258,0.035,2012
2012,40,616,852841,36.767,1.362,2012
2012,40,620,852841,0.235,0.006,2012
2012,40,634,852849,17.308,0.102,2012
2012,40,642,852841,1.799,0.083,2012
2012,40,642,852849,3.633,0.081,2012
2012,40,688,852841,0.368,0.015,2012
2012,40,699,852841,0.188,0.007,2012
2012,40,699,852849,3.561,0.002,2012
2012,40,703,852841,141.821,7.748,2012
2012,40,704,852849,0.597,,2012
2012,40,705,852841,23.209,0.831,2012
2012,40,705,852849,7.875,0.255,2012
2012,40,724,852841,0.044,0.053,2012
2012,40,724,852849,9.81,0.422,2012
2012,40,757,852841,24.259,0.183,2012
2012,40,757,852849,17.906,0.504,2012
2012,40,764,852841,2.281,0.022,2012
2012,40,764,852849,5.199,,2012
2012,40,784,852849,1.66,0.012,2012
2012,40,804,852849,0.039,0.121,2012
2012,40,807,852849,1.049,1.033,2012
2012,40,826,852841,5.081,0.019,2012
