t,i,j,k,v,q,year
2012,12,251,852873,0.171,0.001,2012
2012,24,710,852873,0.869,0.012,2012
2012,32,528,852873,0.515,0.01,2012
2012,36,124,852873,8.279,0.016,2012
2012,36,144,852873,62.465,0.3,2012
2012,36,152,852873,0.022,,2012
2012,36,242,852873,0.95,,2012
2012,36,360,852873,7.608,0.022,2012
2012,36,384,852873,9.018,0.02,2012
2012,36,392,852873,5.018,0.025,2012
2012,36,410,852873,1.54,0.024,2012
2012,36,458,852873,5.385,0.018,2012
2012,36,554,852873,91.864,1.026,2012
2012,36,579,852873,2.03,0.004,2012
2012,36,598,852873,54.578,0.254,2012
2012,36,699,852873,2.134,0.01,2012
2012,36,702,852873,21.671,0.057,2012
2012,36,710,852873,0.171,0.012,2012
2012,36,764,852873,2.942,,2012
2012,36,826,852873,10.961,0.033,2012
2012,36,842,852873,5.734,0.009,2012
2012,40,100,852873,0.694,0.094,2012
2012,40,191,852873,0.131,0.068,2012
2012,40,276,852873,0.279,0.006,2012
2012,40,442,852873,1.508,0.038,2012
2012,40,579,852873,0.871,0.002,2012
2012,40,620,852873,413.109,10.369,2012
2012,40,642,852873,0.283,3.457,2012
2012,40,643,852873,15.272,0.045,2012
2012,40,703,852873,0.031,0.007,2012
2012,40,705,852873,1.026,0.046,2012
2012,40,757,852873,22.716,0.584,2012
2012,40,764,852873,0.457,,2012
2012,56,36,852873,2.893,0.033,2012
2012,56,50,852873,0.57,0.002,2012
2012,56,76,852873,7.816,0.018,2012
2012,56,120,852873,68.856,2.582,2012
2012,56,124,852873,0.191,0.006,2012
2012,56,156,852873,1.425,0.006,2012
2012,56,180,852873,12.035,0.253,2012
2012,56,251,852873,223.298,3.398,2012
2012,56,276,852873,0.033,,2012
2012,56,344,852873,2.186,0.019,2012
2012,56,410,852873,2.114,0.031,2012
2012,56,428,852873,1.095,0.1,2012
2012,56,442,852873,16.059,0.272,2012
2012,56,454,852873,2.669,0.028,2012
2012,56,458,852873,0.042,,2012
2012,56,490,852873,2.572,0.005,2012
2012,56,579,852873,3.858,0.072,2012
2012,56,604,852873,20.516,0.014,2012
2012,56,674,852873,4.263,0.007,2012
2012,56,699,852873,11.091,0.126,2012
2012,56,702,852873,7.697,0.038,2012
2012,56,757,852873,18.398,0.146,2012
2012,56,768,852873,1.67,0.023,2012
2012,56,842,852873,16.891,0.019,2012
2012,70,191,852873,11.232,0.066,2012
2012,70,757,852873,1.762,0.003,2012
2012,72,710,852873,9.838,1.968,2012
2012,76,699,852873,10.5,0.002,2012
2012,76,764,852873,1.108,,2012
2012,76,826,852873,2.004,0.001,2012
2012,100,300,852873,0.249,0.004,2012
2012,100,642,852873,209.745,5.5,2012
2012,100,643,852873,0.859,0.015,2012
2012,124,12,852873,0.542,0.005,2012
2012,124,24,852873,0.515,,2012
2012,124,36,852873,1.923,,2012
2012,124,48,852873,0.478,,2012
2012,124,56,852873,0.349,,2012
2012,124,76,852873,12.461,,2012
2012,124,188,852873,24.725,0.177,2012
2012,124,191,852873,6.947,0.033,2012
2012,124,246,852873,1.702,,2012
2012,124,251,852873,1.274,0.009,2012
2012,124,268,852873,0.003,0.002,2012
2012,124,276,852873,0.407,,2012
2012,124,288,852873,0.453,,2012
2012,124,344,852873,1.902,,2012
2012,124,348,852873,0.571,,2012
2012,124,380,852873,4.659,0.076,2012
2012,124,400,852873,0.515,,2012
2012,124,440,852873,1.422,,2012
2012,124,484,852873,7.192,,2012
2012,124,528,852873,23.976,,2012
2012,124,604,852873,0.226,0.013,2012
2012,124,616,852873,5.723,,2012
2012,124,620,852873,0.572,,2012
2012,124,634,852873,0.675,,2012
2012,124,682,852873,0.464,,2012
2012,124,702,852873,1.07,,2012
2012,124,704,852873,0.324,,2012
2012,124,724,852873,2.864,0.006,2012
2012,124,757,852873,1.751,,2012
2012,124,764,852873,2.714,,2012
2012,124,784,852873,2.484,0.015,2012
2012,124,826,852873,48.692,0.034,2012
2012,136,826,852873,7.935,0.009,2012
2012,152,68,852873,161.78,,2012
2012,152,276,852873,6.0,0.006,2012
2012,152,410,852873,1.445,0.034,2012
2012,152,600,852873,5.393,,2012
2012,152,604,852873,13.593,,2012
2012,152,757,852873,9.603,0.003,2012
2012,156,12,852873,2.715,2.305,2012
2012,156,31,852873,0.047,0.05,2012
2012,156,32,852873,3.991,0.714,2012
2012,156,36,852873,7.037,0.21,2012
2012,156,40,852873,12.427,0.131,2012
2012,156,50,852873,283.119,72.03,2012
2012,156,56,852873,1.021,0.036,2012
2012,156,68,852873,19.724,2.92,2012
2012,156,76,852873,48.87,15.704,2012
2012,156,104,852873,385.003,85.374,2012
2012,156,116,852873,205.309,52.101,2012
2012,156,124,852873,78.288,1.722,2012
2012,156,152,852873,249.594,76.398,2012
2012,156,170,852873,12.933,4.042,2012
2012,156,188,852873,289.955,12.667,2012
2012,156,191,852873,12.252,1.362,2012
2012,156,208,852873,9.195,0.16,2012
