t,i,j,k,v,q,year
2012,16,882,847681,0.072,0.374,2012
2012,32,68,847621,3.601,0.085,2012
2012,32,152,847621,5.761,0.246,2012
2012,32,600,847621,2.247,0.042,2012
2012,32,858,847621,47.698,1.697,2012
2012,36,124,847621,1.215,0.068,2012
2012,36,152,847621,3.356,0.03,2012
2012,36,360,847621,4.558,0.278,2012
2012,36,528,847681,6.017,0.228,2012
2012,36,554,847621,62.178,3.091,2012
2012,36,554,847681,132.363,9.428,2012
2012,36,579,847681,4.036,0.017,2012
2012,36,598,847681,10.858,0.748,2012
2012,36,608,847621,71.127,2.0,2012
2012,36,784,847621,4.168,0.334,2012
2012,36,826,847681,5.336,2.52,2012
2012,36,842,847621,41.461,0.23,2012
2012,36,842,847681,31.017,0.98,2012
2012,40,56,847621,3.71,0.159,2012
2012,40,56,847681,116.963,33.867,2012
2012,40,70,847621,14.463,5.391,2012
2012,40,70,847681,6.418,0.869,2012
2012,40,100,847621,31.465,2.538,2012
2012,40,100,847681,10.99,3.304,2012
2012,40,188,847621,3.546,1.423,2012
2012,40,191,847621,123.254,15.641,2012
2012,40,191,847681,5.678,1.25,2012
2012,40,196,847621,30.35,0.999,2012
2012,40,203,847621,180.671,5.606,2012
2012,40,203,847681,259.636,35.13,2012
2012,40,246,847621,102.241,3.895,2012
2012,40,251,847621,2.115,1.065,2012
2012,40,251,847681,1.932,0.584,2012
2012,40,276,847621,389.813,29.372,2012
2012,40,276,847681,66.839,6.395,2012
2012,40,300,847621,62.498,1.646,2012
2012,40,300,847681,67.283,24.933,2012
2012,40,348,847621,154.276,7.535,2012
2012,40,348,847681,15.218,12.22,2012
2012,40,380,847621,49.423,1.653,2012
2012,40,380,847681,3.838,1.721,2012
2012,40,440,847621,4.308,0.567,2012
2012,40,440,847681,5.437,1.027,2012
2012,40,442,847681,5.642,1.877,2012
2012,40,470,847621,30.052,0.463,2012
2012,40,470,847681,40.73,9.11,2012
2012,40,498,847621,3.672,0.634,2012
2012,40,528,847621,222.394,10.823,2012
2012,40,616,847621,284.576,40.97,2012
2012,40,616,847681,200.909,46.448,2012
2012,40,620,847681,5.257,3.596,2012
2012,40,642,847621,77.057,3.73,2012
2012,40,642,847681,10.242,4.871,2012
2012,40,643,847621,86.098,5.248,2012
2012,40,688,847621,26.433,1.339,2012
2012,40,703,847621,111.009,5.594,2012
2012,40,703,847681,49.529,7.261,2012
2012,40,705,847621,200.632,5.104,2012
2012,40,705,847681,43.863,16.017,2012
2012,40,724,847621,6.694,2.616,2012
2012,40,724,847681,138.175,73.572,2012
2012,40,752,847681,11.95,4.597,2012
2012,40,757,847621,100.752,7.752,2012
2012,40,757,847681,107.216,7.285,2012
2012,40,804,847621,33.707,7.17,2012
2012,40,807,847621,0.798,0.135,2012
2012,40,826,847621,2.224,0.028,2012
2012,51,268,847681,0.08,0.032,2012
2012,52,214,847621,77.4,4.321,2012
2012,56,40,847681,2.48,0.514,2012
2012,56,100,847621,83.364,35.71,2012
2012,56,100,847681,45.624,1.803,2012
2012,56,120,847681,0.064,0.065,2012
2012,56,156,847681,32.534,0.256,2012
2012,56,178,847681,0.129,0.045,2012
2012,56,196,847621,14.688,1.509,2012
2012,56,203,847681,96.015,1.8,2012
2012,56,204,847681,0.289,0.15,2012
2012,56,251,847621,2759.461,63.75,2012
2012,56,251,847681,38.678,3.337,2012
2012,56,266,847621,99.35,9.36,2012
2012,56,276,847621,3.575,0.344,2012
2012,56,348,847621,3.833,0.625,2012
2012,56,380,847621,9.504,0.462,2012
2012,56,384,847621,4.244,0.43,2012
2012,56,442,847621,82.745,5.114,2012
2012,56,466,847681,0.371,0.1,2012
2012,56,528,847621,29.768,1.807,2012
2012,56,579,847621,0.589,0.024,2012
2012,56,724,847621,470.967,3.344,2012
2012,56,757,847621,0.599,0.025,2012
2012,56,826,847621,2.947,0.359,2012
2012,56,842,847621,16.5,0.921,2012
2012,70,499,847621,3.663,0.944,2012
2012,76,152,847681,18.478,1.332,2012
2012,76,214,847621,6.762,0.377,2012
2012,76,558,847681,1.6,0.197,2012
2012,100,36,847621,0.899,0.026,2012
2012,100,40,847621,13.018,4.214,2012
2012,100,51,847621,342.032,39.232,2012
2012,100,196,847621,19.483,6.051,2012
2012,100,203,847621,6.368,8.467,2012
2012,100,208,847621,12.966,0.48,2012
2012,100,268,847621,21.927,3.427,2012
2012,100,276,847621,7.059,0.57,2012
2012,100,276,847681,15.362,6.0,2012
2012,100,300,847621,27.594,4.434,2012
2012,100,300,847681,56.864,11.313,2012
2012,100,348,847621,90.884,20.286,2012
2012,100,380,847621,6.484,0.6,2012
2012,100,458,847621,6.933,10.66,2012
2012,100,498,847621,3.46,0.32,2012
2012,100,604,847681,16.671,6.39,2012
2012,100,616,847621,63.324,30.3,2012
2012,100,642,847621,156.977,27.763,2012
