t,i,j,k,v,q,year
2012,8,300,842211,0.259,0.042,2012
2012,8,380,842211,25.816,2.841,2012
2012,8,688,842211,3.724,0.405,2012
2012,8,705,842211,5.059,0.59,2012
2012,12,620,842211,0.27,0.055,2012
2012,12,792,842211,1.0,0.044,2012
2012,20,620,842211,0.045,0.03,2012
2012,20,724,842211,10.06,0.899,2012
2012,20,757,842211,3.244,0.104,2012
2012,31,268,842211,0.926,0.045,2012
2012,31,364,842211,0.127,0.08,2012
2012,32,214,842211,0.12,0.018,2012
2012,36,70,842211,0.066,0.046,2012
2012,36,90,842211,12.119,0.874,2012
2012,36,156,842211,3.766,0.19,2012
2012,36,162,842211,8.61,0.96,2012
2012,36,166,842211,4.957,0.117,2012
2012,36,184,842211,3.962,7.985,2012
2012,36,242,842211,17.215,2.744,2012
2012,36,251,842211,0.253,0.1,2012
2012,36,258,842211,0.548,0.15,2012
2012,36,276,842211,4.332,0.468,2012
2012,36,344,842211,1.618,0.209,2012
2012,36,360,842211,12.712,0.474,2012
2012,36,376,842211,3.0,0.438,2012
2012,36,410,842211,3.452,0.074,2012
2012,36,458,842211,1.797,0.055,2012
2012,36,466,842211,7.817,0.36,2012
2012,36,490,842211,3.725,0.025,2012
2012,36,520,842211,20.068,1.27,2012
2012,36,548,842211,2.807,0.526,2012
2012,36,554,842211,87.809,16.383,2012
2012,36,574,842211,9.054,0.532,2012
2012,36,598,842211,110.269,4.159,2012
2012,36,752,842211,1.477,0.207,2012
2012,36,764,842211,0.999,0.146,2012
2012,36,792,842211,5.162,0.1,2012
2012,36,842,842211,14.716,2.15,2012
2012,40,8,842211,0.894,0.045,2012
2012,40,70,842211,7.58,3.389,2012
2012,40,76,842211,1.207,0.035,2012
2012,40,100,842211,121.057,14.694,2012
2012,40,124,842211,29.541,4.316,2012
2012,40,191,842211,28.636,1.771,2012
2012,40,203,842211,35.693,2.582,2012
2012,40,276,842211,406.245,63.697,2012
2012,40,288,842211,0.053,0.045,2012
2012,40,300,842211,19.767,1.302,2012
2012,40,348,842211,1.095,0.172,2012
2012,40,364,842211,14.816,0.561,2012
2012,40,376,842211,3.741,0.363,2012
2012,40,380,842211,168.626,10.309,2012
2012,40,398,842211,0.99,0.07,2012
2012,40,404,842211,0.582,0.038,2012
2012,40,422,842211,0.557,0.125,2012
2012,40,428,842211,0.523,0.07,2012
2012,40,442,842211,1.73,0.243,2012
2012,40,499,842211,7.638,1.086,2012
2012,40,616,842211,32.672,1.953,2012
2012,40,642,842211,17.437,0.464,2012
2012,40,643,842211,2.386,0.074,2012
2012,40,686,842211,0.54,0.068,2012
2012,40,688,842211,11.052,1.1,2012
2012,40,690,842211,1.286,0.045,2012
2012,40,702,842211,1.739,0.277,2012
2012,40,703,842211,6.595,0.494,2012
2012,40,705,842211,43.678,5.132,2012
2012,40,710,842211,0.296,0.047,2012
2012,40,724,842211,2.206,0.137,2012
2012,40,757,842211,967.703,33.298,2012
2012,40,788,842211,0.126,0.267,2012
2012,40,804,842211,0.103,0.393,2012
2012,40,807,842211,0.211,0.488,2012
2012,40,818,842211,6.344,0.382,2012
2012,48,480,842211,0.156,0.042,2012
2012,48,784,842211,0.817,0.285,2012
2012,51,887,842211,5.649,0.031,2012
2012,56,20,842211,1.279,0.055,2012
2012,56,36,842211,37.612,6.216,2012
2012,56,51,842211,1.904,0.29,2012
2012,56,100,842211,1.235,0.175,2012
2012,56,120,842211,1.451,0.38,2012
2012,56,124,842211,2.847,0.416,2012
2012,56,180,842211,17.034,1.28,2012
2012,56,191,842211,0.787,0.156,2012
2012,56,208,842211,15.434,0.46,2012
2012,56,246,842211,2.521,0.052,2012
2012,56,251,842211,607.085,86.787,2012
2012,56,268,842211,2.022,0.087,2012
2012,56,276,842211,195.07,23.459,2012
2012,56,288,842211,2.042,0.89,2012
2012,56,344,842211,4.369,0.023,2012
2012,56,348,842211,1.284,0.101,2012
2012,56,352,842211,0.146,0.004,2012
2012,56,360,842211,18.803,0.4,2012
2012,56,376,842211,78.0,8.845,2012
2012,56,384,842211,0.603,0.1,2012
2012,56,398,842211,0.7,0.1,2012
2012,56,410,842211,1.874,0.047,2012
2012,56,422,842211,7.11,0.857,2012
2012,56,428,842211,2.518,0.358,2012
2012,56,442,842211,333.214,47.305,2012
2012,56,470,842211,1.708,0.881,2012
2012,56,504,842211,0.244,0.092,2012
2012,56,528,842211,6266.246,1178.37,2012
2012,56,566,842211,0.318,0.095,2012
2012,56,579,842211,375.412,44.156,2012
2012,56,643,842211,1.49,0.149,2012
2012,56,646,842211,1.175,0.211,2012
2012,56,702,842211,37.321,5.011,2012
2012,56,710,842211,43.377,6.665,2012
2012,56,724,842211,0.482,0.25,2012
2012,56,752,842211,16194.414,2468.0,2012
2012,56,757,842211,175.486,11.873,2012
2012,56,764,842211,0.688,0.101,2012
2012,56,788,842211,1.195,0.08,2012
2012,56,792,842211,0.017,0.002,2012
2012,56,826,842211,4132.532,645.363,2012
2012,56,842,842211,0.196,,2012
2012,56,854,842211,0.015,0.03,2012
2012,68,600,842211,0.2,0.037,2012
