t,i,j,k,v,q,year
2012,8,380,845129,5.707,2.795,2012
2012,16,882,845121,0.374,0.078,2012
2012,20,152,845129,0.3,0.024,2012
2012,20,724,842112,0.668,0.127,2012
2012,20,724,845129,1.124,0.12,2012
2012,32,36,842112,37.463,5.67,2012
2012,32,36,845121,37.693,5.757,2012
2012,32,68,842112,14.276,0.443,2012
2012,32,68,845121,0.077,0.007,2012
2012,32,68,845129,65.827,2.586,2012
2012,32,76,842112,1528.792,246.118,2012
2012,32,152,842112,53.492,8.611,2012
2012,32,152,845121,1.094,0.14,2012
2012,32,170,842112,17.984,2.483,2012
2012,32,251,842112,34.473,4.747,2012
2012,32,372,842112,2.585,0.284,2012
2012,32,470,842112,46.408,6.586,2012
2012,32,484,842112,43.718,6.288,2012
2012,32,600,842112,1809.16,255.274,2012
2012,32,600,845129,15.463,0.663,2012
2012,32,616,842112,129.281,21.185,2012
2012,32,710,842112,48.742,10.871,2012
2012,32,724,842112,124.189,18.062,2012
2012,32,826,842112,267.237,43.539,2012
2012,32,826,845121,240.277,36.312,2012
2012,32,842,842112,230.636,32.656,2012
2012,32,858,842112,259.628,39.324,2012
2012,36,50,845129,0.68,0.057,2012
2012,36,70,845129,0.066,0.046,2012
2012,36,76,842112,19.404,0.72,2012
2012,36,90,845121,12.305,0.906,2012
2012,36,156,842112,19.601,0.58,2012
2012,36,156,845121,1.935,0.078,2012
2012,36,162,842112,24.874,1.616,2012
2012,36,208,842112,0.102,0.032,2012
2012,36,214,842112,0.28,0.043,2012
2012,36,242,842112,22.884,2.768,2012
2012,36,242,845121,33.385,2.535,2012
2012,36,242,845129,41.473,,2012
2012,36,258,845121,0.274,0.075,2012
2012,36,276,842112,0.026,0.1,2012
2012,36,324,845129,37.857,1.53,2012
2012,36,376,845129,5.0,0.419,2012
2012,36,458,842112,1.514,0.055,2012
2012,36,458,845129,4.14,1.2,2012
2012,36,466,842112,18.371,0.668,2012
2012,36,466,845121,3.697,0.152,2012
2012,36,480,842112,0.071,0.043,2012
2012,36,490,842112,1.444,0.046,2012
2012,36,490,845121,2.048,0.02,2012
2012,36,540,842112,6.124,0.508,2012
2012,36,548,842112,9.68,1.4,2012
2012,36,554,842112,0.7,0.066,2012
2012,36,554,845121,178.23,21.674,2012
2012,36,554,845129,6.73,0.358,2012
2012,36,574,845121,2.422,0.148,2012
2012,36,598,842112,26.57,3.696,2012
2012,36,598,845121,11.214,0.803,2012
2012,36,598,845129,62.818,1.861,2012
2012,36,616,845121,0.06,0.058,2012
2012,36,626,842112,2.018,0.2,2012
2012,36,704,842112,4.777,5.9,2012
2012,36,710,842112,1.237,0.195,2012
2012,36,710,845121,0.122,0.016,2012
2012,36,724,842112,21.744,1.789,2012
2012,36,752,845129,12.847,0.988,2012
2012,36,764,842112,0.097,0.015,2012
2012,36,764,845121,0.174,0.021,2012
2012,36,764,845129,38.631,3.542,2012
2012,36,776,845129,7.591,0.744,2012
2012,36,792,845121,2.292,0.075,2012
2012,36,842,845129,22.0,1.843,2012
2012,40,31,842112,0.457,0.008,2012
2012,40,32,845121,1.361,0.028,2012
2012,40,70,845121,0.887,0.345,2012
2012,40,70,845129,0.875,0.04,2012
2012,40,100,845121,120.538,13.934,2012
2012,40,100,845129,0.566,0.003,2012
2012,40,112,845129,5.592,0.171,2012
2012,40,124,845121,3.292,0.399,2012
2012,40,124,845129,0.351,0.029,2012
2012,40,144,845121,1.953,0.035,2012
2012,40,180,842112,0.219,0.026,2012
2012,40,191,842112,0.291,0.06,2012
2012,40,191,845121,2.256,0.205,2012
2012,40,191,845129,0.129,0.022,2012
2012,40,203,845121,18.194,2.07,2012
2012,40,203,845129,9.051,0.242,2012
2012,40,208,845121,1.788,0.016,2012
2012,40,208,845129,0.012,0.001,2012
2012,40,251,845129,50.007,3.836,2012
2012,40,268,842112,0.161,0.026,2012
2012,40,276,842112,4.665,0.66,2012
2012,40,276,845121,485.107,65.693,2012
2012,40,276,845129,564.097,73.843,2012
2012,40,340,845129,32.999,1.026,2012
2012,40,348,845121,0.766,0.046,2012
2012,40,348,845129,2.372,0.362,2012
2012,40,364,845129,67.021,3.883,2012
2012,40,376,845121,1.71,0.034,2012
2012,40,376,845129,2.0,0.168,2012
2012,40,380,845121,41.454,3.485,2012
2012,40,380,845129,284.171,14.984,2012
2012,40,398,845121,0.739,0.025,2012
2012,40,442,845129,23.932,0.291,2012
2012,40,512,845121,0.068,0.005,2012
2012,40,528,845121,49.201,0.637,2012
2012,40,579,845121,2.217,0.106,2012
2012,40,579,845129,7.793,0.237,2012
2012,40,616,845121,45.545,3.814,2012
2012,40,616,845129,2.744,0.145,2012
2012,40,642,845121,0.711,0.047,2012
2012,40,642,845129,4.32,0.166,2012
2012,40,643,845129,83.886,7.626,2012
2012,40,688,845121,22.129,1.37,2012
2012,40,702,845121,5.921,0.757,2012
2012,40,703,845121,32.444,0.371,2012
2012,40,703,845129,3.296,0.168,2012
2012,40,705,842112,4.013,0.432,2012
2012,40,705,845121,55.765,10.533,2012
2012,40,705,845129,4.186,0.337,2012
2012,40,724,845121,2.056,0.143,2012
2012,40,752,845121,22.15,2.683,2012
2012,40,757,842112,38.16,3.563,2012
2012,40,757,845121,499.391,28.477,2012
2012,40,757,845129,29.511,1.312,2012
2012,40,792,845121,3.17,0.298,2012
2012,40,792,845129,2.488,0.162,2012
2012,40,800,845121,4.823,0.317,2012
2012,40,807,842112,0.063,0.342,2012
2012,40,807,845121,0.064,0.24,2012
2012,40,818,845121,1.171,0.142,2012
2012,40,842,845129,0.208,0.004,2012
2012,50,344,842112,2.112,0.043,2012
2012,50,792,845129,364.031,31.688,2012
2012,50,826,845129,0.02,0.001,2012
2012,56,8,845129,2.936,0.167,2012
2012,56,12,845121,11.619,0.685,2012
2012,56,12,845129,402.229,25.602,2012
2012,56,20,845129,0.081,0.004,2012
2012,56,31,845129,2.109,0.247,2012
2012,56,36,845121,46.331,7.226,2012
2012,56,36,845129,196.953,6.224,2012
2012,56,40,845121,34.953,2.446,2012
2012,56,40,845129,26.774,1.819,2012
2012,56,50,845129,8.118,0.68,2012
2012,56,64,845121,0.296,0.036,2012
2012,56,70,845121,2.091,0.136,2012
2012,56,76,845129,63.176,3.808,2012
2012,56,100,845121,10.649,0.916,2012
2012,56,100,845129,46.9,3.152,2012
2012,56,112,845121,18.457,1.363,2012
2012,56,112,845129,17.701,1.138,2012
2012,56,124,845121,2.583,0.313,2012
2012,56,124,845129,9.816,0.822,2012
2012,56,144,845129,9.26,0.526,2012
2012,56,152,845121,0.184,0.023,2012
2012,56,152,845129,67.467,5.471,2012
2012,56,156,842112,16.186,0.128,2012
2012,56,156,845121,4.382,0.192,2012
2012,56,156,845129,40.845,3.592,2012
2012,56,170,842112,2.057,0.166,2012
2012,56,178,845129,0.386,0.03,2012
2012,56,180,845121,0.359,0.015,2012
2012,56,188,845129,3.39,0.216,2012
2012,56,191,845121,28.837,0.354,2012
2012,56,191,845129,17.672,1.313,2012
2012,56,196,845121,52.676,5.537,2012
2012,56,196,845129,18.189,1.496,2012
