t,i,j,k,v,q,year
2012,4,191,852872,0.221,0.021,2012
2012,4,214,852872,0.08,0.003,2012
2012,8,40,852872,4741.232,139.562,2012
2012,8,300,852872,0.706,0.038,2012
2012,8,348,852872,0.141,0.01,2012
2012,8,380,852872,14.435,0.839,2012
2012,8,688,852872,4.574,0.41,2012
2012,8,757,852872,32.546,0.047,2012
2012,12,251,852872,0.952,0.043,2012
2012,12,400,852872,60.603,3.113,2012
2012,12,410,852872,0.52,0.014,2012
2012,12,620,852872,2.226,0.145,2012
2012,12,710,852872,0.609,0.02,2012
2012,16,554,852872,0.112,0.004,2012
2012,20,233,852872,21.45,0.75,2012
2012,20,251,852872,6.101,0.165,2012
2012,20,276,852872,0.098,0.003,2012
2012,20,376,852872,1.0,0.034,2012
2012,20,490,852872,0.906,0.003,2012
2012,20,724,852872,15.422,0.723,2012
2012,24,620,852872,4.207,0.058,2012
2012,24,710,852872,0.731,0.024,2012
2012,28,214,852872,0.04,0.001,2012
2012,31,203,852872,0.95,0.077,2012
2012,31,208,852872,0.3,0.083,2012
2012,31,251,852872,0.42,0.011,2012
2012,31,268,852872,3.93,0.165,2012
2012,31,276,852872,0.747,0.082,2012
2012,31,360,852872,0.82,0.012,2012
2012,31,410,852872,0.8,0.014,2012
2012,31,608,852872,0.45,0.011,2012
2012,31,642,852872,0.45,0.011,2012
2012,31,764,852872,0.314,0.011,2012
2012,31,780,852872,0.62,0.02,2012
2012,31,826,852872,0.45,0.012,2012
2012,31,842,852872,0.55,0.012,2012
2012,32,152,852872,2.371,0.02,2012
2012,32,214,852872,0.075,0.003,2012
2012,32,276,852872,2.939,0.003,2012
2012,32,320,852872,3.471,1.17,2012
2012,32,376,852872,2.0,0.068,2012
2012,32,410,852872,4.068,0.064,2012
2012,32,528,852872,0.947,0.029,2012
2012,32,591,852872,12.986,0.625,2012
2012,32,600,852872,153.144,3.358,2012
2012,32,710,852872,1.34,0.044,2012
2012,32,724,852872,1.303,0.032,2012
2012,32,858,852872,124.262,3.997,2012
2012,36,40,852872,4.447,0.027,2012
2012,36,50,852872,2.111,0.072,2012
2012,36,56,852872,13.63,0.101,2012
2012,36,70,852872,2.866,0.29,2012
2012,36,72,852872,9.176,0.028,2012
2012,36,90,852872,3.845,0.084,2012
2012,36,100,852872,2.341,1.35,2012
2012,36,124,852872,8.498,0.323,2012
2012,36,152,852872,52.425,1.74,2012
2012,36,156,852872,253.641,6.5,2012
2012,36,162,852872,71.746,2.365,2012
2012,36,166,852872,2.373,0.09,2012
2012,36,191,852872,0.329,0.007,2012
2012,36,208,852872,5.782,0.122,2012
