t,i,j,k,v,q,year
2012,8,300,841830,2.904,0.435,2012
2012,8,688,841830,0.306,0.86,2012
2012,12,380,841830,0.585,0.059,2012
2012,12,466,841840,4.859,1.312,2012
2012,12,478,841840,2.738,0.574,2012
2012,12,686,841830,0.674,0.196,2012
2012,12,818,841830,0.625,0.104,2012
2012,20,724,841830,5.776,1.141,2012
2012,24,516,841840,0.12,1.0,2012
2012,32,12,841830,34.964,0.868,2012
2012,32,68,841830,164.031,15.999,2012
2012,32,68,841840,8.355,0.292,2012
2012,32,76,841830,117.073,20.845,2012
2012,32,152,841830,706.019,156.851,2012
2012,32,218,841840,4.85,0.142,2012
2012,32,320,841840,3.7,0.276,2012
2012,32,558,841830,7.001,0.38,2012
2012,32,600,841830,7022.661,1248.098,2012
2012,32,604,841830,2.261,0.1,2012
2012,32,854,841830,52.416,4.872,2012
2012,32,858,841830,527.457,96.9,2012
2012,32,862,841840,46.819,1.811,2012
2012,36,68,841830,5.784,2.087,2012
2012,36,70,841830,0.231,0.3,2012
2012,36,90,841830,140.846,14.033,2012
2012,36,90,841840,5.123,0.335,2012
2012,36,124,841830,11.311,2.482,2012
2012,36,124,841840,15.532,2.996,2012
2012,36,144,841830,62.419,7.88,2012
2012,36,156,841830,1.035,0.09,2012
2012,36,162,841840,4.057,0.22,2012
2012,36,184,841830,11.657,0.884,2012
2012,36,184,841840,1.612,0.44,2012
2012,36,191,841830,0.136,0.08,2012
2012,36,242,841830,27.283,3.404,2012
2012,36,242,841840,22.108,2.703,2012
2012,36,251,841830,9.336,0.825,2012
2012,36,251,841840,2.656,0.052,2012
2012,36,258,841830,8.338,1.179,2012
2012,36,258,841840,4.738,1.842,2012
2012,36,276,841830,2.265,0.063,2012
2012,36,276,841840,63.948,0.887,2012
2012,36,296,841830,17.564,4.355,2012
2012,36,344,841840,4.21,0.006,2012
2012,36,372,841830,0.485,0.1,2012
2012,36,376,841830,1.0,0.219,2012
2012,36,376,841840,17.0,3.279,2012
2012,36,392,841840,2.764,0.114,2012
2012,36,422,841830,36.646,3.358,2012
2012,36,422,841840,38.287,14.107,2012
2012,36,430,841830,2.069,0.125,2012
2012,36,462,841830,7.404,1.625,2012
2012,36,462,841840,12.007,2.316,2012
2012,36,478,841830,1.48,0.03,2012
2012,36,480,841830,0.467,0.052,2012
2012,36,490,841830,8.323,0.553,2012
2012,36,490,841840,0.93,0.045,2012
2012,36,520,841830,2.749,0.2,2012
2012,36,520,841840,4.107,0.247,2012
2012,36,540,841840,8.636,0.1,2012
2012,36,548,841830,3.423,0.81,2012
2012,36,554,841830,719.941,154.269,2012
2012,36,554,841840,146.775,29.475,2012
2012,36,586,841840,0.259,0.067,2012
2012,36,598,841830,484.065,62.911,2012
2012,36,598,841840,165.908,3.377,2012
2012,36,626,841830,3.778,1.0,2012
2012,36,699,841830,3.928,0.701,2012
2012,36,699,841840,0.179,0.005,2012
2012,36,702,841830,8.759,1.691,2012
2012,36,702,841840,2.432,0.445,2012
2012,36,729,841840,31.01,2.899,2012
2012,36,752,841840,1.034,0.176,2012
2012,36,764,841830,2.84,0.243,2012
2012,36,807,841830,0.152,0.038,2012
2012,36,818,841830,14.1,1.5,2012
2012,36,842,841830,4.975,1.092,2012
2012,36,842,841840,30.157,1.9,2012
2012,36,854,841830,0.663,0.1,2012
2012,36,876,841830,2.838,0.36,2012
2012,36,882,841830,0.336,0.104,2012
2012,36,882,841840,4.456,0.067,2012
2012,40,12,841830,3.419,0.155,2012
2012,40,12,841840,26.281,1.728,2012
2012,40,31,841830,1.21,0.011,2012
2012,40,36,841830,1.544,0.211,2012
2012,40,36,841840,3.506,0.658,2012
2012,40,56,841830,2800.742,552.018,2012
2012,40,56,841840,840.686,133.711,2012
2012,40,68,841830,9.298,0.547,2012
2012,40,68,841840,15.305,2.261,2012
2012,40,70,841830,0.755,2.48,2012
2012,40,70,841840,2.526,1.002,2012
2012,40,100,841830,688.428,108.446,2012
2012,40,100,841840,212.152,32.999,2012
2012,40,112,841830,674.156,98.731,2012
2012,40,112,841840,11.781,2.085,2012
2012,40,124,841830,335.689,73.665,2012
2012,40,124,841840,1.148,0.221,2012
2012,40,152,841840,39.221,7.436,2012
2012,40,156,841830,4.195,1.184,2012
2012,40,156,841840,17.711,1.663,2012
2012,40,170,841830,172.897,10.356,2012
2012,40,170,841840,7.351,0.179,2012
2012,40,191,841830,39.336,5.483,2012
2012,40,191,841840,18.72,2.086,2012
2012,40,196,841830,19.704,3.267,2012
2012,40,196,841840,29.622,0.159,2012
2012,40,203,841830,599.827,95.306,2012
2012,40,203,841840,375.09,51.144,2012
2012,40,208,841830,68.163,10.538,2012
2012,40,208,841840,32.32,5.127,2012
2012,40,233,841830,82.268,13.575,2012
2012,40,246,841830,36.103,4.013,2012
2012,40,246,841840,23.92,3.251,2012
2012,40,251,841830,8311.331,1568.422,2012
2012,40,251,841840,5274.064,769.808,2012
2012,40,266,841830,11.628,0.345,2012
2012,40,276,841830,16610.191,2622.314,2012
2012,40,276,841840,6845.624,939.697,2012
2012,40,288,841830,1.89,0.827,2012
2012,40,288,841840,6.92,0.965,2012
2012,40,300,841830,667.914,106.756,2012
2012,40,300,841840,9.284,0.85,2012
2012,40,340,841830,12.842,0.56,2012
2012,40,344,841830,6.604,0.574,2012
2012,40,344,841840,18.694,0.471,2012
2012,40,348,841830,19.599,5.267,2012
2012,40,348,841840,244.498,13.311,2012
2012,40,360,841840,15.965,0.787,2012
2012,40,364,841840,19.288,1.382,2012
2012,40,368,841840,15.959,2.052,2012
2012,40,372,841830,2.372,0.407,2012
2012,40,372,841840,30.267,3.108,2012
2012,40,376,841830,241.235,61.207,2012
2012,40,376,841840,151.491,25.173,2012
2012,40,380,841830,3371.624,533.291,2012
2012,40,380,841840,509.086,64.579,2012
2012,40,392,841830,237.163,13.06,2012
2012,40,392,841840,1394.986,154.908,2012
2012,40,398,841830,15.959,6.42,2012
2012,40,398,841840,4.997,0.753,2012
2012,40,400,841830,13.348,1.506,2012
2012,40,400,841840,21.697,3.336,2012
2012,40,422,841830,6.208,1.178,2012
2012,40,422,841840,110.799,12.013,2012
2012,40,428,841830,82.896,12.38,2012
2012,40,428,841840,9.564,1.501,2012
2012,40,440,841830,146.503,25.826,2012
2012,40,440,841840,37.838,5.617,2012
2012,40,442,841830,28.801,5.914,2012
2012,40,442,841840,14.596,2.18,2012
2012,40,458,841840,16.523,1.499,2012
