t,i,j,k,v,q,year
2012,8,68,841821,0.5,0.06,2012
2012,8,300,841821,1.388,0.2,2012
2012,8,300,841829,0.685,0.2,2012
2012,8,380,841829,4.662,0.512,2012
2012,8,499,841821,2.141,0.342,2012
2012,8,688,841821,1.149,0.395,2012
2012,8,807,841821,5.504,1.032,2012
2012,12,48,841821,0.169,0.094,2012
2012,12,380,841829,0.681,0.299,2012
2012,12,400,841821,142.713,35.245,2012
2012,12,724,841829,0.05,0.039,2012
2012,12,764,841821,3.689,0.791,2012
2012,12,818,841829,2.338,0.4,2012
2012,20,724,841821,17.06,2.218,2012
2012,20,724,841829,14.369,6.16,2012
2012,31,268,841821,7.812,0.25,2012
2012,31,268,841829,2.061,0.277,2012
2012,31,398,841829,0.7,0.114,2012
2012,31,642,841829,0.28,0.045,2012
2012,31,643,841829,17.575,1.16,2012
2012,31,764,841821,0.324,0.069,2012
2012,32,68,841821,18.718,0.909,2012
2012,32,152,841821,3.433,0.5,2012
2012,32,152,841829,0.752,0.135,2012
2012,32,170,841821,0.08,0.07,2012
2012,32,320,841821,0.593,0.084,2012
2012,32,579,841821,1.428,0.059,2012
2012,32,600,841821,780.024,125.325,2012
2012,32,600,841829,19.567,1.589,2012
2012,32,826,841829,4.277,0.056,2012
2012,32,858,841821,37.11,8.688,2012
2012,32,858,841829,5.012,0.475,2012
2012,36,40,841821,0.487,0.015,2012
2012,36,70,841821,0.342,0.05,2012
2012,36,70,841829,4.69,0.735,2012
2012,36,90,841821,34.364,3.794,2012
2012,36,90,841829,1.872,0.255,2012
2012,36,156,841821,45.98,0.905,2012
2012,36,156,841829,311.566,18.292,2012
2012,36,162,841821,27.392,3.44,2012
2012,36,184,841821,26.398,3.774,2012
2012,36,184,841829,12.298,0.425,2012
2012,36,191,841821,0.74,0.155,2012
2012,36,191,841829,0.124,0.088,2012
2012,36,203,841821,0.346,0.312,2012
2012,36,203,841829,2.061,0.935,2012
2012,36,242,841821,10.384,15.445,2012
2012,36,242,841829,205.808,0.96,2012
2012,36,246,841821,0.533,0.003,2012
2012,36,251,841821,8.898,0.975,2012
2012,36,258,841821,28.46,3.64,2012
2012,36,258,841829,2.009,0.55,2012
2012,36,276,841821,3.975,0.146,2012
2012,36,276,841829,0.451,0.029,2012
2012,36,288,841821,24.187,20.5,2012
2012,36,344,841821,187.42,16.768,2012
2012,36,344,841829,5.174,0.16,2012
2012,36,360,841829,0.098,0.001,2012
2012,36,376,841821,132.172,9.957,2012
2012,36,380,841821,5.682,0.459,2012
2012,36,392,841821,53.561,2.079,2012
2012,36,398,841829,7.4,0.2,2012
2012,36,400,841821,2.262,0.001,2012
2012,36,400,841829,5.11,0.008,2012
2012,36,410,841821,1.606,0.09,2012
2012,36,410,841829,3.291,0.182,2012
2012,36,422,841821,268.725,32.721,2012
2012,36,422,841829,29.374,4.307,2012
2012,36,430,841829,2.794,0.32,2012
2012,36,458,841821,211.878,20.393,2012
2012,36,458,841829,0.414,0.15,2012
2012,36,462,841829,0.936,0.185,2012
2012,36,480,841829,0.102,0.044,2012
2012,36,490,841821,10.33,0.185,2012
2012,36,490,841829,9.748,0.192,2012
2012,36,512,841829,1.852,0.029,2012
2012,36,520,841821,1.763,0.15,2012
2012,36,520,841829,1.035,0.5,2012
2012,36,528,841821,0.207,0.1,2012
2012,36,548,841821,1.696,0.75,2012
2012,36,548,841829,2.249,0.118,2012
2012,36,554,841821,244.096,50.387,2012
2012,36,554,841829,72.514,12.988,2012
2012,36,566,841821,31.617,0.042,2012
2012,36,566,841829,1.423,0.834,2012
2012,36,574,841821,11.511,1.288,2012
2012,36,579,841821,0.923,0.022,2012
2012,36,586,841821,10.102,2.292,2012
2012,36,598,841821,101.956,48.38,2012
2012,36,598,841829,31.042,4.279,2012
2012,36,604,841821,1.491,0.041,2012
2012,36,626,841821,3.466,0.05,2012
2012,36,634,841821,35.283,3.709,2012
2012,36,682,841829,23.018,0.8,2012
2012,36,694,841821,0.362,0.6,2012
2012,36,694,841829,0.595,0.5,2012
2012,36,699,841821,45.339,6.172,2012
2012,36,699,841829,14.804,0.426,2012
2012,36,702,841821,39.534,9.334,2012
2012,36,702,841829,253.406,37.992,2012
2012,36,704,841821,2.173,0.196,2012
2012,36,704,841829,37.865,,2012
2012,36,710,841829,0.839,0.15,2012
2012,36,724,841821,11.29,0.88,2012
2012,36,729,841829,0.306,1.0,2012
2012,36,752,841821,9.746,1.513,2012
2012,36,752,841829,2.804,0.14,2012
2012,36,757,841821,54.062,0.033,2012
2012,36,757,841829,10.322,0.42,2012
2012,36,764,841821,113.948,5.568,2012
2012,36,764,841829,25.436,5.02,2012
2012,36,784,841821,30.546,4.012,2012
2012,36,784,841829,14.592,0.38,2012
2012,36,792,841821,1.083,0.239,2012
2012,36,818,841821,30.458,4.012,2012
2012,36,826,841821,3.738,0.062,2012
2012,36,826,841829,14.889,2.8,2012
2012,36,842,841821,46.76,10.025,2012
2012,36,842,841829,5.702,0.439,2012
2012,36,894,841829,0.133,0.024,2012
2012,40,8,841821,3.051,0.142,2012
2012,40,12,841821,4.855,0.367,2012
2012,40,12,841829,3.568,0.123,2012
2012,40,31,841821,4.072,4.107,2012
2012,40,31,841829,48.878,27.982,2012
2012,40,56,841821,25.138,4.439,2012
2012,40,70,841821,9.936,9.8,2012
2012,40,70,841829,3.087,0.992,2012
2012,40,76,841821,134.776,8.783,2012
2012,40,76,841829,3.008,0.032,2012
2012,40,100,841821,14.39,1.511,2012
2012,40,100,841829,37.464,5.61,2012
2012,40,124,841821,1185.934,199.048,2012
2012,40,124,841829,9.264,1.828,2012
2012,40,152,841821,12.433,2.679,2012
2012,40,156,841821,264.241,9.759,2012
2012,40,180,841829,3.36,0.282,2012
2012,40,191,841821,14.954,1.216,2012
2012,40,191,841829,18.132,3.36,2012
2012,40,203,841821,24.05,1.715,2012
2012,40,203,841829,54.967,3.268,2012
2012,40,208,841821,15.897,2.417,2012
2012,40,208,841829,2.146,0.442,2012
2012,40,233,841821,17.591,1.552,2012
2012,40,246,841821,40.157,2.123,2012
2012,40,251,841821,207.318,11.781,2012
2012,40,251,841829,2.87,0.486,2012
2012,40,268,841829,0.037,0.033,2012
2012,40,270,841821,3.27,0.082,2012
2012,40,276,841821,710.114,130.086,2012
2012,40,276,841829,43.754,2.39,2012
2012,40,288,841821,10.261,1.016,2012
2012,40,300,841821,30.118,3.964,2012
2012,40,300,841829,10.422,1.058,2012
2012,40,348,841821,16.984,2.365,2012
2012,40,348,841829,1.226,0.347,2012
2012,40,360,841821,8.07,0.202,2012
2012,40,360,841829,17.46,0.553,2012
2012,40,364,841829,55.8,2.762,2012
2012,40,372,841821,3.566,0.109,2012
2012,40,376,841829,1.508,0.03,2012
2012,40,380,841821,1135.789,63.249,2012
2012,40,380,841829,27.624,3.285,2012
2012,40,392,841821,0.42,0.023,2012
2012,40,392,841829,10.255,0.298,2012
