t,i,j,k,v,q,year
2012,4,764,851671,0.055,0.003,2012
2012,8,214,851610,0.045,0.007,2012
2012,8,300,851610,0.008,0.004,2012
2012,8,300,851671,0.1,0.011,2012
2012,8,348,851671,0.037,0.005,2012
2012,8,380,851671,1.216,2.82,2012
2012,8,528,851671,0.039,0.08,2012
2012,8,616,851671,7.565,0.122,2012
2012,8,688,851610,0.39,0.023,2012
2012,8,757,851671,0.112,0.045,2012
2012,8,807,851610,0.555,0.01,2012
2012,12,620,851671,0.183,0.005,2012
2012,20,251,851671,0.594,0.012,2012
2012,20,410,851671,0.102,0.005,2012
2012,20,724,851610,29.212,10.69,2012
2012,20,724,851671,19.751,0.71,2012
2012,24,764,851671,0.087,0.004,2012
2012,31,124,851610,0.028,0.004,2012
2012,31,251,851671,2.468,0.298,2012
2012,31,268,851610,0.41,0.055,2012
2012,31,268,851671,0.055,0.004,2012
2012,31,643,851610,4.92,0.042,2012
2012,31,792,851671,0.4,0.038,2012
2012,31,804,851671,8.088,0.02,2012
2012,31,826,851671,1.56,0.214,2012
2012,31,842,851610,0.05,0.004,2012
2012,32,68,851610,66.895,11.549,2012
2012,32,68,851671,6.412,0.219,2012
2012,32,152,851610,53.528,10.532,2012
2012,32,152,851671,4.242,0.213,2012
2012,32,251,851671,0.188,0.001,2012
2012,32,320,851610,0.026,0.004,2012
2012,32,528,851671,0.111,0.006,2012
2012,32,600,851671,3.667,0.064,2012
2012,32,604,851610,7.043,0.516,2012
2012,32,699,851610,1.002,0.012,2012
2012,32,702,851671,0.513,0.026,2012
2012,32,705,851671,0.02,0.007,2012
2012,32,858,851610,33.728,4.375,2012
2012,32,858,851671,0.113,0.062,2012
2012,36,12,851610,4.075,0.015,2012
2012,36,48,851671,6.975,0.325,2012
2012,36,56,851610,0.521,0.056,2012
2012,36,76,851610,9.755,0.092,2012
2012,36,90,851610,4.999,0.204,2012
2012,36,90,851671,8.841,0.167,2012
2012,36,100,851610,0.834,0.004,2012
2012,36,124,851610,6.45,1.019,2012
