t,i,j,k,v,q,year
2012,8,40,851629,0.032,0.006,2012
2012,8,300,841460,0.098,0.02,2012
2012,8,380,841460,0.429,0.09,2012
2012,8,380,851621,0.319,0.015,2012
2012,8,380,851629,4.848,1.225,2012
2012,12,620,841460,0.372,0.024,2012
2012,20,251,851629,0.042,0.002,2012
2012,20,620,851629,0.257,0.55,2012
2012,20,724,841460,4.849,0.261,2012
2012,20,724,851621,0.267,0.039,2012
2012,20,724,851629,15.186,1.844,2012
2012,24,528,851629,0.288,0.16,2012
2012,31,268,841460,2.627,0.101,2012
2012,31,268,851629,0.359,0.024,2012
2012,32,68,841460,72.948,9.326,2012
2012,32,68,851629,1.039,0.1,2012
2012,32,76,841460,251.103,29.706,2012
2012,32,76,851629,0.474,0.026,2012
2012,32,152,841460,0.858,0.102,2012
2012,32,152,851621,1.027,0.144,2012
2012,32,152,851629,89.231,11.241,2012
2012,32,170,851629,0.85,0.113,2012
2012,32,218,841460,11.907,0.771,2012
2012,32,251,851629,1.089,0.019,2012
2012,32,320,851629,0.171,0.024,2012
2012,32,484,851629,6.099,0.626,2012
2012,32,600,841460,397.901,51.787,2012
2012,32,600,851629,130.302,11.071,2012
2012,32,643,851629,4.567,0.17,2012
2012,32,705,851629,0.013,0.005,2012
2012,32,724,851629,0.015,0.007,2012
2012,32,788,851629,0.106,0.008,2012
2012,32,842,851629,3.646,0.066,2012
2012,32,858,841460,64.364,6.405,2012
2012,32,858,851629,43.77,4.029,2012
2012,32,862,841460,20.813,0.709,2012
2012,36,48,841460,0.776,0.007,2012
2012,36,90,841460,0.54,0.816,2012
2012,36,124,841460,64.991,1.92,2012
2012,36,124,851629,24.283,2.351,2012
2012,36,152,841460,4.48,0.215,2012
2012,36,156,841460,25.994,0.571,2012
2012,36,156,851621,10.551,0.148,2012
2012,36,156,851629,88.044,1.194,2012
2012,36,162,841460,2.547,0.05,2012
2012,36,166,841460,8.279,0.1,2012
2012,36,166,851621,4.698,0.025,2012
2012,36,191,851629,0.081,0.002,2012
2012,36,196,841460,0.259,0.05,2012
2012,36,203,851629,0.077,0.031,2012
2012,36,208,841460,9.6,0.125,2012
2012,36,242,841460,42.107,2.999,2012
2012,36,242,851629,16.16,,2012
2012,36,246,851629,1.057,0.005,2012
2012,36,251,841460,23.974,0.639,2012
2012,36,276,841460,37.648,1.444,2012
2012,36,276,851629,49.267,3.389,2012
2012,36,288,841460,46.846,0.733,2012
2012,36,288,851629,374.087,13.5,2012
2012,36,324,841460,7.656,0.448,2012
2012,36,344,841460,3.59,0.158,2012
2012,36,344,851629,0.53,0.032,2012
2012,36,348,851629,2.839,0.07,2012
2012,36,360,841460,78.736,4.801,2012
2012,36,360,851621,5.439,0.036,2012
2012,36,360,851629,99.923,4.636,2012
2012,36,372,851629,14.437,0.283,2012
2012,36,376,851629,1.0,0.103,2012
2012,36,380,841460,79.863,8.825,2012
