t,i,j,k,v,q,year
2012,8,276,902140,0.064,,2012
2012,20,251,902140,41.586,0.037,2012
2012,20,724,902140,6.795,0.006,2012
2012,24,620,902140,0.224,,2012
2012,31,276,902140,0.053,,2012
2012,32,68,902140,0.681,0.001,2012
2012,36,12,902140,1501.616,0.372,2012
2012,36,31,902140,22.243,0.017,2012
2012,36,32,902140,946.335,0.165,2012
2012,36,40,902140,677.574,0.006,2012
2012,36,50,902140,243.194,0.033,2012
2012,36,56,902140,98.91,0.01,2012
2012,36,68,902140,73.244,0.031,2012
2012,36,70,902140,46.422,0.017,2012
2012,36,76,902140,245.347,0.171,2012
2012,36,90,902140,5.174,0.01,2012
2012,36,116,902140,2.07,0.001,2012
2012,36,124,902140,10098.58,0.105,2012
2012,36,144,902140,115.93,0.075,2012
2012,36,152,902140,12.216,0.006,2012
2012,36,156,902140,17322.992,1.653,2012
2012,36,170,902140,3195.85,1.433,2012
2012,36,188,902140,234.547,0.125,2012
2012,36,203,902140,3248.852,0.685,2012
2012,36,208,902140,0.778,0.001,2012
2012,36,242,902140,0.441,,2012
2012,36,246,902140,490.878,0.173,2012
2012,36,251,902140,0.288,,2012
2012,36,258,902140,7.304,0.005,2012
2012,36,276,902140,2329.28,0.553,2012
2012,36,344,902140,896.338,0.836,2012
2012,36,352,902140,55.018,0.018,2012
2012,36,368,902140,2.07,0.001,2012
2012,36,392,902140,710.791,0.032,2012
2012,36,398,902140,1656.4,0.4,2012
2012,36,400,902140,1600.505,0.587,2012
2012,36,410,902140,197.862,0.039,2012
2012,36,418,902140,3.055,0.006,2012
2012,36,422,902140,253.371,0.201,2012
2012,36,458,902140,515.294,0.214,2012
2012,36,484,902140,22.051,0.003,2012
2012,36,490,902140,635.517,0.283,2012
2012,36,496,902140,21.276,0.011,2012
2012,36,528,902140,0.383,0.003,2012
2012,36,554,902140,5584.407,2.703,2012
2012,36,579,902140,1698.496,0.358,2012
2012,36,591,902140,17120.239,1.242,2012
2012,36,598,902140,13.291,0.089,2012
2012,36,600,902140,5.065,0.002,2012
2012,36,604,902140,10.438,0.006,2012
2012,36,608,902140,97.938,0.052,2012
2012,36,616,902140,3710.354,1.051,2012
2012,36,643,902140,4483.876,2.459,2012
2012,36,688,902140,405.75,0.078,2012
2012,36,699,902140,5821.253,3.163,2012
2012,36,702,902140,3070.152,1.358,2012
2012,36,704,902140,799.449,0.057,2012
2012,36,710,902140,2608.022,1.235,2012
2012,36,729,902140,68.666,0.033,2012
2012,36,752,902140,24.031,0.011,2012
2012,36,757,902140,114.339,0.072,2012
2012,36,764,902140,1422.021,0.062,2012
2012,36,784,902140,1390.466,0.499,2012
2012,36,792,902140,9091.704,2.211,2012
2012,36,807,902140,94.814,0.022,2012
2012,36,826,902140,132450.359,2.235,2012
2012,36,842,902140,167015.983,5.261,2012
2012,36,858,902140,168.622,0.066,2012
2012,40,12,902140,1826.291,0.44,2012
2012,40,32,902140,463.261,0.078,2012
2012,40,36,902140,1298.32,1.762,2012
2012,40,56,902140,3.416,0.002,2012
2012,40,68,902140,17.538,0.027,2012
2012,40,70,902140,38.45,0.011,2012
2012,40,76,902140,3368.284,1.574,2012
2012,40,100,902140,111.173,0.008,2012
2012,40,124,902140,1925.519,0.104,2012
2012,40,152,902140,154.509,0.073,2012
2012,40,156,902140,7503.711,0.018,2012
2012,40,170,902140,2478.145,1.387,2012
2012,40,191,902140,88.556,0.051,2012
2012,40,196,902140,106.282,0.006,2012
2012,40,203,902140,9.72,0.005,2012
2012,40,208,902140,6.014,0.005,2012
2012,40,246,902140,241.082,0.056,2012
2012,40,251,902140,94.18,0.018,2012
2012,40,258,902140,80.34,0.019,2012
2012,40,268,902140,817.803,0.257,2012
2012,40,276,902140,5225.472,0.606,2012
2012,40,300,902140,6.189,0.006,2012
2012,40,320,902140,41.03,0.023,2012
2012,40,344,902140,10911.161,0.109,2012
2012,40,348,902140,891.156,0.153,2012
2012,40,376,902140,1255.452,0.307,2012
2012,40,380,902140,176.76,0.08,2012
2012,40,392,902140,182.694,0.1,2012
2012,40,398,902140,3538.7,1.0,2012
2012,40,410,902140,2085.961,1.254,2012
2012,40,428,902140,126.846,0.044,2012
2012,40,458,902140,10.694,0.003,2012
2012,40,470,902140,126.089,0.02,2012
2012,40,499,902140,123.611,0.039,2012
2012,40,504,902140,0.756,,2012
2012,40,512,902140,1.654,0.001,2012
2012,40,528,902140,10.659,0.011,2012
2012,40,554,902140,8.807,0.004,2012
2012,40,579,902140,41.565,0.057,2012
2012,40,604,902140,76.8,0.03,2012
2012,40,616,902140,62.722,0.031,2012
2012,40,620,902140,10.532,0.01,2012
2012,40,642,902140,734.324,0.223,2012
2012,40,643,902140,44.165,0.003,2012
2012,40,688,902140,29.501,0.003,2012
2012,40,699,902140,3.535,,2012
2012,40,703,902140,32.878,0.031,2012
2012,40,704,902140,315.394,0.001,2012
2012,40,705,902140,903.852,0.247,2012
2012,40,710,902140,0.826,,2012
2012,40,724,902140,591.084,0.041,2012
2012,40,752,902140,4986.009,2.361,2012
2012,40,757,902140,537.447,0.137,2012
2012,40,784,902140,151.505,0.079,2012
2012,40,792,902140,24.363,0.016,2012
2012,40,826,902140,183.522,0.121,2012
2012,40,842,902140,439.466,0.321,2012
2012,40,858,902140,136.746,0.063,2012
2012,48,208,902140,0.088,0.001,2012
2012,48,276,902140,0.071,,2012
2012,56,36,902140,6.033,0.021,2012
2012,56,124,902140,0.384,,2012
2012,56,156,902140,9.581,0.003,2012
2012,56,208,902140,19.498,0.012,2012
2012,56,251,902140,201.335,0.009,2012
2012,56,276,902140,7.079,0.001,2012
2012,56,300,902140,2.576,0.001,2012
2012,56,352,902140,6.289,0.009,2012
2012,56,372,902140,3.523,0.013,2012
2012,56,442,902140,1150.168,0.232,2012
2012,56,528,902140,163.232,0.06,2012
2012,56,533,902140,4.629,0.001,2012
2012,56,579,902140,0.001,,2012
2012,56,591,902140,3.59,0.002,2012
2012,56,620,902140,1.048,0.001,2012
2012,56,702,902140,69.445,0.033,2012
2012,56,704,902140,14.331,0.028,2012
2012,56,710,902140,13.54,0.006,2012
2012,56,724,902140,4.814,0.001,2012
2012,56,757,902140,147.274,0.135,2012
2012,56,826,902140,2.401,0.001,2012
2012,60,124,902140,3.997,,2012
2012,60,842,902140,4.45,,2012
2012,68,152,902140,0.353,,2012
2012,68,208,902140,0.241,0.001,2012
2012,68,276,902140,0.303,,2012
2012,72,710,902140,0.028,,2012
2012,76,68,902140,3.499,,2012
2012,76,152,902140,7.09,0.002,2012
2012,76,208,902140,293.78,0.012,2012
2012,76,214,902140,3.822,0.002,2012
2012,76,320,902140,1.443,,2012
2012,76,340,902140,4.741,0.001,2012
2012,76,380,902140,1.37,0.001,2012
2012,76,410,902140,0.142,0.001,2012
2012,76,528,902140,1.084,,2012
2012,76,558,902140,0.164,0.002,2012
2012,76,710,902140,5.043,0.002,2012
2012,76,757,902140,61.108,0.018,2012
2012,76,842,902140,3.727,0.003,2012
2012,76,858,902140,0.708,,2012
2012,90,842,902140,33.263,0.015,2012
2012,96,36,902140,1.628,,2012
2012,100,8,902140,3.314,0.003,2012
2012,100,784,902140,23.641,0.012,2012
