code,description,category
853110,"Signalling apparatus: electric, sound or visual, burglar or fire alarms and similar, other than those of heading no. 8512 or 8530","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
853180,"Signalling apparatus: electric, sound or visual, apparatus n.e.c. in heading no. 8531, excluding those of heading no. 8512 or 8530","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
854370,"Electrical machines and apparatus: having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
901730,"Mathematical equipment: micrometers, callipers and gauges","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
902410,"Machines and appliances: for testing the hardness, strength, compressibility, elasticity or other mechanical properties of metals","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
902480,"Machines and appliances: for testing the hardness, strength, compressibility, elasticity or other mechanical properties of materials other than metals","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
902519,"Thermometers and pyrometers: (other than liquid filled, for direct reading), not combined with other instruments","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
902580,"Hydrometers and similar floating instruments, barometers, hygrometers, psychrometers, thermometers, pyrometers: recording or not, any combination of these instruments (excluding thermometers and barometers not combined with other instruments)","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
902610,Instruments and apparatus: for measuring or checking the flow or level of liquids,"Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
902620,Instruments and apparatus: for measuring or checking pressure,"Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
902680,"Instruments and apparatus: for measuring or checking variables of liquids or gases (excluding pressure or the flow and level of liquids and those of heading no. 9014, 9015, 9028 and 9032)","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
902710,"Instruments and apparatus: gas or smoke analysis apparatus, for physical or chemical analysis","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
902780,"Instruments and apparatus: for physical or chemical analysis, for measuring or checking viscosity, porosity, expansion, surface tension or quantities of heat, sound or light, n.e.c. in heading no. 9027","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
903020,Oscilloscopes and oscillographs,"Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
903033,"Instruments and apparatus: for measuring or checking voltage, current, resistance or power, without a recording device (excluding multimeters)","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
903039,"Instruments and apparatus: for measuring or checking voltage, current, resistance or power, with a recording device (excluding multimeters)","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
903089,"Instruments and apparatus: n.e.c. in heading no. 9030, without a recording device","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
903180,"Instruments, appliances and machines: for measuring or checking n.e.c. in chapter 90","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
903210,"Regulating or controlling instruments and apparatus: automatic type, thermostats","Household Monitoring & Control (alarm, heat, smoke, excl. screens)"
