t,i,j,k,v,q,year
2012,4,124,851660,0.062,0.009,2012
2012,4,784,851660,0.355,0.02,2012
2012,8,100,851660,1.452,0.13,2012
2012,8,300,851660,0.358,0.054,2012
2012,8,380,851660,17.814,3.02,2012
2012,8,499,851660,15.42,2.506,2012
2012,8,642,851660,1.087,1.05,2012
2012,8,688,851660,9.122,0.814,2012
2012,8,705,851660,12.671,2.18,2012
2012,8,807,851660,9.382,1.786,2012
2012,12,620,851660,1.077,0.113,2012
2012,16,554,851660,2.183,0.299,2012
2012,16,882,851660,0.624,0.02,2012
2012,20,251,851660,0.193,0.15,2012
2012,20,620,851660,0.039,0.007,2012
2012,20,724,851660,57.414,3.632,2012
2012,28,214,851660,0.02,0.003,2012
2012,31,251,851660,0.323,0.085,2012
2012,31,268,851660,1.43,0.05,2012
2012,31,643,851660,0.32,0.038,2012
2012,31,826,851660,0.4,0.07,2012
2012,32,68,851660,1.874,0.151,2012
2012,32,76,851660,3.252,0.504,2012
2012,32,152,851660,1.325,0.23,2012
2012,32,170,851660,3.447,0.21,2012
2012,32,188,851660,0.533,0.012,2012
2012,32,724,851660,0.648,0.032,2012
2012,32,764,851660,0.063,0.009,2012
2012,32,858,851660,99.431,10.57,2012
2012,36,40,851660,0.53,0.007,2012
2012,36,50,851660,0.924,0.567,2012
2012,36,60,851660,0.05,,2012
2012,36,70,851660,0.415,0.085,2012
2012,36,76,851660,2.703,0.081,2012
2012,36,90,851660,54.565,4.362,2012
2012,36,104,851660,9.126,1.288,2012
2012,36,116,851660,0.194,0.128,2012
2012,36,124,851660,6.632,0.936,2012
2012,36,156,851660,404.794,33.361,2012
2012,36,162,851660,80.913,3.177,2012
2012,36,166,851660,2.528,0.13,2012
2012,36,184,851660,32.172,9.256,2012
2012,36,191,851660,0.343,0.091,2012
2012,36,196,851660,12.05,0.582,2012
2012,36,203,851660,0.529,0.148,2012
2012,36,208,851660,0.432,0.021,2012
2012,36,242,851660,420.163,16.705,2012
2012,36,246,851660,0.413,0.003,2012
2012,36,251,851660,1.52,0.027,2012
2012,36,262,851660,2.154,0.004,2012
2012,36,276,851660,2.599,0.413,2012
2012,36,296,851660,2.638,0.064,2012
2012,36,300,851660,7.783,0.55,2012
2012,36,344,851660,205.357,31.303,2012
2012,36,348,851660,0.016,0.003,2012
2012,36,360,851660,50.267,4.225,2012
2012,36,376,851660,23.915,0.5,2012
2012,36,380,851660,69.345,4.737,2012
2012,36,392,851660,192.757,1.435,2012
2012,36,404,851660,52.665,7.106,2012
2012,36,410,851660,2.901,0.184,2012
2012,36,446,851660,3.294,0.016,2012
2012,36,450,851660,2.922,0.051,2012
2012,36,458,851660,933.994,133.358,2012
2012,36,462,851660,2.418,0.334,2012
2012,36,480,851660,2.951,0.93,2012
2012,36,490,851660,87.961,0.812,2012
2012,36,499,851660,0.179,0.05,2012
2012,36,512,851660,35.16,1.608,2012
2012,36,520,851660,8.044,1.683,2012
2012,36,528,851660,2.802,0.13,2012
2012,36,548,851660,22.257,1.993,2012
2012,36,554,851660,14576.567,2010.786,2012
2012,36,574,851660,11.989,0.46,2012
2012,36,579,851660,3.843,0.017,2012
2012,36,586,851660,0.028,0.04,2012
2012,36,598,851660,2096.291,364.303,2012
2012,36,608,851660,11.54,0.034,2012
2012,36,626,851660,15.344,3.03,2012
2012,36,682,851660,340.366,7.755,2012
2012,36,688,851660,0.057,0.001,2012
2012,36,702,851660,227.084,28.126,2012
2012,36,704,851660,32.414,,2012
2012,36,710,851660,5.636,0.735,2012
2012,36,724,851660,0.598,0.003,2012
2012,36,764,851660,549.704,81.028,2012
2012,36,776,851660,0.294,0.145,2012
2012,36,784,851660,224.53,10.429,2012
2012,36,800,851660,0.099,0.04,2012
2012,36,807,851660,0.551,0.43,2012
2012,36,826,851660,2.676,0.475,2012
2012,36,842,851660,314.75,45.343,2012
2012,36,882,851660,4.733,1.375,2012
2012,36,894,851660,42.564,5.831,2012
