t,i,j,k,v,q,year
2012,4,124,851310,0.105,0.001,2012
2012,4,710,851310,0.048,0.002,2012
2012,4,764,851310,0.155,0.002,2012
2012,8,276,851310,0.051,0.003,2012
2012,20,724,851310,1.543,0.043,2012
2012,20,748,851310,0.008,0.001,2012
2012,24,360,851310,15.464,3.932,2012
2012,24,710,851310,0.778,0.03,2012
2012,24,764,851310,0.088,,2012
2012,31,268,851310,0.502,0.072,2012
2012,31,894,851310,0.152,0.006,2012
2012,32,36,851310,1.756,0.143,2012
2012,32,68,851310,0.709,0.014,2012
2012,32,76,851310,0.012,0.001,2012
2012,32,124,851310,0.006,0.001,2012
2012,32,152,851310,53.155,2.306,2012
2012,32,218,851310,0.01,0.001,2012
2012,32,558,851310,0.393,0.082,2012
2012,32,591,851310,15.846,0.615,2012
2012,32,600,851310,7.109,0.978,2012
2012,32,604,851310,2.255,0.018,2012
2012,32,702,851310,0.005,0.001,2012
2012,32,724,851310,0.524,0.005,2012
2012,32,842,851310,4.409,0.084,2012
2012,32,858,851310,8.738,0.088,2012
2012,32,862,851310,0.026,0.001,2012
2012,36,16,851310,4.19,0.16,2012
2012,36,40,851310,1.748,0.056,2012
2012,36,56,851310,5.518,0.086,2012
2012,36,68,851310,0.93,0.019,2012
2012,36,90,851310,64.218,13.004,2012
2012,36,124,851310,51.362,0.341,2012
2012,36,144,851310,5.174,0.004,2012
2012,36,152,851310,1.365,0.048,2012
2012,36,156,851310,117.884,2.126,2012
2012,36,170,851310,65.752,0.596,2012
2012,36,188,851310,0.887,0.067,2012
2012,36,191,851310,1.785,0.05,2012
2012,36,196,851310,0.129,0.015,2012
2012,36,203,851310,2.488,0.066,2012
2012,36,208,851310,11.985,0.12,2012
2012,36,231,851310,6.24,0.008,2012
2012,36,242,851310,114.514,0.155,2012
2012,36,246,851310,1.376,0.037,2012
2012,36,251,851310,35.528,1.076,2012
2012,36,268,851310,0.003,,2012
2012,36,276,851310,13.532,0.292,2012
2012,36,288,851310,749.193,3.365,2012
2012,36,296,851310,4.657,0.162,2012
2012,36,344,851310,81.331,2.107,2012
2012,36,352,851310,1.765,0.013,2012
2012,36,360,851310,472.047,23.246,2012
2012,36,372,851310,0.775,0.045,2012
2012,36,376,851310,10.0,,2012
2012,36,380,851310,22.233,0.315,2012
2012,36,392,851310,38.167,0.099,2012
2012,36,398,851310,51.1,1.474,2012
2012,36,404,851310,0.136,0.004,2012
2012,36,410,851310,5.418,0.025,2012
2012,36,418,851310,6.353,0.069,2012
2012,36,450,851310,1.865,0.013,2012
2012,36,458,851310,3424.399,134.439,2012
2012,36,462,851310,16.76,0.012,2012
2012,36,466,851310,19.933,0.16,2012
2012,36,478,851310,0.949,0.013,2012
2012,36,480,851310,0.644,0.003,2012
2012,36,484,851310,3.495,0.005,2012
2012,36,490,851310,9.691,0.494,2012
2012,36,496,851310,3.077,0.03,2012
2012,36,512,851310,10.252,0.44,2012
2012,36,516,851310,89.21,1.242,2012
2012,36,520,851310,76.519,3.0,2012
2012,36,528,851310,4.024,0.079,2012
2012,36,540,851310,86.868,1.253,2012
2012,36,548,851310,3.503,0.045,2012
2012,36,554,851310,481.045,19.239,2012
2012,36,558,851310,0.73,0.125,2012
2012,36,579,851310,5.552,0.011,2012
2012,36,586,851310,0.086,0.017,2012
2012,36,598,851310,422.501,6.204,2012
2012,36,604,851310,0.24,0.03,2012
