t,i,j,k,v,q,year
2012,4,124,847130,0.366,0.002,2012
2012,4,214,847130,0.325,0.002,2012
2012,4,251,847130,449.498,0.839,2012
2012,4,276,847130,4.231,0.021,2012
2012,4,528,847130,3.763,0.035,2012
2012,4,554,847130,2.494,0.012,2012
2012,4,702,847130,0.631,0.003,2012
2012,4,710,847130,1.565,0.008,2012
2012,4,764,847130,1.299,0.007,2012
2012,4,784,847130,300.218,0.33,2012
2012,4,807,847130,0.266,0.003,2012
2012,4,826,847130,3.033,0.022,2012
2012,8,56,847130,1.555,0.009,2012
2012,8,100,847130,30.738,0.342,2012
2012,8,124,847130,1.583,0.009,2012
2012,8,191,847130,2.948,0.007,2012
2012,8,276,847130,0.317,0.002,2012
2012,8,300,847130,57.003,0.303,2012
2012,8,376,847130,1.0,0.005,2012
2012,8,380,847130,4.138,0.012,2012
2012,8,528,847130,0.421,0.008,2012
2012,8,688,847130,0.351,0.005,2012
2012,8,710,847130,0.397,0.002,2012
2012,8,757,847130,0.131,0.005,2012
2012,8,764,847130,0.51,0.003,2012
2012,8,842,847130,3.831,0.052,2012
2012,12,56,847130,1.608,0.006,2012
2012,12,100,847130,0.253,0.004,2012
2012,12,251,847130,3.356,0.02,2012
2012,12,276,847130,0.928,0.004,2012
2012,12,380,847130,1.491,0.006,2012
2012,12,410,847130,0.19,0.003,2012
2012,12,528,847130,0.264,0.017,2012
2012,12,702,847130,2.253,0.011,2012
2012,12,757,847130,15.596,0.02,2012
2012,20,124,847130,1.022,0.005,2012
2012,20,214,847130,1.5,0.008,2012
2012,20,251,847130,7.205,0.035,2012
2012,20,276,847130,0.771,0.001,2012
2012,20,528,847130,2.822,0.02,2012
2012,20,705,847130,2.865,0.02,2012
2012,20,724,847130,126.802,0.832,2012
2012,24,56,847130,11.655,0.036,2012
2012,24,124,847130,3.584,0.019,2012
2012,24,214,847130,0.035,,2012
2012,24,251,847130,1.654,0.01,2012
2012,24,380,847130,8.253,0.028,2012
2012,24,516,847130,0.587,0.003,2012
2012,24,528,847130,1.438,0.014,2012
2012,24,579,847130,1.72,0.004,2012
2012,24,620,847130,107.842,0.448,2012
2012,24,710,847130,4.825,0.024,2012
2012,24,724,847130,1.181,0.02,2012
2012,24,757,847130,1.113,0.007,2012
2012,24,826,847130,3.148,0.06,2012
2012,28,724,847130,0.737,0.1,2012
2012,31,251,847130,2.453,0.057,2012
2012,31,268,847130,42.734,0.109,2012
2012,31,528,847130,8.617,0.034,2012
2012,31,705,847130,0.749,0.007,2012
2012,31,764,847130,0.471,0.002,2012
2012,31,784,847130,1.651,0.022,2012
2012,32,40,847130,0.35,0.002,2012
2012,32,68,847130,0.912,0.032,2012
2012,32,76,847130,16.066,0.053,2012
2012,32,152,847130,222.523,0.393,2012
2012,32,156,847130,2.181,0.004,2012
2012,32,170,847130,25.472,0.088,2012
2012,32,188,847130,0.375,0.046,2012
2012,32,208,847130,1.634,0.014,2012
2012,32,251,847130,8.613,0.008,2012
2012,32,276,847130,18.697,0.068,2012
2012,32,320,847130,7.0,0.004,2012
2012,32,372,847130,2.252,0.017,2012
2012,32,484,847130,8.82,0.053,2012
2012,32,528,847130,1.171,0.004,2012
2012,32,591,847130,4.124,0.02,2012
2012,32,604,847130,9.996,0.039,2012
2012,32,724,847130,1.871,0.008,2012
2012,32,752,847130,0.738,0.003,2012
2012,32,757,847130,2.07,0.006,2012
2012,32,764,847130,0.314,0.002,2012
2012,32,842,847130,23.766,0.118,2012
2012,32,858,847130,0.881,0.001,2012
2012,32,862,847130,15.255,0.247,2012
2012,36,4,847130,16.831,0.05,2012
2012,36,16,847130,4.885,0.05,2012
2012,36,40,847130,13.532,0.038,2012
2012,36,48,847130,3.105,0.004,2012
2012,36,50,847130,18.219,0.095,2012
2012,36,56,847130,48.342,0.269,2012
2012,36,64,847130,2.949,0.01,2012
2012,36,68,847130,0.542,0.001,2012
2012,36,70,847130,0.778,0.012,2012
2012,36,76,847130,30.783,0.082,2012
2012,36,84,847130,4.14,0.012,2012
2012,36,90,847130,343.258,3.686,2012
2012,36,96,847130,13.682,0.284,2012
2012,36,100,847130,47.262,0.257,2012
2012,36,104,847130,0.165,0.001,2012
2012,36,116,847130,297.608,14.795,2012
2012,36,124,847130,82.78,0.382,2012
2012,36,144,847130,125.96,30.233,2012
2012,36,152,847130,85.463,0.417,2012
2012,36,156,847130,259.829,0.789,2012
2012,36,162,847130,41.368,0.167,2012
2012,36,166,847130,20.319,0.121,2012
2012,36,178,847130,0.808,0.05,2012
2012,36,188,847130,0.087,0.002,2012
2012,36,191,847130,2.168,0.011,2012
2012,36,196,847130,2.738,0.01,2012
2012,36,203,847130,3.673,0.017,2012
2012,36,208,847130,1.304,0.005,2012
2012,36,214,847130,29.75,0.156,2012
2012,36,226,847130,3.343,0.025,2012
2012,36,233,847130,5.888,0.043,2012
2012,36,242,847130,2104.237,19.307,2012
2012,36,246,847130,21.02,0.102,2012
2012,36,251,847130,181.361,0.553,2012
2012,36,258,847130,3.367,0.03,2012
2012,36,266,847130,3.105,0.002,2012
2012,36,268,847130,0.561,0.003,2012
2012,36,276,847130,140.238,0.556,2012
2012,36,288,847130,43.588,0.207,2012
2012,36,296,847130,9.099,0.056,2012
2012,36,300,847130,2.029,0.004,2012
2012,36,316,847130,10.349,0.009,2012
2012,36,324,847130,0.236,0.016,2012
2012,36,344,847130,27135.278,202.843,2012
2012,36,348,847130,6.842,0.057,2012
2012,36,352,847130,0.697,0.003,2012
2012,36,360,847130,108.934,1.718,2012
2012,36,372,847130,40.882,0.187,2012
2012,36,376,847130,327.876,1.815,2012
2012,36,380,847130,12.945,0.218,2012
2012,36,384,847130,8.873,0.01,2012
2012,36,392,847130,82.338,0.446,2012
2012,36,398,847130,40.532,0.279,2012
2012,36,400,847130,2.817,0.011,2012
2012,36,404,847130,20.065,0.027,2012
2012,36,410,847130,232.609,1.044,2012
2012,36,417,847130,0.699,0.001,2012
2012,36,418,847130,16.852,0.015,2012
2012,36,422,847130,1.104,0.285,2012
