t,i,j,k,v,q,year
2012,4,124,920710,0.247,0.01,2012
2012,4,410,920790,0.331,0.006,2012
2012,8,70,920790,0.229,0.005,2012
2012,20,251,920790,5.917,0.01,2012
2012,20,528,920790,3.099,0.071,2012
2012,20,724,920710,2.106,0.015,2012
2012,20,724,920790,6.038,0.067,2012
2012,31,376,920790,1.0,0.025,2012
2012,31,764,920790,0.1,0.002,2012
2012,31,826,920790,0.1,0.009,2012
2012,32,152,920710,0.422,0.016,2012
2012,32,320,920710,83.425,1.748,2012
2012,32,586,920790,0.261,0.006,2012
2012,32,600,920710,857.801,23.73,2012
2012,32,600,920790,79.619,1.396,2012
2012,32,724,920790,1.226,0.006,2012
2012,32,784,920790,0.121,0.003,2012
2012,32,858,920710,113.202,4.898,2012
2012,32,858,920790,19.596,0.858,2012
2012,36,40,920710,4.012,0.027,2012
2012,36,40,920790,6.007,0.035,2012
2012,36,56,920790,29.888,0.233,2012
2012,36,124,920710,20.698,0.15,2012
2012,36,124,920790,2.07,0.008,2012
2012,36,156,920710,20.496,0.1,2012
2012,36,156,920790,13.442,0.076,2012
2012,36,191,920790,1.112,0.029,2012
2012,36,196,920790,0.37,0.014,2012
2012,36,208,920790,2.654,0.009,2012
2012,36,233,920790,0.217,0.006,2012
2012,36,242,920710,2.831,,2012
2012,36,242,920790,13.131,,2012
2012,36,246,920710,0.502,0.004,2012
2012,36,246,920790,4.528,0.008,2012
2012,36,251,920710,4.818,0.24,2012
2012,36,251,920790,29.821,0.125,2012
2012,36,258,920790,1.271,0.027,2012
2012,36,276,920710,62.397,0.286,2012
2012,36,276,920790,262.111,2.09,2012
2012,36,320,920710,0.1,0.085,2012
2012,36,344,920710,20.698,0.13,2012
2012,36,344,920790,60.071,0.426,2012
2012,36,360,920790,9.444,0.072,2012
2012,36,372,920790,0.695,0.005,2012
2012,36,376,920710,1.0,0.04,2012
2012,36,376,920790,18.0,0.448,2012
2012,36,380,920710,40.736,0.256,2012
2012,36,380,920790,2.273,0.011,2012
2012,36,392,920710,36.774,0.267,2012
2012,36,392,920790,11.013,0.013,2012
2012,36,398,920710,5.173,0.06,2012
2012,36,410,920710,2.509,0.061,2012
2012,36,410,920790,14.438,0.118,2012
2012,36,458,920790,4.522,0.011,2012
2012,36,470,920790,0.576,0.004,2012
2012,36,484,920790,3.13,0.035,2012
2012,36,490,920790,8.745,0.125,2012
2012,36,528,920710,0.41,0.009,2012
2012,36,528,920790,11.899,0.151,2012
2012,36,540,920790,8.708,0.462,2012
2012,36,554,920710,86.699,3.288,2012
2012,36,554,920790,121.592,2.758,2012
2012,36,579,920710,1.181,0.009,2012
2012,36,579,920790,12.071,0.079,2012
2012,36,591,920790,23.758,0.678,2012
2012,36,598,920710,27.006,0.991,2012
2012,36,598,920790,89.187,10.261,2012
2012,36,604,920710,0.037,0.035,2012
2012,36,616,920790,0.394,0.006,2012
2012,36,688,920710,0.256,0.02,2012
2012,36,699,920790,7.325,0.055,2012
2012,36,702,920790,7.09,0.112,2012
2012,36,704,920790,6.91,0.122,2012
2012,36,710,920790,14.585,0.33,2012
2012,36,724,920710,3.128,0.048,2012
2012,36,724,920790,0.379,0.004,2012
2012,36,752,920710,2.658,0.12,2012
2012,36,752,920790,2.186,0.04,2012
2012,36,757,920710,24.212,0.1,2012
2012,36,757,920790,5.095,0.104,2012
2012,36,764,920710,1.301,0.051,2012
2012,36,764,920790,4.876,0.096,2012
2012,36,784,920790,0.261,0.013,2012
2012,36,792,920790,93.755,0.156,2012
2012,36,800,920710,0.108,0.054,2012
