t,i,j,k,v,q,year
2012,8,124,851650,0.328,0.066,2012
2012,8,300,851650,0.305,0.133,2012
2012,8,348,851650,0.031,0.005,2012
2012,8,688,851650,1.0,0.124,2012
2012,12,620,851650,0.504,0.086,2012
2012,20,724,851650,15.918,2.234,2012
2012,24,214,851650,0.849,0.172,2012
2012,24,620,851650,0.761,0.03,2012
2012,28,214,851650,0.005,0.001,2012
2012,31,268,851650,0.026,0.002,2012
2012,31,364,851650,0.064,0.01,2012
2012,31,764,851650,0.097,0.02,2012
2012,31,804,851650,6.48,0.017,2012
2012,32,36,851650,11.003,1.962,2012
2012,32,214,851650,0.61,0.123,2012
2012,32,591,851650,0.055,0.008,2012
2012,32,858,851650,0.087,0.047,2012
2012,36,70,851650,56.6,15.415,2012
2012,36,90,851650,5.528,1.655,2012
2012,36,124,851650,2.241,0.406,2012
2012,36,156,851650,2.836,0.043,2012
2012,36,162,851650,5.184,1.12,2012
2012,36,166,851650,3.565,0.128,2012
2012,36,184,851650,3.531,9.191,2012
2012,36,191,851650,0.173,0.045,2012
2012,36,203,851650,0.478,0.089,2012
2012,36,208,851650,0.364,0.018,2012
2012,36,214,851650,0.15,0.03,2012
2012,36,242,851650,20.417,3.726,2012
2012,36,251,851650,0.288,0.018,2012
2012,36,276,851650,5.89,0.331,2012
2012,36,288,851650,1.19,1.2,2012
2012,36,376,851650,2.0,0.405,2012
2012,36,380,851650,15.195,0.074,2012
2012,36,410,851650,7.023,0.215,2012
2012,36,422,851650,1.192,0.425,2012
2012,36,458,851650,19.379,0.346,2012
2012,36,466,851650,3.473,0.182,2012
2012,36,480,851650,0.034,0.014,2012
2012,36,490,851650,4.001,0.035,2012
2012,36,528,851650,0.191,0.078,2012
2012,36,540,851650,2.535,0.22,2012
2012,36,548,851650,0.701,1.0,2012
2012,36,554,851650,38.677,6.641,2012
2012,36,574,851650,5.235,0.355,2012
2012,36,586,851650,15.021,32.828,2012
2012,36,598,851650,149.269,9.729,2012
2012,36,764,851650,5.05,1.022,2012
2012,36,780,851650,6.78,0.176,2012
2012,36,784,851650,2.658,1.144,2012
2012,36,800,851650,0.021,0.02,2012
2012,36,807,851650,0.267,0.357,2012
2012,36,842,851650,58.628,0.136,2012
2012,36,882,851650,0.292,0.029,2012
2012,36,894,851650,0.053,0.011,2012
2012,40,8,851650,0.03,0.012,2012
2012,40,31,851650,3.174,0.056,2012
2012,40,36,851650,38.947,0.456,2012
2012,40,56,851650,0.378,0.013,2012
2012,40,70,851650,18.047,10.073,2012
2012,40,76,851650,178.912,0.392,2012
2012,40,100,851650,84.901,15.304,2012
2012,40,191,851650,3.304,0.558,2012
2012,40,196,851650,38.398,11.146,2012
2012,40,203,851650,80.176,10.069,2012
2012,40,251,851650,3.815,0.402,2012
2012,40,268,851650,0.625,0.131,2012
2012,40,270,851650,0.501,0.033,2012
2012,40,276,851650,366.212,23.128,2012
2012,40,288,851650,0.221,0.08,2012
2012,40,300,851650,105.941,24.595,2012
2012,40,348,851650,3.38,0.556,2012
2012,40,376,851650,0.932,0.127,2012
2012,40,380,851650,335.998,77.042,2012
2012,40,398,851650,113.712,1.107,2012
2012,40,428,851650,8.289,2.192,2012
2012,40,434,851650,0.058,0.004,2012
2012,40,440,851650,28.067,6.375,2012
2012,40,442,851650,0.148,0.015,2012
2012,40,499,851650,7.994,1.889,2012
2012,40,579,851650,244.654,12.285,2012
2012,40,616,851650,241.447,18.13,2012
2012,40,642,851650,4.124,0.848,2012
2012,40,643,851650,10.845,0.176,2012
2012,40,686,851650,0.23,0.029,2012
2012,40,688,851650,1.204,0.065,2012
2012,40,702,851650,10.336,0.086,2012
2012,40,703,851650,74.421,9.452,2012
2012,40,705,851650,49.654,6.019,2012
2012,40,724,851650,0.085,0.016,2012
2012,40,729,851650,0.105,0.002,2012
2012,40,752,851650,2.522,0.371,2012
2012,40,757,851650,106.336,2.326,2012
2012,40,764,851650,0.01,0.002,2012
2012,40,807,851650,0.122,0.081,2012
2012,40,818,851650,0.764,0.089,2012
2012,48,764,851650,0.165,0.033,2012
2012,50,764,851650,0.095,0.019,2012
2012,51,642,851650,0.149,0.003,2012
2012,56,12,851650,3.767,0.048,2012
2012,56,24,851650,0.268,0.166,2012
2012,56,36,851650,61.151,5.297,2012
2012,56,40,851650,20.76,3.844,2012
2012,56,70,851650,0.052,0.005,2012
2012,56,100,851650,0.365,0.038,2012
2012,56,108,851650,0.429,0.026,2012
2012,56,112,851650,0.1,0.01,2012
2012,56,120,851650,4.853,1.195,2012
2012,56,178,851650,2.147,0.488,2012
2012,56,180,851650,18.397,1.366,2012
2012,56,188,851650,0.031,0.022,2012
2012,56,191,851650,7.327,0.395,2012
2012,56,192,851650,0.436,0.042,2012
2012,56,203,851650,52.724,10.235,2012
2012,56,204,851650,0.204,0.005,2012
2012,56,208,851650,3.96,0.083,2012
2012,56,214,851650,3.827,0.775,2012
2012,56,233,851650,0.688,0.071,2012
2012,56,246,851650,26.436,1.501,2012
2012,56,251,851650,2555.487,391.846,2012
2012,56,268,851650,0.065,0.027,2012
2012,56,276,851650,279.489,31.334,2012
2012,56,288,851650,10.138,3.389,2012
2012,56,300,851650,0.618,0.203,2012
2012,56,320,851650,0.213,0.056,2012
2012,56,324,851650,0.552,0.207,2012
2012,56,348,851650,33.976,7.596,2012
2012,56,352,851650,0.11,0.005,2012
2012,56,372,851650,2.054,0.213,2012
2012,56,376,851650,16.0,2.512,2012
2012,56,380,851650,98.98,23.081,2012
2012,56,384,851650,0.189,0.002,2012
2012,56,392,851650,0.04,0.001,2012
2012,56,398,851650,0.4,0.089,2012
2012,56,418,851650,0.167,0.042,2012
2012,56,422,851650,5.492,2.018,2012
2012,56,428,851650,1.189,0.026,2012
2012,56,440,851650,0.352,0.022,2012
2012,56,442,851650,712.725,71.823,2012
2012,56,450,851650,0.008,0.003,2012
2012,56,454,851650,0.059,0.004,2012
2012,56,470,851650,13.526,2.874,2012
2012,56,478,851650,0.354,0.31,2012
2012,56,499,851650,0.902,0.1,2012
2012,56,528,851650,7344.938,783.067,2012
2012,56,540,851650,3.935,1.575,2012
2012,56,562,851650,1.32,0.901,2012
2012,56,566,851650,0.013,0.015,2012
2012,56,579,851650,2.445,0.039,2012
2012,56,616,851650,4.228,0.871,2012
2012,56,620,851650,5.178,0.536,2012
2012,56,642,851650,0.137,0.004,2012
2012,56,643,851650,2.038,0.079,2012
2012,56,646,851650,0.101,0.004,2012
2012,56,686,851650,0.386,0.03,2012
2012,56,699,851650,0.361,0.005,2012
2012,56,703,851650,5.368,0.359,2012
2012,56,704,851650,1.178,,2012
2012,56,724,851650,28.978,3.281,2012
2012,56,752,851650,105.442,17.18,2012
2012,56,757,851650,136.872,23.862,2012
2012,56,764,851650,0.948,0.192,2012
2012,56,768,851650,0.628,0.98,2012
2012,56,784,851650,0.772,0.028,2012
2012,56,788,851650,0.313,0.023,2012
2012,56,800,851650,0.417,0.161,2012
2012,56,818,851650,0.43,0.02,2012
2012,56,826,851650,146.915,7.773,2012
2012,56,894,851650,0.353,0.072,2012
2012,68,92,851650,0.336,0.013,2012
2012,68,152,851650,0.229,0.047,2012
2012,68,188,851650,0.106,0.034,2012
2012,68,320,851650,0.031,0.009,2012
2012,70,40,851650,3.973,0.269,2012
2012,70,116,851650,6.809,3.78,2012
2012,70,152,851650,2.6,0.53,2012
2012,70,191,851650,2.16,0.381,2012
2012,70,251,851650,25.763,1.16,2012
2012,70,276,851650,16.431,11.503,2012
2012,70,300,851650,0.322,0.015,2012
2012,70,348,851650,2.978,3.0,2012
2012,70,499,851650,0.906,0.061,2012
2012,70,528,851650,6.612,3.189,2012
2012,70,579,851650,0.515,0.01,2012
2012,70,620,851650,9.655,1.5,2012
2012,70,688,851650,12.446,3.535,2012
2012,70,703,851650,0.879,0.826,2012
2012,70,752,851650,10.123,2.65,2012
2012,70,757,851650,2.283,0.284,2012
2012,72,516,851650,22.803,5.229,2012
2012,72,710,851650,45.454,9.256,2012
2012,72,800,851650,0.04,0.03,2012
2012,72,894,851650,0.15,0.031,2012
2012,76,24,851650,0.756,0.065,2012
2012,76,50,851650,0.187,0.038,2012
2012,76,68,851650,2.179,0.339,2012
2012,76,156,851650,1.897,0.2,2012
2012,76,188,851650,0.227,0.015,2012
2012,76,214,851650,0.596,0.121,2012
2012,76,226,851650,7.56,0.559,2012
2012,76,251,851650,10.259,0.013,2012
2012,76,276,851650,1.567,0.041,2012
2012,76,320,851650,0.086,0.057,2012
2012,76,410,851650,3.039,0.158,2012
2012,76,558,851650,0.066,0.016,2012
2012,76,600,851650,26.752,2.075,2012
2012,76,604,851650,4.702,0.185,2012
2012,76,702,851650,24.594,0.028,2012
2012,76,752,851650,0.591,0.098,2012
2012,76,764,851650,0.063,0.013,2012
2012,76,842,851650,41.536,0.088,2012
2012,76,858,851650,1.314,0.216,2012
2012,84,320,851650,0.083,0.011,2012
2012,90,36,851650,51.252,7.123,2012
2012,92,31,851650,5.902,4.912,2012
2012,96,764,851650,0.081,0.016,2012
2012,100,8,851650,14.452,3.564,2012
2012,100,31,851650,0.513,0.052,2012
2012,100,50,851650,0.206,0.042,2012
2012,100,51,851650,3.202,0.466,2012
2012,100,56,851650,70.673,15.923,2012
2012,100,70,851650,2.104,0.67,2012
2012,100,191,851650,3.903,1.057,2012
2012,100,196,851650,5.087,1.265,2012
2012,100,203,851650,3.457,0.651,2012
2012,100,268,851650,52.202,9.463,2012
2012,100,300,851650,43.319,11.389,2012
2012,100,380,851650,3.705,0.027,2012
2012,100,410,851650,0.33,0.03,2012
2012,100,440,851650,33.792,5.128,2012
2012,100,470,851650,4.866,0.886,2012
2012,100,499,851650,3.299,0.852,2012
2012,100,579,851650,1.368,0.191,2012
2012,100,642,851650,471.053,149.402,2012
2012,100,643,851650,0.348,0.034,2012
2012,100,688,851650,17.658,3.802,2012
2012,100,757,851650,0.585,0.01,2012
2012,100,764,851650,0.218,0.044,2012
2012,100,807,851650,53.351,10.175,2012
2012,112,51,851650,3.8,0.732,2012
2012,112,398,851650,105.608,25.969,2012
2012,112,616,851650,46.5,4.259,2012
2012,112,643,851650,10439.493,2672.434,2012
2012,112,804,851650,258.8,62.141,2012
2012,116,764,851650,0.223,0.045,2012
2012,120,242,851650,23.71,,2012
2012,124,50,851650,0.717,0.145,2012
2012,124,56,851650,0.63,0.02,2012
2012,124,60,851650,0.876,,2012
2012,124,68,851650,0.141,0.035,2012
2012,124,152,851650,3.085,0.628,2012
2012,124,156,851650,3.078,0.152,2012
2012,124,170,851650,0.01,0.001,2012
2012,124,188,851650,17.539,3.24,2012
2012,124,192,851650,5.839,0.606,2012
2012,124,203,851650,0.218,0.041,2012
2012,124,214,851650,6.026,1.22,2012
2012,124,242,851650,0.094,,2012
2012,124,251,851650,0.107,0.022,2012
2012,124,276,851650,0.825,0.03,2012
2012,124,288,851650,0.4,0.042,2012
2012,124,320,851650,2.304,1.985,2012
2012,124,328,851650,0.015,0.002,2012
2012,124,340,851650,0.421,0.356,2012
2012,124,344,851650,3.714,0.386,2012
2012,124,368,851650,0.744,0.077,2012
2012,124,372,851650,0.099,0.023,2012
2012,124,376,851650,1.0,0.202,2012
2012,124,380,851650,14.055,0.065,2012
2012,124,392,851650,48.854,4.28,2012
2012,124,410,851650,2.935,0.31,2012
2012,124,422,851650,0.22,0.37,2012
2012,124,446,851650,0.529,2.1,2012
2012,124,484,851650,5.542,0.65,2012
2012,124,558,851650,0.512,0.028,2012
2012,124,562,851650,0.015,0.002,2012
2012,124,591,851650,2.696,0.254,2012
2012,124,600,851650,0.03,0.06,2012
2012,124,604,851650,4.743,0.471,2012
2012,124,642,851650,0.025,0.03,2012
2012,124,659,851650,2.899,0.301,2012
2012,124,682,851650,42.933,5.0,2012
2012,124,729,851650,0.265,0.001,2012
2012,124,764,851650,0.158,0.032,2012
2012,124,784,851650,0.182,0.101,2012
2012,124,796,851650,1.151,0.12,2012
2012,124,842,851650,2380.68,247.235,2012
2012,124,858,851650,0.192,0.02,2012
2012,124,894,851650,2.381,0.485,2012
2012,136,188,851650,0.041,0.024,2012
2012,144,462,851650,1.396,0.283,2012
2012,144,702,851650,0.202,0.041,2012
2012,144,764,851650,0.158,0.032,2012
2012,152,32,851650,0.001,,2012
2012,152,56,851650,28.888,2.991,2012
2012,152,68,851650,402.719,82.433,2012
2012,152,76,851650,0.058,0.006,2012
2012,152,156,851650,3.344,0.346,2012
2012,152,188,851650,0.046,0.049,2012
2012,152,214,851650,0.035,0.007,2012
2012,152,218,851650,0.002,,2012
2012,152,320,851650,0.053,0.038,2012
2012,152,372,851650,24.665,3.372,2012
2012,152,434,851650,0.32,0.033,2012
2012,152,591,851650,0.002,,2012
2012,152,600,851650,24.368,1.461,2012
2012,152,604,851650,383.989,39.763,2012
2012,152,784,851650,1.359,0.141,2012
2012,152,842,851650,0.104,0.011,2012
2012,152,858,851650,22.177,2.297,2012
2012,156,4,851650,48.71,12.38,2012
2012,156,8,851650,488.32,110.727,2012
2012,156,12,851650,5125.61,1377.891,2012
2012,156,24,851650,795.448,284.762,2012
2012,156,31,851650,125.199,16.008,2012
2012,156,32,851650,1435.494,86.063,2012
2012,156,36,851650,57963.326,11687.259,2012
2012,156,40,851650,6545.478,1541.255,2012
2012,156,44,851650,192.612,77.33,2012
2012,156,48,851650,1053.204,375.732,2012
