code,description,category
847210,Office machines: duplicating machines,"Music Instruments, Radio, HiFi (incl. audio sets)"
847230,"Office machines: for sorting or folding mail or for inserting mail in envelopes or bands, machines for opening, closing or sealing mail and machines for affixing or cancelling postage stamps","Music Instruments, Radio, HiFi (incl. audio sets)"
847290,Office machines: not elsewhere classified,"Music Instruments, Radio, HiFi (incl. audio sets)"
851762,"Communication apparatus (excluding telephone sets or base stations): machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","Music Instruments, Radio, HiFi (incl. audio sets)"
851840,Amplifiers: audio-frequency electric,"Music Instruments, Radio, HiFi (incl. audio sets)"
851850,Amplifier sets: electric sound,"Music Instruments, Radio, HiFi (incl. audio sets)"
851920,"Sound recording or reproducing apparatus: operated by coins, banknotes, bank cards, tokens or by other means of payment","Music Instruments, Radio, HiFi (incl. audio sets)"
851930,Sound recording or reproducing apparatus: turntables (record-decks),"Music Instruments, Radio, HiFi (incl. audio sets)"
851981,"Sound recording or reproducing apparatus: using magnetic, optical or semiconductor media, n.e.c. in item no 8519.20, 8519.30 or 8519.50","Music Instruments, Radio, HiFi (incl. audio sets)"
851989,Sound recording or reproducing apparatus: n.e.c. in heading no 8519,"Music Instruments, Radio, HiFi (incl. audio sets)"
852721,"Radio-broadcast receivers not capable of operating without an external source of power, of a kind used in motor vehicles: combined with sound recording or reproducing apparatus","Music Instruments, Radio, HiFi (incl. audio sets)"
852729,"Radio-broadcast receivers not capable of operating without an external source of power, of a kind used in motor vehicles: not combined with sound recording or reproducing apparatus","Music Instruments, Radio, HiFi (incl. audio sets)"
