t,i,j,k,v,q,year
2012,20,724,847629,5.123,6.8,2012
2012,20,724,847689,0.707,0.3,2012
2012,32,484,847689,50.534,0.445,2012
2012,32,710,847689,19.382,0.763,2012
2012,32,842,847689,21.334,0.326,2012
2012,36,32,847689,23.967,0.195,2012
2012,36,40,847689,12.269,0.058,2012
2012,36,124,847689,0.313,0.003,2012
2012,36,242,847689,13.386,,2012
2012,36,360,847689,63.17,4.033,2012
2012,36,380,847689,7.896,0.287,2012
2012,36,392,847689,17.258,0.053,2012
2012,36,410,847689,0.076,0.007,2012
2012,36,414,847689,6.727,0.46,2012
2012,36,458,847689,8.399,0.08,2012
2012,36,528,847629,1.928,0.11,2012
2012,36,528,847689,5.64,0.031,2012
2012,36,554,847629,55.069,1.978,2012
2012,36,554,847689,321.012,12.243,2012
2012,36,598,847689,11.379,0.5,2012
2012,36,608,847689,9.667,0.038,2012
2012,36,699,847689,0.102,0.05,2012
2012,36,702,847629,7.762,0.08,2012
2012,36,702,847689,71.967,2.672,2012
2012,36,724,847689,0.386,0.005,2012
2012,36,784,847689,1.8,0.016,2012
2012,36,826,847689,3.23,2.52,2012
2012,36,842,847689,99.956,3.856,2012
2012,36,882,847629,10.008,0.635,2012
2012,40,56,847629,1.205,0.024,2012
2012,40,70,847689,21.92,4.117,2012
2012,40,152,847689,743.579,29.284,2012
2012,40,191,847689,24.533,8.761,2012
2012,40,203,847689,4.733,0.135,2012
2012,40,208,847629,5.147,0.252,2012
2012,40,208,847689,435.14,12.5,2012
2012,40,233,847689,51.452,1.107,2012
2012,40,251,847689,4.231,0.241,2012
2012,40,276,847689,244.795,4.07,2012
2012,40,300,847689,1.273,0.1,2012
2012,40,380,847629,2.988,0.001,2012
2012,40,380,847689,11.916,0.064,2012
2012,40,398,847689,84.059,0.332,2012
2012,40,422,847689,1.158,0.01,2012
2012,40,440,847689,168.224,9.372,2012
2012,40,470,847689,20.866,6.4,2012
2012,40,498,847689,23.121,3.27,2012
2012,40,516,847629,1.236,0.007,2012
2012,40,616,847689,32.448,2.674,2012
2012,40,642,847689,59.361,1.392,2012
2012,40,688,847689,15.555,0.463,2012
2012,40,703,847689,11.623,0.719,2012
2012,40,705,847689,54.414,10.364,2012
2012,40,710,847629,1.19,0.06,2012
2012,40,710,847689,6.987,0.1,2012
2012,40,724,847689,9.894,0.24,2012
2012,40,757,847629,2.574,0.05,2012
2012,40,757,847689,108.8,1.135,2012
2012,40,804,847689,74.035,11.64,2012
2012,40,807,847689,36.439,10.79,2012
2012,40,826,847689,155.131,1.2,2012
2012,40,842,847689,2.903,0.123,2012
2012,48,586,847629,4.815,0.136,2012
2012,56,36,847689,10.134,0.097,2012
