t,i,j,k,v,q,year
2012,8,380,841861,2.583,0.1,2012
2012,12,156,841861,0.311,0.004,2012
2012,32,40,841861,1.562,0.082,2012
2012,32,152,841861,32.803,1.786,2012
2012,32,203,841861,0.162,0.012,2012
2012,32,705,841861,0.117,0.007,2012
2012,32,842,841861,12.248,0.09,2012
2012,32,862,841861,80.0,1.57,2012
2012,36,90,841861,5.803,0.144,2012
2012,36,156,841861,3187.426,138.537,2012
2012,36,242,841861,2.987,0.183,2012
2012,36,251,841861,1.543,0.067,2012
2012,36,276,841861,2.115,0.139,2012
2012,36,344,841861,278.156,4.728,2012
2012,36,352,841861,4.767,0.135,2012
2012,36,360,841861,328.295,21.687,2012
2012,36,380,841861,2.199,0.058,2012
2012,36,392,841861,230.465,7.283,2012
2012,36,410,841861,448.958,34.204,2012
2012,36,462,841861,7.015,0.373,2012
2012,36,484,841861,147.534,3.227,2012
2012,36,512,841861,6.432,0.098,2012
2012,36,528,841861,17.239,0.393,2012
2012,36,540,841861,2.691,0.006,2012
2012,36,548,841861,9.699,0.042,2012
2012,36,554,841861,149.154,6.369,2012
2012,36,598,841861,23.653,0.998,2012
2012,36,682,841861,435.617,40.0,2012
2012,36,702,841861,152.825,7.003,2012
2012,36,704,841861,33.106,1.5,2012
2012,36,710,841861,159.075,9.318,2012
2012,36,752,841861,10.349,0.45,2012
2012,36,757,841861,5.676,0.037,2012
2012,36,764,841861,28.188,1.969,2012
2012,36,784,841861,15.232,0.38,2012
2012,36,818,841861,196.925,1.73,2012
2012,36,826,841861,4.354,0.12,2012
2012,36,882,841861,2.076,0.266,2012
2012,36,894,841861,4.522,0.246,2012
2012,40,31,841861,7.842,0.35,2012
2012,40,36,841861,33.045,2.121,2012
2012,40,51,841861,1.697,0.074,2012
2012,40,56,841861,604.223,37.899,2012
2012,40,70,841861,27.966,0.924,2012
2012,40,100,841861,19.07,1.523,2012
2012,40,112,841861,52.02,0.883,2012
2012,40,124,841861,1.119,0.059,2012
2012,40,156,841861,6.939,0.18,2012
2012,40,191,841861,18.204,0.943,2012
2012,40,203,841861,954.725,32.17,2012
2012,40,208,841861,194.78,6.518,2012
2012,40,233,841861,55.596,3.371,2012
2012,40,251,841861,108.867,3.751,2012
2012,40,268,841861,3.992,0.19,2012
2012,40,276,841861,7084.507,491.925,2012
2012,40,300,841861,67.713,1.77,2012
2012,40,348,841861,176.429,9.462,2012
2012,40,372,841861,278.116,17.562,2012
2012,40,376,841861,52.494,1.6,2012
2012,40,380,841861,970.751,31.134,2012
2012,40,410,841861,9.184,0.014,2012
2012,40,428,841861,27.028,1.672,2012
2012,40,440,841861,8.422,0.108,2012
2012,40,442,841861,326.691,12.409,2012
2012,40,458,841861,5.284,0.004,2012
2012,40,498,841861,8.859,0.269,2012
2012,40,528,841861,425.279,32.229,2012
2012,40,554,841861,1.899,0.102,2012
2012,40,579,841861,70.29,1.745,2012
2012,40,616,841861,259.492,9.871,2012
2012,40,620,841861,125.45,3.44,2012
2012,40,642,841861,180.766,7.247,2012
2012,40,643,841861,81.845,2.559,2012
2012,40,682,841861,13.483,0.187,2012
2012,40,688,841861,155.326,7.064,2012
2012,40,699,841861,1.87,0.034,2012
2012,40,702,841861,2.427,0.127,2012
2012,40,703,841861,143.037,26.932,2012
2012,40,705,841861,746.633,29.413,2012
2012,40,724,841861,158.084,7.656,2012
2012,40,752,841861,19.075,1.687,2012
2012,40,757,841861,15545.563,784.718,2012
2012,40,762,841861,103.036,4.363,2012
2012,40,784,841861,21.535,0.952,2012
2012,40,788,841861,0.668,0.005,2012
