t,i,j,k,v,q,year
2012,8,380,845110,1.027,8.15,2012
2012,8,380,845130,9.887,1.74,2012
2012,8,688,845110,1.915,1.5,2012
2012,20,724,845110,0.296,1.5,2012
2012,20,724,845130,0.257,0.289,2012
2012,32,68,845130,3.454,0.053,2012
2012,32,76,845130,13.96,0.33,2012
2012,32,152,845130,47.87,2.971,2012
2012,32,170,845130,7.099,0.438,2012
2012,32,218,845130,26.629,1.592,2012
2012,32,484,845130,9.107,0.526,2012
2012,32,600,845130,27.363,1.911,2012
2012,32,710,845130,27.547,2.089,2012
2012,32,826,845130,90.721,6.404,2012
2012,32,858,845130,6.121,0.313,2012
2012,32,862,845130,1.823,0.08,2012
2012,36,50,845110,32.819,1.634,2012
2012,36,76,845110,10.218,0.186,2012
2012,36,90,845110,6.106,1.0,2012
2012,36,116,845130,17.01,3.255,2012
2012,36,156,845130,0.149,0.005,2012
2012,36,242,845110,35.604,,2012
2012,36,242,845130,12.312,0.362,2012
2012,36,462,845130,0.203,0.011,2012
2012,36,554,845110,9.912,0.429,2012
2012,36,554,845130,4.522,0.3,2012
2012,36,598,845110,23.03,90.945,2012
2012,36,598,845130,2.394,1.977,2012
2012,36,702,845130,59.738,3.34,2012
2012,36,704,845110,0.535,1.0,2012
2012,36,704,845130,3.242,0.173,2012
2012,36,752,845130,0.148,0.006,2012
2012,36,764,845130,8.614,0.557,2012
2012,36,882,845130,0.295,,2012
2012,40,8,845130,2.326,0.11,2012
2012,40,50,845130,46.336,0.468,2012
2012,40,56,845130,0.361,0.102,2012
2012,40,70,845130,10.832,4.0,2012
2012,40,100,845130,0.145,0.009,2012
2012,40,116,845130,6.156,0.609,2012
2012,40,144,845130,0.32,0.04,2012
2012,40,191,845110,2.205,0.055,2012
2012,40,191,845130,10.54,0.7,2012
2012,40,203,845130,2.294,0.447,2012
2012,40,208,845130,11.584,4.388,2012
2012,40,246,845130,0.361,0.102,2012
2012,40,251,845130,21.928,0.109,2012
2012,40,268,845110,2.968,0.061,2012
2012,40,276,845110,28.115,0.714,2012
2012,40,276,845130,84.277,6.428,2012
2012,40,344,845130,3.567,0.245,2012
2012,40,348,845110,15.899,0.15,2012
2012,40,348,845130,3.831,0.329,2012
2012,40,364,845130,125.697,6.67,2012
2012,40,380,845110,16.571,1.018,2012
2012,40,380,845130,11.959,0.799,2012
2012,40,410,845110,7.356,0.155,2012
2012,40,442,845130,0.717,0.041,2012
2012,40,458,845130,54.337,0.447,2012
2012,40,470,845130,3.049,0.11,2012
2012,40,490,845110,3.034,0.113,2012
2012,40,504,845130,72.055,0.85,2012
2012,40,616,845130,5.462,0.322,2012
2012,40,642,845130,0.302,0.021,2012
2012,40,643,845110,4.521,0.26,2012
2012,40,688,845110,2.203,0.053,2012
2012,40,688,845130,10.317,0.758,2012
2012,40,699,845130,259.821,3.1,2012
2012,40,703,845110,42.787,0.93,2012
2012,40,724,845130,204.276,2.727,2012
2012,40,757,845110,38.695,1.007,2012
2012,40,757,845130,14.606,0.486,2012
2012,40,788,845130,0.13,0.098,2012
2012,40,792,845130,194.753,4.291,2012
2012,40,800,845110,20.854,1.307,2012
2012,40,804,845130,1.221,0.285,2012
2012,40,807,845110,2.039,0.052,2012
2012,40,807,845130,15.109,0.184,2012
2012,40,826,845130,3.14,0.05,2012
2012,40,842,845110,449.856,20.507,2012
2012,48,757,845130,1.159,0.08,2012
2012,50,344,845130,7.643,0.349,2012
2012,50,704,845130,3.46,,2012
2012,51,50,845130,8.055,0.45,2012
2012,56,8,845110,0.377,0.007,2012
2012,56,12,845130,22.884,1.399,2012
2012,56,31,845110,12.535,3.417,2012
2012,56,31,845130,3.898,0.243,2012
2012,56,36,845130,381.428,35.749,2012
2012,56,40,845130,442.376,25.816,2012
2012,56,48,845130,60.496,5.0,2012
2012,56,50,845130,10.416,1.436,2012
2012,56,70,845130,8.861,0.522,2012
2012,56,76,845130,93.736,13.382,2012
2012,56,100,845130,94.746,3.159,2012
2012,56,112,845130,45.9,10.09,2012
2012,56,116,845130,13.095,1.53,2012
2012,56,120,845130,0.219,0.002,2012
2012,56,124,845130,7.871,0.44,2012
2012,56,144,845130,11.257,0.67,2012
2012,56,152,845130,229.835,12.852,2012
2012,56,156,845130,323.421,4.027,2012
2012,56,170,845130,21.412,1.252,2012
2012,56,178,845110,10.98,1.775,2012
2012,56,178,845130,3.215,0.5,2012
2012,56,188,845130,0.05,0.034,2012
2012,56,191,845130,45.589,1.99,2012
2012,56,196,845130,21.408,1.264,2012
2012,56,203,845130,577.179,25.141,2012
2012,56,208,845130,48.724,4.424,2012
2012,56,246,845130,18.206,0.793,2012
2012,56,251,845110,6.651,0.594,2012
2012,56,251,845130,1415.142,67.5,2012
2012,56,258,845130,113.032,4.151,2012
2012,56,268,845130,37.301,1.338,2012
2012,56,276,845130,945.038,70.12,2012
2012,56,300,845130,68.075,3.681,2012
2012,56,320,845130,16.599,0.454,2012
2012,56,344,845130,185.78,5.222,2012
2012,56,348,845130,2.964,0.603,2012
2012,56,352,845130,37.508,1.614,2012
2012,56,360,845130,374.007,33.691,2012
2012,56,376,845130,24.334,1.517,2012
2012,56,380,845130,4.608,0.227,2012
2012,56,398,845130,14.656,0.72,2012
2012,56,400,845130,19.782,1.28,2012
2012,56,404,845130,7.412,0.442,2012
2012,56,417,845130,26.384,1.29,2012
2012,56,422,845130,14.735,0.555,2012
2012,56,440,845130,9.956,0.775,2012
2012,56,442,845110,44.137,3.021,2012
2012,56,442,845130,373.185,21.191,2012
2012,56,458,845130,6.303,0.125,2012
2012,56,484,845130,22.188,1.239,2012
2012,56,490,845130,107.439,10.37,2012
2012,56,498,845130,2.517,0.106,2012
