t,i,j,k,v,q,year
2012,4,703,940540,2.18,0.001,2012
2012,8,40,940540,0.229,0.057,2012
2012,8,191,940540,0.197,0.021,2012
2012,8,214,940540,1.194,0.046,2012
2012,8,251,940540,894.864,33.321,2012
2012,8,276,940540,0.026,0.001,2012
2012,8,348,940540,0.195,0.072,2012
2012,8,380,940540,7.32,0.254,2012
2012,8,528,940540,0.17,0.035,2012
2012,8,579,940540,1.412,0.026,2012
2012,8,688,940540,4.122,3.07,2012
2012,12,56,940540,3.278,0.048,2012
2012,12,620,940540,1.396,0.161,2012
2012,16,124,940540,2.137,0.082,2012
2012,16,882,940540,0.157,,2012
2012,20,380,940540,1.716,0.051,2012
2012,20,724,940540,13.129,0.615,2012
2012,20,748,940540,0.041,0.006,2012
2012,24,528,940540,5.232,0.15,2012
2012,24,620,940540,0.058,0.006,2012
2012,24,710,940540,0.421,0.028,2012
2012,24,826,940540,2.934,0.008,2012
2012,31,40,940540,1608.108,25.941,2012
2012,31,56,940540,4.599,0.063,2012
2012,31,100,940540,0.18,0.08,2012
2012,31,251,940540,0.552,0.009,2012
2012,31,268,940540,56.535,5.367,2012
2012,31,276,940540,1.119,0.191,2012
2012,31,398,940540,1.0,0.075,2012
2012,31,826,940540,2.456,0.005,2012
2012,31,842,940540,0.15,0.003,2012
2012,32,36,940540,2.041,0.051,2012
2012,32,40,940540,0.378,0.001,2012
2012,32,56,940540,0.183,0.004,2012
2012,32,68,940540,282.095,17.674,2012
2012,32,76,940540,270.034,27.634,2012
2012,32,100,940540,23.989,0.378,2012
2012,32,124,940540,1.979,0.029,2012
2012,32,144,940540,7.39,0.365,2012
2012,32,152,940540,1036.675,107.34,2012
2012,32,156,940540,0.15,0.001,2012
2012,32,170,940540,13.391,0.662,2012
2012,32,188,940540,2.774,0.446,2012
2012,32,203,940540,13.047,0.392,2012
2012,32,214,940540,1.303,0.009,2012
2012,32,218,940540,233.092,16.23,2012
2012,32,251,940540,65.278,4.992,2012
2012,32,276,940540,208.678,4.961,2012
