t,i,j,k,v,q,year
2012,8,214,843311,0.075,0.009,2012
2012,16,882,843311,3.95,0.101,2012
2012,20,724,843319,0.271,0.033,2012
2012,32,68,843311,62.154,7.048,2012
2012,32,76,843311,510.454,77.216,2012
2012,32,152,843311,133.922,17.974,2012
2012,32,214,843319,64.89,6.416,2012
2012,32,340,843319,22.16,7.025,2012
2012,32,600,843311,179.963,29.192,2012
2012,32,604,843311,22.126,2.857,2012
2012,32,705,843319,0.013,0.005,2012
2012,32,858,843311,697.154,110.249,2012
2012,32,858,843319,11.386,1.102,2012
2012,32,862,843311,84.317,15.988,2012
2012,36,70,843311,0.051,0.015,2012
2012,36,70,843319,0.494,0.06,2012
2012,36,90,843311,3.984,0.47,2012
2012,36,116,843311,0.201,0.1,2012
2012,36,156,843311,66.805,10.58,2012
2012,36,156,843319,13.877,8.0,2012
2012,36,162,843311,18.642,1.4,2012
2012,36,242,843311,66.894,3.897,2012
2012,36,242,843319,222.319,14.758,2012
2012,36,246,843311,15.89,0.4,2012
2012,36,251,843311,3.282,0.146,2012
2012,36,251,843319,2.956,0.066,2012
2012,36,258,843311,58.342,3.149,2012
2012,36,258,843319,0.824,0.337,2012
2012,36,276,843311,0.036,0.006,2012
2012,36,344,843311,9.531,0.436,2012
2012,36,360,843311,208.123,37.797,2012
2012,36,360,843319,34.269,3.472,2012
2012,36,376,843311,83.0,10.281,2012
2012,36,392,843311,42.805,3.959,2012
2012,36,404,843311,0.259,0.05,2012
2012,36,410,843319,4.887,0.066,2012
2012,36,450,843319,2.805,0.241,2012
2012,36,462,843311,0.467,0.058,2012
2012,36,462,843319,0.407,0.04,2012
2012,36,480,843311,9.049,0.671,2012
2012,36,484,843311,1.911,0.237,2012
2012,36,528,843319,12.369,0.691,2012
2012,36,540,843311,54.253,5.955,2012
2012,36,540,843319,122.587,12.875,2012
2012,36,548,843311,12.168,0.55,2012
2012,36,554,843311,2461.695,288.131,2012
2012,36,554,843319,279.953,28.913,2012
2012,36,566,843311,57.059,2.709,2012
2012,36,574,843311,29.06,1.839,2012
2012,36,574,843319,4.635,0.3,2012
2012,36,598,843311,260.747,24.37,2012
2012,36,598,843319,618.316,21.205,2012
2012,36,699,843311,72.328,7.224,2012
2012,36,699,843319,6.259,0.266,2012
2012,36,702,843311,6.29,0.854,2012
2012,36,704,843311,7.734,1.087,2012
2012,36,704,843319,38.33,,2012
2012,36,710,843311,142.432,17.169,2012
2012,36,724,843311,40.631,1.21,2012
2012,36,729,843311,19.687,3.557,2012
2012,36,752,843311,10.041,1.101,2012
2012,36,757,843311,9.316,0.345,2012
2012,36,764,843311,0.097,0.012,2012
2012,36,764,843319,57.623,5.698,2012
2012,36,776,843319,8.2,0.5,2012
2012,36,784,843311,67.382,5.499,2012
2012,36,784,843319,30.193,2.36,2012
2012,36,800,843319,0.114,0.11,2012
2012,36,818,843311,188.724,16.708,2012
2012,36,842,843311,7.788,0.965,2012
2012,36,842,843319,5.258,0.5,2012
