t,i,j,k,v,q,year
2012,16,36,853949,2.691,0.015,2012
2012,32,40,853949,0.273,0.002,2012
2012,32,68,853941,0.433,0.001,2012
2012,32,68,853949,7.401,0.036,2012
2012,32,76,853949,1.68,0.002,2012
2012,32,152,853949,2.082,0.006,2012
2012,32,188,853941,3.109,0.011,2012
2012,32,218,853941,0.36,0.1,2012
2012,32,600,853941,9.259,0.148,2012
2012,32,600,853949,2.926,0.003,2012
2012,32,604,853949,1.636,0.008,2012
2012,32,858,853949,4.416,0.003,2012
2012,32,862,853949,10.376,0.012,2012
2012,36,32,853949,29.55,0.02,2012
2012,36,40,853949,27.718,0.019,2012
2012,36,48,853949,14.925,0.137,2012
2012,36,56,853949,6.586,0.011,2012
2012,36,72,853949,3.15,0.002,2012
2012,36,76,853941,2.838,0.016,2012
2012,36,76,853949,2.068,0.017,2012
2012,36,90,853949,0.196,0.001,2012
2012,36,96,853949,3.745,0.005,2012
2012,36,112,853949,0.7,0.027,2012
2012,36,124,853941,1.391,0.003,2012
2012,36,124,853949,124.031,1.361,2012
2012,36,152,853949,21.719,0.023,2012
2012,36,156,853941,22.175,0.002,2012
2012,36,156,853949,52.432,0.157,2012
2012,36,170,853949,3.894,0.007,2012
2012,36,188,853949,0.221,0.001,2012
2012,36,196,853949,1.988,0.002,2012
2012,36,203,853949,1.783,0.005,2012
2012,36,208,853949,1.681,0.04,2012
2012,36,232,853949,2.46,0.002,2012
2012,36,233,853949,22.056,0.01,2012
2012,36,242,853941,17.854,0.001,2012
2012,36,242,853949,30.478,0.035,2012
2012,36,246,853949,0.841,0.001,2012
2012,36,251,853949,93.436,0.107,2012
2012,36,258,853949,2.348,0.435,2012
2012,36,276,853941,0.339,0.008,2012
2012,36,276,853949,108.739,0.178,2012
2012,36,288,853949,16.55,0.042,2012
2012,36,300,853949,2.602,0.001,2012
2012,36,344,853949,3.018,0.153,2012
2012,36,360,853941,1.974,0.008,2012
2012,36,360,853949,163.28,10.41,2012
2012,36,372,853949,16.703,0.032,2012
2012,36,376,853949,3.0,,2012
2012,36,380,853949,5.84,0.009,2012
2012,36,392,853949,4.799,0.012,2012
2012,36,398,853949,5.1,0.171,2012
2012,36,400,853949,2.885,0.04,2012
2012,36,410,853941,1.771,0.002,2012
2012,36,410,853949,2.504,0.011,2012
2012,36,418,853949,0.733,0.002,2012
2012,36,450,853949,3.596,0.03,2012
2012,36,454,853949,1.5,0.007,2012
2012,36,458,853941,22.761,0.018,2012
2012,36,458,853949,333.029,0.503,2012
2012,36,462,853949,3.208,0.005,2012
2012,36,480,853949,1.978,0.029,2012
2012,36,484,853941,0.96,0.002,2012
2012,36,484,853949,88.195,0.565,2012
2012,36,490,853949,2.652,0.008,2012
2012,36,528,853949,6.216,0.029,2012
2012,36,540,853941,4.508,0.011,2012
2012,36,540,853949,4.399,0.003,2012
2012,36,554,853941,5.668,0.013,2012
2012,36,554,853949,152.549,0.355,2012
2012,36,558,853949,3.935,0.007,2012
2012,36,598,853941,7.083,0.017,2012
2012,36,598,853949,98.932,1.325,2012
2012,36,600,853949,0.858,0.001,2012
2012,36,604,853949,2.962,0.002,2012
2012,36,608,853949,2.219,0.017,2012
2012,36,616,853949,24.958,0.567,2012
2012,36,620,853941,0.157,0.001,2012
2012,36,642,853949,7.596,0.002,2012
2012,36,643,853941,6.199,0.005,2012
2012,36,643,853949,3.719,0.038,2012
2012,36,682,853949,43.572,0.532,2012
2012,36,688,853941,0.343,0.001,2012
2012,36,688,853949,1.005,0.005,2012
2012,36,699,853949,2.557,0.011,2012
2012,36,702,853941,5.724,0.011,2012
2012,36,702,853949,19.847,0.052,2012
2012,36,703,853949,3.271,0.003,2012
2012,36,704,853949,14.195,,2012
2012,36,710,853949,31.302,0.161,2012
2012,36,724,853949,18.929,0.026,2012
2012,36,752,853941,11.177,0.073,2012
2012,36,752,853949,17.129,0.008,2012
2012,36,757,853949,3.266,0.007,2012
2012,36,764,853941,8.065,0.016,2012
2012,36,764,853949,70.169,0.174,2012
2012,36,784,853941,0.852,0.01,2012
2012,36,784,853949,0.969,0.004,2012
2012,36,807,853949,0.13,0.04,2012
2012,36,818,853949,6.358,0.007,2012
2012,36,826,853949,10.728,0.043,2012
2012,36,834,853949,2.108,0.038,2012
2012,36,842,853941,2.541,0.005,2012
2012,36,842,853949,78.317,0.299,2012
2012,36,854,853949,1.072,0.001,2012
2012,36,858,853949,1.475,0.002,2012
2012,36,882,853949,19.82,0.073,2012
2012,36,894,853949,1.231,0.035,2012
2012,40,8,853949,0.985,0.005,2012
2012,40,12,853949,4.225,0.115,2012
2012,40,31,853949,0.67,0.011,2012
2012,40,32,853949,1.085,0.018,2012
2012,40,36,853949,2.683,0.057,2012
2012,40,50,853949,7.23,0.022,2012
2012,40,56,853949,31.246,0.171,2012
2012,40,70,853949,3.339,0.275,2012
2012,40,76,853941,7.813,0.013,2012
2012,40,76,853949,24.93,0.062,2012
2012,40,100,853949,6.281,0.003,2012
2012,40,108,853949,0.255,0.002,2012
2012,40,112,853949,2.935,0.005,2012
2012,40,124,853949,9.621,0.051,2012
2012,40,144,853949,1.67,0.002,2012
2012,40,152,853949,4.595,0.005,2012
2012,40,156,853941,3.615,0.007,2012
2012,40,156,853949,56.713,0.055,2012
2012,40,170,853949,2.681,0.006,2012
2012,40,191,853949,30.763,0.089,2012
2012,40,196,853949,0.997,0.006,2012
2012,40,203,853941,15.547,0.001,2012
2012,40,203,853949,32.495,0.229,2012
