code,description,category
852110,Video recording or reproducing apparatus: magnetic tape-type,"Video (f.i. Video recorders, DVD, Blue Ray, set-top boxes)"
852190,Video recording or reproducing apparatus: other than magnetic tape-type,"Video (f.i. Video recorders, DVD, Blue Ray, set-top boxes)"
852560,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating sound recording or reproducing apparatus, incorporating reception apparatus","Video (f.i. Video recorders, DVD, Blue Ray, set-top boxes)"
852861,Projectors: of a kind solely or principally used in an automatic data processing system of heading 84.71,"Video (f.i. Video recorders, DVD, Blue Ray, set-top boxes)"
852869,Projectors: other than of a kind solely or principally used in an automatic data processing system of heading 84.71,"Video (f.i. Video recorders, DVD, Blue Ray, set-top boxes)"
852871,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus: not designed to incorporate a video display or screen","Video (f.i. Video recorders, DVD, Blue Ray, set-top boxes)"
900661,Photographic flashlight apparatus: discharge lamp (electronic),"Video (f.i. Video recorders, DVD, Blue Ray, set-top boxes)"
900669,Photographic flashlight apparatus: n.e.c. in heading no. 9006,"Video (f.i. Video recorders, DVD, Blue Ray, set-top boxes)"
900720,"Projectors, cinematographic: whether or not incorporating sound recording or reproducing apparatus","Video (f.i. Video recorders, DVD, Blue Ray, set-top boxes)"
901010,Photographic laboratory apparatus and equipment: for automatically developing photographic (including cinematographic) film or paper in rolls or for automatically exposing developed film to rolls of paper,"Video (f.i. Video recorders, DVD, Blue Ray, set-top boxes)"
901050,"Photographic laboratory apparatus and equipment: n.e.c. in item no. 9010.10, for photographic (including cinematographic) laboratories: negatoscopes","Video (f.i. Video recorders, DVD, Blue Ray, set-top boxes)"
901060,Photographic laboratory apparatus and equipment (including cinematographic): projection screens,"Video (f.i. Video recorders, DVD, Blue Ray, set-top boxes)"
903149,"Optical instruments and appliances: for measuring or checking, n.e.c. in chapter 90","Video (f.i. Video recorders, DVD, Blue Ray, set-top boxes)"
