t,i,j,k,v,q,year
2012,32,68,260500,0.936,0.03,2012
2012,32,152,282200,0.03,0.001,2012
2012,32,152,810590,2.519,0.011,2012
2012,32,858,282200,0.098,0.003,2012
2012,36,32,810520,90.005,2.75,2012
2012,36,56,810520,34704.684,1297.492,2012
2012,36,124,810520,9733.881,444.469,2012
2012,36,156,282200,4.443,0.5,2012
2012,36,156,810520,13292.012,1653.148,2012
2012,36,156,810590,25.657,0.2,2012
2012,36,242,260500,1.147,0.012,2012
2012,36,246,810520,471.323,126.161,2012
2012,36,251,810520,246.839,9.0,2012
2012,36,262,282200,0.23,0.006,2012
2012,36,276,810520,1114.504,48.239,2012
2012,36,276,810530,0.447,0.075,2012
2012,36,276,810590,710.211,24.0,2012
2012,36,344,810530,11.801,22.909,2012
2012,36,360,282200,305.677,1.596,2012
2012,36,392,810520,17147.465,846.741,2012
2012,36,410,260500,0.058,0.009,2012
2012,36,410,282200,14988.184,749.581,2012
2012,36,410,810520,41788.285,2077.241,2012
2012,36,410,810590,122.356,4.0,2012
2012,36,490,810520,14275.01,537.145,2012
2012,36,554,810520,75.293,1.025,2012
2012,36,554,810590,3.683,0.035,2012
2012,36,598,282200,4.444,0.231,2012
2012,36,699,282200,29.072,1.043,2012
2012,36,702,810590,169.235,0.28,2012
2012,36,705,810520,323.177,10.0,2012
2012,36,764,810520,1894.522,63.813,2012
2012,36,842,810520,19222.851,691.432,2012
2012,36,842,810590,136.968,3.886,2012
2012,40,32,810590,6.709,0.025,2012
2012,40,56,810590,591.497,10.113,2012
2012,40,76,810520,64.263,1.776,2012
2012,40,100,810520,10.531,0.5,2012
2012,40,100,810590,1.203,0.015,2012
2012,40,191,810590,3.662,0.055,2012
2012,40,203,282200,11.504,0.302,2012
2012,40,203,810520,3.473,0.335,2012
2012,40,203,810590,117.731,3.617,2012
2012,40,246,260500,5526.395,0.967,2012
2012,40,251,810520,20.965,0.809,2012
2012,40,251,810590,127.385,1.18,2012
2012,40,276,260500,64.503,43.983,2012
2012,40,276,282200,14.346,0.359,2012
2012,40,276,810520,54.05,3.628,2012
2012,40,276,810530,464.346,160.215,2012
2012,40,276,810590,3419.815,54.474,2012
2012,40,300,810590,13.172,22.255,2012
2012,40,344,282200,0.015,0.001,2012
2012,40,348,282200,10.402,0.278,2012
2012,40,348,810520,0.749,0.012,2012
2012,40,348,810590,3.701,0.054,2012
2012,40,360,810590,41.801,0.6,2012
2012,40,372,810590,369.553,5.899,2012
2012,40,376,810590,0.111,0.001,2012
2012,40,380,810520,368.696,2.709,2012
2012,40,380,810590,0.022,,2012
2012,40,392,282200,15.129,0.3,2012
2012,40,410,810590,4.137,0.02,2012
2012,40,428,282200,0.51,0.006,2012
2012,40,458,810590,2.314,0.001,2012
2012,40,528,810590,7.55,0.13,2012
2012,40,554,810590,2.708,0.023,2012
2012,40,616,810590,1.99,0.008,2012
2012,40,642,282200,11.309,0.304,2012
2012,40,642,810590,3.008,0.016,2012
2012,40,643,810520,0.066,0.005,2012
2012,40,688,282200,0.775,0.003,2012
2012,40,688,810520,2.188,0.078,2012
2012,40,702,810590,0.577,0.003,2012
2012,40,703,810590,2.089,0.014,2012
2012,40,705,810520,38.081,0.617,2012
2012,40,705,810590,0.352,0.011,2012
2012,40,757,810520,3.084,0.08,2012
2012,40,842,282200,2.05,0.025,2012
2012,40,842,810520,828.082,12.877,2012
2012,40,842,810530,113.059,5.695,2012
2012,40,842,810590,26.787,0.19,2012
2012,51,792,282200,0.129,0.001,2012
2012,56,12,282200,230.791,7.227,2012
2012,56,24,810590,0.045,0.004,2012
2012,56,32,282200,367.014,14.0,2012
2012,56,32,810520,465.718,13.4,2012
2012,56,36,282200,176.307,8.916,2012
2012,56,36,810520,69.501,2.254,2012
2012,56,40,282200,107.446,3.25,2012
2012,56,40,810520,3269.372,100.195,2012
2012,56,40,810590,0.143,0.001,2012
2012,56,51,810590,0.114,0.002,2012
2012,56,76,282200,2689.811,122.763,2012
2012,56,76,810520,649.049,15.887,2012
2012,56,76,810590,0.534,0.011,2012
2012,56,100,810520,0.643,0.005,2012
2012,56,100,810590,6.384,0.03,2012
2012,56,124,282200,11.981,0.202,2012
2012,56,124,810520,1523.964,134.881,2012
2012,56,124,810590,7.277,0.115,2012
2012,56,144,810520,1.148,0.025,2012
2012,56,152,282200,67.29,2.4,2012
2012,56,156,260500,228.357,147.761,2012
2012,56,156,282200,1922.634,62.775,2012
2012,56,156,810520,3374.578,384.763,2012
2012,56,170,282200,22.513,0.9,2012
2012,56,191,810590,0.038,0.001,2012
2012,56,196,810590,2.028,0.023,2012
2012,56,203,282200,2.028,0.078,2012
2012,56,203,810520,9.281,0.191,2012
2012,56,203,810590,1.236,0.009,2012
2012,56,208,282200,0.79,0.087,2012
2012,56,208,810520,33.907,0.763,2012
2012,56,208,810590,20.975,0.06,2012
2012,56,233,810520,5.16,0.103,2012
2012,56,246,260500,83.854,43.791,2012
2012,56,246,282200,0.149,0.008,2012
2012,56,246,810520,159.698,3.671,2012
2012,56,246,810590,40.273,0.086,2012
2012,56,251,260500,0.002,,2012
2012,56,251,282200,3660.126,147.05,2012
2012,56,251,810520,847.52,25.498,2012
2012,56,251,810530,0.033,0.002,2012
2012,56,251,810590,1020.432,10.092,2012
2012,56,276,282200,4324.07,176.649,2012
2012,56,276,810520,23254.66,449.815,2012
2012,56,276,810530,193.709,26.865,2012
2012,56,276,810590,293.957,2.517,2012
2012,56,288,810590,0.774,0.016,2012
2012,56,300,282200,126.346,4.402,2012
2012,56,300,810520,13.558,0.268,2012
2012,56,300,810590,1.304,0.023,2012
2012,56,344,260500,4606.756,605.086,2012
2012,56,344,282200,123.78,3.225,2012
2012,56,344,810520,655.562,20.587,2012
2012,56,344,810590,4.314,0.05,2012
2012,56,348,810590,0.101,0.001,2012
2012,56,360,282200,175.025,7.35,2012
2012,56,360,810520,733.789,30.556,2012
2012,56,364,810590,0.544,0.004,2012
2012,56,372,810520,189.888,4.434,2012
2012,56,372,810590,425.476,8.41,2012
2012,56,376,810520,161.704,2.9,2012
2012,56,376,810590,0.138,0.025,2012
2012,56,380,282200,3328.565,133.3,2012
2012,56,380,810520,5326.299,140.639,2012
2012,56,380,810590,192.848,3.404,2012
2012,56,384,810520,10.29,0.2,2012
2012,56,392,282200,12960.571,485.1,2012
2012,56,392,810520,15445.829,265.062,2012
2012,56,392,810590,18.262,0.03,2012
2012,56,400,282200,31.163,1.2,2012
