metal,hs_code,description
copper,260300,Copper ores and concentrates
copper,262030,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly copper"
copper,282550,Copper oxides and hydroxides
copper,282741,Chloride oxides and chloride hydroxides: of copper
copper,282749,Chloride oxides and chloride hydroxides: other than of copper
copper,283325,Sulphates: of copper
copper,731700,"Iron or steel: nails, tacks, drawing pins, corrugated nails, staples (not those of heading no. 8305) and the like, with heads of other material or not, but excluding articles with heads of copper"
copper,740100,Copper mattes: cement copper (precipitated copper)
copper,740200,"Copper: unrefined, copper anodes for electrolytic refining"
copper,740311,"Copper: refined, unwrought, cathodes and sections of cathodes"
copper,740312,"Copper: refined, unwrought, wire-bars"
copper,740313,"Copper: refined, unwrought, billets"
copper,740319,"Copper: refined, unwrought, n.e.c. in item no. 7403.1"
copper,740321,Copper: copper-zinc base alloys (brass) unwrought
copper,740322,Copper: copper-tin base alloys (bronze) unwrought
copper,740329,Copper: copper alloys n.e.c. in heading no. 7403 (other than master alloys of heading no. 7405)
copper,740400,Copper: waste and scrap
copper,740500,Copper: master alloys of copper
copper,740610,Copper: powders of non-lamellar structure
copper,740620,"Copper: powders of lamellar structure, flakes"
copper,740710,"Copper: bars, rods and profiles, of refined copper"
copper,740721,"Copper: bars, rods and profiles, of copper-zinc base alloys (brass)"
copper,740729,"Copper: bars, rods and profiles, of copper alloys (other than copper-zinc base alloys)"
copper,740811,"Copper: wire, of refined copper, of which the maximum cross-sectional dimension exceeds 6mm"
copper,740819,"Copper: wire, of refined copper, of which the maximum cross-sectional dimension is 6mm or less"
copper,740821,"Copper: wire, of copper-zinc base alloys (brass)"
copper,740822,"Copper: wire, of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)"
copper,740829,"Copper: wire, of copper alloys (other than copper-zinc base alloys, copper-nickel base alloys or copper-nickel-zinc base alloys)"
copper,740911,"Copper: strip, of a thickness exceeding 0.15mm, of refined copper, in coils"
copper,740919,"Copper: plates and sheets, of a thickness exceeding 0.15mm, of refined copper, not in coils"
copper,740921,"Copper: strip, of a thickness exceeding 0.15mm, of copper-zinc base alloys (brass), in coils"
copper,740929,"Copper: plates and sheets, of a thickness exceeding 0.15mm, of copper-zinc base alloys (brass), not in coils"
copper,740931,"Copper: strip, of a thickness exceeding 0.15mm, of copper-tin base alloys (bronze), in coils"
copper,740939,"Copper: plates and sheets, of a thickness exceeding 0.15mm, of copper-tin base alloys, not in coils"
copper,740940,"Copper: plates, sheets and strip, of a thickness exceeding 0.15mm, of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)"
copper,740990,"Copper: plates, sheets and strip, of a thickness exceeding 0.15mm, of copper alloys (other than copper-zinc base alloys, copper-tin base alloys, copper-nickel base alloys or copper-nickel-zinc base alloys)"
copper,741011,"Copper: foil, not backed, of a thickness not exceeding 0.15mm, of refined copper"
copper,741012,"Copper: foil, not backed, of a thickness not exceeding 0.15mm, of copper alloys"
copper,741021,"Copper: foil, backed with paper, paperboard, plastics or similar backing material, of a thickness (excluding any backing) not exceeding 0.15mm, of refined copper"
copper,741022,"Copper: foil, backed with paper, paperboard, plastics or similar backing material, of a thickness (excluding any backing) not exceeding 0.15mm, of copper alloys"
copper,741110,"Copper: tubes and pipes, of refined copper"
copper,741121,"Copper: tubes and pipes, of copper-zinc base alloys (brass)"
copper,741122,"Copper: tubes and pipes, of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)"
copper,741129,"Copper: tubes and pipes, of copper alloys (other than copper-zinc, copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel-silver))"
copper,741210,"Copper: tube or pipe fittings (e.g. couplings, elbows, sleeves) of refined copper"
copper,741220,"Copper: tube or pipe fittings (e.g. couplings, elbows, sleeves) of copper alloys"
copper,741300,"Copper: stranded wire, cables, plaited bands and the like, not electrically insulated"
copper,741510,"Copper: nails and tacks, drawing pins, staples and similar articles of copper, or of iron or steel with copper heads"
copper,741521,"Copper: washers, (including spring washers), not threaded"
copper,741529,"Copper: rivets, cotters, cotter-pins and similar articles, not threaded"
copper,741533,"Copper: screws, bolts and nuts, threaded"
copper,741539,Copper: articles n.e.c. in heading no. 7415
copper,741810,"Copper: table, kitchen or other household articles and parts thereof: pot scourers and scouring or polishing pads, gloves and the like"
copper,741820,Copper: sanitary ware and parts thereof
copper,741910,Copper: chain and parts thereof
copper,741991,"Copper: cast, moulded, stamped or forged, but not further worked"
copper,741999,Copper: articles n.e.c. in heading no. 7419
copper,854411,"Insulated electric conductors: winding wire, of copper"
copper,854419,"Insulated electric conductors: winding wire, (of other than copper)"
