t,i,j,k,v,q,year
2012,32,68,280530,0.639,0.002,2012
2012,36,276,280530,0.175,0.002,2012
2012,36,792,280530,0.705,0.002,2012
2012,40,56,280530,80.723,3.294,2012
2012,40,124,280530,5.7,0.1,2012
2012,40,156,280530,85.0,1.6,2012
2012,40,251,280530,12.19,0.35,2012
2012,40,376,280530,27.0,0.517,2012
2012,40,380,280530,47.236,1.745,2012
2012,40,392,280530,28.641,0.09,2012
2012,40,410,280530,16.899,0.076,2012
2012,40,528,280530,179.929,2.698,2012
2012,40,579,280530,132.244,5.0,2012
2012,40,616,280530,1.918,0.05,2012
2012,40,620,280530,49.28,0.255,2012
2012,40,643,280530,200.505,4.203,2012
2012,40,703,280530,0.663,0.002,2012
2012,40,705,280530,474.298,28.45,2012
2012,40,752,280530,1854.064,44.567,2012
2012,40,757,280530,19.46,0.01,2012
2012,40,792,280530,68.769,1.9,2012
2012,40,826,280530,48.032,1.578,2012
2012,40,842,280530,953.235,11.561,2012
2012,52,344,280530,1.507,5.312,2012
2012,56,36,280530,0.02,0.001,2012
2012,56,76,280530,0.011,,2012
2012,56,124,280530,0.116,0.005,2012
2012,56,156,280530,0.362,0.016,2012
2012,56,191,280530,0.421,0.001,2012
2012,56,203,280530,0.47,0.002,2012
2012,56,251,280530,1900.497,93.283,2012
2012,56,276,280530,844.414,35.902,2012
2012,56,300,280530,0.036,0.001,2012
2012,56,344,280530,0.254,0.001,2012
2012,56,372,280530,0.012,0.001,2012
2012,56,376,280530,0.122,0.001,2012
2012,56,380,280530,0.237,0.004,2012
2012,56,392,280530,18.775,0.031,2012
2012,56,410,280530,0.914,0.001,2012
2012,56,422,280530,0.156,0.001,2012
2012,56,458,280530,1.223,0.001,2012
2012,56,490,280530,1.882,0.001,2012
2012,56,496,280530,0.433,0.002,2012
2012,56,528,280530,0.763,0.16,2012
2012,56,554,280530,0.84,0.016,2012
2012,56,616,280530,0.098,0.001,2012
2012,56,620,280530,0.08,0.001,2012
