t,i,j,k,v,q,year
2012,32,170,282560,0.01,0.001,2012
2012,36,76,282560,71.001,10.109,2012
2012,36,124,282560,1271.167,180.9,2012
2012,36,203,811299,0.062,0.001,2012
2012,36,251,282560,3132.692,448.137,2012
2012,36,276,282560,163.882,21.0,2012
2012,36,276,811299,3.983,0.007,2012
2012,36,360,811292,81.507,2.388,2012
2012,36,380,282560,138.169,20.0,2012
2012,36,392,282560,4159.037,591.0,2012
2012,36,410,282560,36.013,2.18,2012
2012,36,410,811292,1.552,0.002,2012
2012,36,484,282560,203.913,29.0,2012
2012,36,528,282560,1387.507,205.0,2012
2012,36,554,282560,14.304,1.5,2012
2012,36,554,811292,5.899,0.004,2012
2012,36,554,811299,0.64,0.011,2012
2012,36,598,811299,28.218,39.706,2012
2012,36,702,811299,5.092,0.072,2012
2012,36,710,811299,73.904,41.994,2012
2012,36,724,282560,1281.5,191.0,2012
2012,36,764,282560,78.5,10.0,2012
2012,36,792,282560,9.113,0.4,2012
2012,36,826,282560,712.088,105.546,2012
2012,36,842,282560,450.6,63.9,2012
2012,36,842,811292,258.262,10.575,2012
2012,36,842,811299,1051.478,45.108,2012
2012,40,76,811299,0.864,0.006,2012
2012,40,100,811299,0.643,0.002,2012
2012,40,156,282560,18.857,0.07,2012
2012,40,156,811299,19.425,0.022,2012
2012,40,203,811299,3.086,0.003,2012
2012,40,233,811299,0.18,0.001,2012
2012,40,251,811299,33.59,0.043,2012
2012,40,276,282560,15.27,0.818,2012
2012,40,276,811292,88.271,0.802,2012
2012,40,276,811299,1820.861,4.491,2012
2012,40,344,282560,5.604,0.023,2012
2012,40,348,811292,73.161,0.006,2012
2012,40,348,811299,345.187,0.612,2012
2012,40,376,282560,6.0,,2012
2012,40,380,282560,16.187,0.686,2012
2012,40,380,811292,16.077,0.1,2012
2012,40,392,282560,258.988,0.7,2012
2012,40,392,811299,152.956,0.35,2012
2012,40,410,811299,147.716,0.362,2012
2012,40,579,811292,12.154,0.013,2012
2012,40,642,282560,2.292,0.006,2012
2012,40,642,811292,0.069,0.002,2012
2012,40,699,282560,0.578,0.05,2012
2012,40,703,811299,11.164,0.001,2012
2012,40,705,811292,0.062,,2012
2012,40,757,282560,4.401,0.173,2012
2012,40,757,811299,3.746,0.003,2012
2012,40,784,282560,27.093,0.117,2012
2012,40,792,282560,5.943,0.5,2012
2012,40,807,282560,26.518,0.6,2012
2012,40,826,811292,434.424,1.523,2012
2012,40,826,811299,405.054,3.386,2012
2012,40,842,282560,19.293,0.25,2012
2012,40,842,811292,4.832,0.003,2012
2012,40,842,811299,79.898,0.18,2012
2012,56,36,282560,0.033,,2012
2012,56,36,811299,0.094,0.001,2012
2012,56,40,282560,0.353,0.026,2012
2012,56,40,811299,2033.079,22.162,2012
2012,56,112,811299,385.3,0.163,2012
2012,56,124,282560,645.254,3.943,2012
2012,56,124,811292,352.834,0.36,2012
2012,56,124,811299,29.818,0.411,2012
2012,56,156,282560,3.109,0.014,2012
2012,56,156,811299,1095.127,0.792,2012
2012,56,191,811299,0.002,,2012
2012,56,203,811299,16.267,0.155,2012
2012,56,208,282560,145.592,0.2,2012
2012,56,208,811299,1.701,0.001,2012
2012,56,246,811299,0.011,,2012
2012,56,251,282560,159.984,5.547,2012
2012,56,251,811292,1464.681,0.474,2012
2012,56,251,811299,1274.53,11.689,2012
2012,56,276,282560,0.504,0.036,2012
2012,56,276,811292,884.279,2.735,2012
2012,56,276,811299,373.918,2.633,2012
2012,56,300,811299,1.394,0.015,2012
2012,56,372,811299,0.006,,2012
2012,56,380,282560,67.93,1.05,2012
2012,56,380,811292,54.729,0.101,2012
2012,56,380,811299,1449.241,13.066,2012
2012,56,392,811292,1158.318,4.36,2012
2012,56,392,811299,231.133,0.151,2012
2012,56,410,282560,0.643,0.002,2012
2012,56,410,811299,0.537,0.007,2012
2012,56,418,282560,696.407,0.7,2012
2012,56,428,811299,1048.367,0.059,2012
2012,56,442,282560,1.723,0.103,2012
2012,56,442,811292,23.607,0.002,2012
2012,56,442,811299,0.245,0.002,2012
2012,56,458,282560,0.194,0.001,2012
2012,56,458,811299,0.049,0.001,2012
2012,56,490,282560,0.186,0.001,2012
2012,56,490,811299,0.279,0.004,2012
2012,56,528,282560,0.476,0.027,2012
2012,56,528,811292,69.284,0.084,2012
2012,56,528,811299,190.144,11.325,2012
2012,56,554,282560,0.033,,2012
2012,56,579,811299,0.003,,2012
2012,56,616,282560,3.791,0.267,2012
2012,56,616,811292,101.824,0.028,2012
2012,56,616,811299,8.942,0.006,2012
2012,56,620,811299,0.078,0.001,2012
2012,56,634,811299,0.007,,2012
2012,56,642,282560,0.234,0.002,2012
2012,56,642,811299,1.471,0.046,2012
2012,56,643,282560,0.166,0.001,2012
2012,56,643,811299,53.338,0.014,2012
2012,56,682,282560,0.315,0.003,2012
2012,56,682,811299,0.013,,2012
2012,56,688,282560,0.296,0.001,2012
2012,56,699,811299,10.207,0.1,2012
2012,56,702,811299,40.028,0.02,2012
2012,56,703,811292,0.733,0.021,2012
2012,56,703,811299,0.001,,2012
2012,56,705,282560,0.274,0.001,2012
2012,56,710,282560,0.054,0.001,2012
2012,56,710,811299,0.026,,2012
2012,56,724,282560,6.574,0.516,2012
2012,56,724,811299,31.016,0.266,2012
2012,56,752,282560,78.143,22.947,2012
2012,56,752,811292,160.376,0.379,2012
2012,56,752,811299,1107.329,3.624,2012
2012,56,757,282560,0.065,,2012
2012,56,757,811292,315.897,0.61,2012
2012,56,757,811299,14.689,0.024,2012
2012,56,764,811299,0.067,0.006,2012
2012,56,784,811299,0.002,,2012
2012,56,792,811292,5.842,0.003,2012
2012,56,792,811299,29.936,0.026,2012
2012,56,826,282560,0.844,0.005,2012
2012,56,826,811292,4112.542,25.582,2012
2012,56,826,811299,1682.86,1.228,2012
2012,56,842,282560,1410.461,1.699,2012
2012,56,842,811292,11194.127,13.206,2012
2012,56,842,811299,1167.118,4.375,2012
2012,68,156,811299,24.219,96.595,2012
2012,68,842,811299,1.2,0.218,2012
2012,72,516,811299,0.156,0.12,2012
2012,72,710,811299,0.984,0.15,2012
2012,76,36,811299,878.995,15.612,2012
2012,76,40,811299,1528.332,24.592,2012
2012,76,56,811299,6.25,0.05,2012
2012,76,124,811299,8.199,0.113,2012
2012,76,156,811292,11485.998,115.152,2012
2012,76,156,811299,9855.931,92.11,2012
2012,76,233,811292,109.822,4.0,2012
2012,76,251,811292,197.466,1.581,2012
2012,76,251,811299,18295.241,81.171,2012
2012,76,276,282560,0.087,0.005,2012
2012,76,276,811292,45329.491,766.19,2012
2012,76,276,811299,7.951,34.14,2012
2012,76,392,811292,1736.637,26.693,2012
2012,76,392,811299,1800.951,16.543,2012
2012,76,410,811299,13.0,0.099,2012
2012,76,484,811299,0.005,,2012
2012,76,528,811299,75749.508,1265.464,2012
2012,76,579,811299,5.083,0.001,2012
2012,76,620,811292,0.568,0.001,2012
2012,76,620,811299,0.39,0.013,2012
2012,76,643,811292,767.618,8.5,2012
2012,76,699,811299,20.448,0.5,2012
2012,76,702,811299,6585.579,150.0,2012
2012,76,710,811299,96.113,0.286,2012
2012,76,724,811292,0.388,0.004,2012
2012,76,752,811292,239.658,4.0,2012
2012,76,757,811292,67.953,0.5,2012
2012,76,826,811299,0.283,0.005,2012
2012,76,842,811292,70572.377,1284.143,2012
2012,76,842,811299,1042.744,6.382,2012
2012,100,276,811292,78.746,5.0,2012
2012,112,398,811299,3.9,0.012,2012
2012,112,643,811292,3.0,0.001,2012
2012,112,643,811299,5.4,0.022,2012
2012,116,842,811299,2.351,0.012,2012
2012,120,410,811299,1.059,0.005,2012
2012,124,12,811292,2.273,1.477,2012
2012,124,40,811292,16.895,0.035,2012
2012,124,40,811299,8.165,0.016,2012
2012,124,76,811292,3.114,0.006,2012
2012,124,156,282560,1569.626,3.318,2012
2012,124,156,811292,381.586,0.549,2012
2012,124,156,811299,167.136,0.559,2012
2012,124,203,811299,0.307,0.001,2012
2012,124,251,282560,74.616,0.346,2012
2012,124,251,811292,0.399,0.001,2012
2012,124,276,282560,27.466,1.0,2012
2012,124,276,811292,69.636,0.347,2012
2012,124,276,811299,6.476,0.064,2012
2012,124,344,811299,0.073,,2012
2012,124,380,282560,63.12,0.088,2012
2012,124,380,811292,64.901,0.053,2012
2012,124,392,282560,19246.975,16.736,2012
2012,124,392,811292,13991.465,27.904,2012
2012,124,392,811299,443.531,0.988,2012
2012,124,408,811292,55.358,0.102,2012
2012,124,410,282560,4304.145,4.263,2012
2012,124,410,811292,761.864,1.498,2012
2012,124,410,811299,258.642,0.083,2012
2012,124,418,811292,2435.742,2.858,2012
2012,124,490,282560,979.872,1.083,2012
2012,124,490,811299,7.142,0.04,2012
2012,124,496,811299,6.206,0.012,2012
2012,124,528,811292,148.572,0.299,2012
2012,124,528,811299,46.28,0.5,2012
2012,124,616,282560,78.788,0.728,2012
2012,124,642,282560,15.152,0.502,2012
2012,124,699,282560,13.316,0.019,2012
2012,124,702,282560,6.482,0.058,2012
2012,124,704,811292,4.697,0.015,2012
2012,124,710,282560,1.869,0.003,2012
2012,124,724,282560,474.787,60.0,2012
2012,124,752,811299,0.04,,2012
2012,124,757,282560,1.416,0.004,2012
2012,124,826,811292,5002.666,9.949,2012
2012,124,842,282560,7932.853,92.848,2012
2012,124,842,811292,14755.92,39.426,2012
2012,124,842,811299,5676.037,19.253,2012
2012,152,276,811292,495.671,0.102,2012
2012,152,392,811292,14.655,0.002,2012
2012,152,528,811299,1876.84,0.37,2012
2012,152,826,811292,12090.031,1.864,2012
2012,152,826,811299,12060.76,1.502,2012
2012,152,842,811292,26080.482,5.462,2012
2012,152,842,811299,54074.004,23.274,2012
2012,156,12,282560,7.525,0.12,2012
2012,156,32,811299,2.695,0.002,2012
2012,156,36,282560,115.734,8.484,2012
2012,156,36,811292,33.651,0.053,2012
2012,156,36,811299,370.36,1.161,2012
2012,156,40,282560,1021.072,101.5,2012
2012,156,40,811292,490.415,1.438,2012
2012,156,40,811299,3.536,0.016,2012
2012,156,50,811292,0.174,0.125,2012
2012,156,56,282560,1468.33,126.614,2012
2012,156,56,811292,602.497,2.862,2012
2012,156,56,811299,1644.603,33.648,2012
2012,156,70,282560,11.82,0.275,2012
2012,156,76,282560,9.763,0.325,2012
2012,156,76,811292,157.258,6.0,2012
2012,156,76,811299,1181.447,3.797,2012
2012,156,100,282560,0.796,0.025,2012
2012,156,100,811292,1.315,0.002,2012
2012,156,104,282560,43.586,,2012
2012,156,104,811299,6.584,,2012
2012,156,112,811292,1.5,,2012
2012,156,112,811299,3.9,0.004,2012
2012,156,124,282560,1934.898,86.57,2012
2012,156,124,811292,3404.145,9.738,2012
2012,156,124,811299,558.611,0.614,2012
2012,156,170,282560,7.487,0.031,2012
2012,156,170,811299,1667.732,60.0,2012
2012,156,191,282560,2.86,0.043,2012
2012,156,203,282560,253.793,11.104,2012
2012,156,203,811292,0.477,0.008,2012
2012,156,203,811299,15.284,0.055,2012
2012,156,208,282560,1.461,0.001,2012
2012,156,251,282560,12480.368,2017.48,2012
2012,156,251,811292,221.013,0.401,2012
2012,156,251,811299,172.558,0.589,2012
2012,156,276,282560,8136.922,502.305,2012
2012,156,276,811292,6144.627,43.218,2012
2012,156,276,811299,3963.886,15.318,2012
2012,156,344,282560,1241.472,33.036,2012
2012,156,344,811292,1125.007,1.542,2012
2012,156,344,811299,492.693,1.028,2012
2012,156,348,282560,865.651,136.0,2012
2012,156,348,811299,894.803,3.721,2012
2012,156,352,811292,3.05,0.005,2012
2012,156,352,811299,3.431,0.005,2012
2012,156,360,282560,11.29,0.514,2012
2012,156,360,811299,0.683,0.085,2012
2012,156,364,282560,134.79,20.0,2012
2012,156,364,811299,20.405,0.074,2012
2012,156,372,811292,11.136,0.346,2012
2012,156,376,282560,418.525,71.25,2012
2012,156,376,811292,7.0,0.016,2012
2012,156,376,811299,273.65,0.004,2012
2012,156,380,282560,1068.362,180.09,2012
