t,i,j,k,v,q,year
2012,4,784,710812,178693.635,3.47,2012
2012,4,784,710813,138.751,0.003,2012
2012,4,784,711291,190.606,0.004,2012
2012,8,40,710812,0.808,,2012
2012,8,380,710812,156.077,0.003,2012
2012,8,380,710813,155.809,0.004,2012
2012,8,380,711299,149.9,8.329,2012
2012,12,124,261690,0.283,0.046,2012
2012,12,203,711299,70.14,2.117,2012
2012,12,380,710812,4022.218,0.066,2012
2012,12,784,710812,2821.538,0.058,2012
2012,12,792,710812,1437.646,0.022,2012
2012,20,251,710812,0.719,0.001,2012
2012,20,251,710813,47.925,0.001,2012
2012,20,251,711100,0.103,,2012
2012,20,251,711291,128.41,0.003,2012
2012,20,251,711299,0.301,0.008,2012
2012,20,276,711810,0.291,0.001,2012
2012,20,380,710812,1280.639,0.033,2012
2012,20,380,710813,1283.841,0.033,2012
2012,20,410,911320,2.772,0.004,2012
2012,20,554,711299,9.625,0.104,2012
2012,20,724,710813,425.421,0.009,2012
2012,20,724,711810,0.762,0.001,2012
2012,20,724,911320,0.638,,2012
2012,20,757,710812,925.753,0.023,2012
2012,20,757,710813,6.332,,2012
2012,20,757,711299,7.137,0.008,2012
2012,20,757,711810,5.215,0.006,2012
2012,24,784,710812,240.551,0.005,2012
2012,28,842,710812,52.623,0.001,2012
2012,28,842,711291,1016.53,0.032,2012
2012,28,842,711299,11.255,0.016,2012
2012,31,203,710813,5.29,,2012
2012,31,203,711299,152.818,7.029,2012
2012,31,268,911320,0.01,0.001,2012
2012,31,440,711299,252.649,4.244,2012
2012,31,642,261690,0.124,0.65,2012
2012,31,710,261690,0.396,0.5,2012
2012,31,757,710812,82539.01,2.197,2012
2012,31,784,710812,482.684,0.011,2012
2012,31,784,711291,138.768,0.003,2012
2012,31,826,261690,0.01,0.24,2012
2012,32,40,911120,0.189,,2012
2012,32,40,911320,0.613,0.002,2012
2012,32,56,711299,1084.253,90.685,2012
2012,32,124,710812,1748089.665,136.057,2012
2012,32,152,911320,0.148,,2012
2012,32,276,261690,746.329,7.819,2012
2012,32,276,710812,5982.848,3.125,2012
2012,32,276,711299,78.368,0.325,2012
2012,32,276,711810,1977.248,1.976,2012
2012,32,276,911320,0.073,,2012
2012,32,380,710812,418.964,0.008,2012
2012,32,410,261690,348.311,3.439,2012
2012,32,604,911320,2.701,,2012
2012,32,752,711299,1765.761,52.0,2012
2012,32,757,710812,474323.762,89.495,2012
2012,32,757,710813,24.884,0.001,2012
2012,32,757,911320,1.19,,2012
2012,32,784,911320,8.798,0.007,2012
2012,32,826,711291,18.231,0.01,2012
2012,32,826,711299,368.248,7.241,2012
2012,32,842,710812,5014.287,2.298,2012
2012,32,842,710813,169.093,0.005,2012
2012,32,842,711299,400.266,0.005,2012
2012,36,40,710812,586.253,0.01,2012
2012,36,40,710813,452.885,0.013,2012
2012,36,40,710900,557.598,0.014,2012
2012,36,40,711299,122.381,0.002,2012
2012,36,40,711810,2.656,0.001,2012
2012,36,40,911320,0.094,,2012
2012,36,56,261690,15935.744,32.866,2012
2012,36,56,711299,953.782,2.863,2012
2012,36,56,711810,2.737,,2012
2012,36,76,261690,120.962,1.416,2012
2012,36,90,711810,128.74,0.458,2012
2012,36,100,261690,1.683,0.06,2012
2012,36,100,711810,4.67,0.013,2012
2012,36,124,261690,164.596,9.889,2012
2012,36,124,710812,16176.829,0.292,2012
2012,36,124,710813,364.014,0.008,2012
2012,36,124,710900,4.449,0.002,2012
2012,36,124,711100,0.916,,2012
2012,36,124,711291,2.07,0.001,2012
2012,36,124,711299,152482.315,428.246,2012
2012,36,124,711810,25.457,0.023,2012
2012,36,124,911320,0.056,,2012
2012,36,152,261690,9.794,0.035,2012
2012,36,156,261690,173422.691,28240.924,2012
2012,36,156,284330,4.513,0.001,2012
2012,36,156,710811,76.689,0.003,2012
2012,36,156,710813,5721003.314,111.952,2012
2012,36,156,711299,4296.897,4210.736,2012
2012,36,156,711810,666.666,0.671,2012
2012,36,156,911120,3.622,0.001,2012
2012,36,170,261690,21.341,0.218,2012
2012,36,203,710812,27.454,0.001,2012
2012,36,203,710813,47.149,0.003,2012
2012,36,203,711299,973.614,1.243,2012
2012,36,203,711810,25.987,0.024,2012
2012,36,203,911120,0.185,0.001,2012
2012,36,208,710811,0.806,0.002,2012
2012,36,208,710813,0.504,0.001,2012
2012,36,208,711291,0.625,0.001,2012
2012,36,208,711810,0.126,0.001,2012
2012,36,231,711291,2.199,0.029,2012
2012,36,232,710812,1.478,,2012
2012,36,232,710813,1.478,,2012
2012,36,233,711810,0.604,,2012
2012,36,242,710811,5.965,,2012
2012,36,242,710900,1.285,0.001,2012
2012,36,242,911320,0.614,0.008,2012
2012,36,251,710811,0.684,,2012
2012,36,251,710813,5293.152,0.212,2012
2012,36,251,711810,5.533,0.002,2012
2012,36,251,911320,0.932,0.001,2012
2012,36,276,261690,44459.814,5393.345,2012
2012,36,276,710811,2.362,,2012
2012,36,276,710812,76818.422,1.386,2012
2012,36,276,710813,10888.482,0.224,2012
2012,36,276,711291,916.851,0.353,2012
2012,36,276,711299,60397.082,281.079,2012
2012,36,276,711810,96770.682,89.403,2012
2012,36,276,911320,0.093,,2012
2012,36,288,710813,2.101,,2012
2012,36,300,711810,2.067,0.001,2012
2012,36,320,711299,0.064,0.005,2012
2012,36,324,710813,9.554,0.001,2012
2012,36,344,284330,1953.972,0.036,2012
2012,36,344,710812,3347243.508,60.647,2012
2012,36,344,710813,114572.24,2.271,2012
2012,36,344,711291,75450.207,2.692,2012
2012,36,344,711299,5687.622,156.858,2012
2012,36,344,911120,13.574,0.039,2012
2012,36,344,911320,2.815,0.066,2012
2012,36,348,711810,0.695,,2012
2012,36,352,711810,0.487,0.002,2012
2012,36,360,261690,74.776,0.855,2012
2012,36,360,710811,0.581,0.002,2012
2012,36,360,710813,164.322,0.004,2012
2012,36,360,711810,0.115,0.007,2012
2012,36,372,710813,388.612,0.008,2012
2012,36,372,710900,3.967,0.003,2012
2012,36,372,711810,133.848,0.234,2012
2012,36,376,284330,2.102,,2012
2012,36,380,710812,7776.111,0.164,2012
2012,36,380,710813,223.101,0.004,2012
2012,36,380,711810,16.429,0.023,2012
2012,36,380,911120,6.937,0.009,2012
2012,36,384,710812,0.505,,2012
2012,36,392,261690,52480.871,10080.0,2012
2012,36,392,710812,12.921,0.001,2012
2012,36,392,710813,101.041,0.005,2012
2012,36,392,711291,172.998,,2012
2012,36,392,711299,33249.133,6231.225,2012
2012,36,392,711810,51.002,0.086,2012
2012,36,398,261690,8.0,1.949,2012
2012,36,410,261690,61691.985,1067.3,2012
2012,36,410,710812,229790.754,4.233,2012
2012,36,410,710813,16195.334,0.074,2012
2012,36,410,711291,753.772,,2012
2012,36,410,711299,634.401,1365.3,2012
2012,36,410,711810,0.328,0.002,2012
2012,36,410,911320,9.96,0.002,2012
2012,36,422,710812,547.906,0.01,2012
2012,36,422,711299,4.936,0.12,2012
2012,36,440,711810,5.831,0.002,2012
2012,36,446,711810,185.579,0.199,2012
2012,36,458,710813,800.986,0.088,2012
2012,36,458,711299,1259.76,1900.71,2012
2012,36,466,710813,2.364,0.001,2012
2012,36,484,261690,4772.468,868.275,2012
2012,36,484,711299,3.314,0.04,2012
2012,36,490,710813,59.357,0.011,2012
2012,36,490,711299,927.982,2930.692,2012
2012,36,528,710813,3.258,0.002,2012
2012,36,528,711299,87.676,0.152,2012
2012,36,528,711810,2652.802,2.098,2012
2012,36,554,261690,1.321,0.015,2012
2012,36,554,284330,0.746,0.002,2012
2012,36,554,710812,4187.312,0.024,2012
2012,36,554,710813,8094.489,0.143,2012
2012,36,554,710900,23.427,0.013,2012
2012,36,554,711291,15458.431,0.478,2012
2012,36,554,711299,11855.207,124.617,2012
2012,36,554,711810,271.743,0.269,2012
2012,36,554,911120,0.306,0.003,2012
2012,36,554,911320,0.958,0.004,2012
2012,36,566,711299,30.744,46.0,2012
2012,36,579,710813,1.948,0.001,2012
2012,36,579,711299,200.798,0.201,2012
2012,36,579,711810,22.651,0.022,2012
2012,36,586,711299,41.551,42.0,2012
2012,36,598,261690,3.04,0.225,2012
2012,36,598,284330,1.121,0.002,2012
2012,36,598,710813,1.292,,2012
2012,36,598,711100,0.861,0.001,2012
2012,36,598,711291,6.971,0.036,2012
2012,36,598,711299,0.267,0.012,2012
2012,36,598,911320,0.343,,2012
2012,36,604,261690,6.959,0.078,2012
2012,36,608,261690,244417.795,48250.833,2012
2012,36,608,284330,2.213,0.037,2012
2012,36,616,710813,2282.438,0.042,2012
2012,36,616,711810,74.566,0.042,2012
2012,36,616,911320,0.126,0.001,2012
2012,36,620,711810,9.864,0.008,2012
2012,36,634,710900,18.306,0.031,2012
2012,36,688,261690,2.684,2.9,2012
2012,36,688,284330,6.691,0.092,2012
2012,36,699,710812,696357.254,16.0,2012
2012,36,699,710813,2386230.881,45.741,2012
2012,36,699,711299,37.313,21.2,2012
2012,36,702,261690,5.379,,2012
2012,36,702,710811,1.197,0.025,2012
2012,36,702,710812,461.033,0.024,2012
2012,36,702,710813,1387822.825,32.808,2012
2012,36,702,711100,136.975,0.002,2012
2012,36,702,711810,2083.443,1.916,2012
2012,36,702,911120,0.004,,2012
2012,36,702,911320,0.425,0.001,2012
2012,36,703,711810,1.316,0.005,2012
2012,36,704,710812,14220.013,,2012
2012,36,704,710813,12621.066,0.723,2012
2012,36,704,711291,406.718,0.027,2012
2012,36,704,711299,20.698,40.0,2012
2012,36,705,711810,8.711,0.007,2012
2012,36,710,710813,0.521,0.001,2012
2012,36,710,711299,20180.313,41.78,2012
2012,36,710,911320,2.416,0.019,2012
2012,36,724,711810,4.166,0.015,2012
2012,36,724,911320,0.26,0.001,2012
2012,36,752,711299,237.148,3.0,2012
2012,36,752,711810,2.363,0.001,2012
2012,36,757,710811,26814.38,0.739,2012
2012,36,757,710812,441826.0,8.931,2012
2012,36,757,710813,34263.833,0.741,2012
2012,36,757,711291,201.865,0.004,2012
2012,36,757,711810,1.211,0.002,2012
2012,36,757,911320,9.43,0.001,2012
2012,36,764,710812,945418.582,16.979,2012
2012,36,764,710813,129541.393,0.735,2012
2012,36,764,711291,3.399,,2012
2012,36,764,711299,41.396,47.0,2012
2012,36,764,711810,5.54,0.039,2012
2012,36,784,710812,27762.041,0.668,2012
2012,36,784,710813,20035.655,0.421,2012
2012,36,784,711291,2460.44,0.05,2012
2012,36,784,711299,21.393,22.0,2012
2012,36,784,711810,1853.764,0.091,2012
2012,36,792,261690,0.91,0.002,2012
2012,36,792,284330,2.763,0.06,2012
2012,36,792,710812,208582.268,4.108,2012
2012,36,792,710813,201813.841,4.224,2012
2012,36,818,284330,28.489,0.944,2012
2012,36,818,711299,302.187,330.0,2012
2012,36,826,284330,13.181,0.001,2012
2012,36,826,710812,3579.82,0.121,2012
2012,36,826,710813,282153.363,5.925,2012
2012,36,826,711291,3.105,0.001,2012
2012,36,826,711299,4137.331,0.157,2012
2012,36,826,711810,575.24,2.686,2012
2012,36,834,284330,0.859,0.012,2012
2012,36,842,261690,88.548,0.003,2012
2012,36,842,284330,87.965,0.002,2012
2012,36,842,710811,7.991,0.001,2012
2012,36,842,710812,121587.302,2.394,2012
2012,36,842,710813,30954.875,0.754,2012
2012,36,842,711291,291.873,0.006,2012
2012,36,842,711299,62.514,0.002,2012
2012,36,842,711810,3084.259,2.826,2012
2012,36,842,911120,0.637,0.001,2012
2012,36,842,911320,0.003,,2012
2012,36,854,284330,3.246,0.034,2012
2012,36,854,710813,2.934,,2012
2012,36,854,711299,1.438,,2012
2012,36,882,711810,750.075,,2012
2012,40,8,710812,132.42,0.003,2012
2012,40,31,711810,89.336,0.031,2012
2012,40,32,711810,0.032,,2012
2012,40,36,710812,57.311,0.001,2012
2012,40,36,710813,2007.191,0.708,2012
2012,40,36,711810,139.966,1.318,2012
2012,40,51,710812,19580.732,0.358,2012
2012,40,51,710813,7400.878,0.145,2012
2012,40,56,710812,2.752,,2012
2012,40,56,710813,0.296,,2012
2012,40,56,711810,0.396,,2012
2012,40,70,710813,52.001,0.001,2012
2012,40,76,710812,2.781,,2012
2012,40,76,710813,4.113,0.001,2012
2012,40,76,911320,0.06,0.001,2012
2012,40,100,710812,1799.7,0.032,2012
2012,40,100,710813,1887.192,0.038,2012
2012,40,100,710900,5.096,0.009,2012
2012,40,100,711299,18.892,18.04,2012
2012,40,100,711810,24.836,0.02,2012
2012,40,100,911120,0.494,,2012
2012,40,100,911320,3.149,0.27,2012
2012,40,124,710812,53.629,0.001,2012
2012,40,124,710813,0.109,,2012
2012,40,124,711810,2.192,0.002,2012
2012,40,124,911320,0.023,,2012
2012,40,156,284330,62.988,0.021,2012
2012,40,156,911320,7.504,0.198,2012
2012,40,191,284330,15.095,,2012
2012,40,191,710813,473.831,0.008,2012
2012,40,191,710900,15.808,0.013,2012
