metal,hs_code,description
lead,260700,Lead ores and concentrates
lead,262021,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly lead: leaded gasoline sludges and leaded anti-knock compound sludges"
lead,262029,"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly lead: excluding leaded gasoline sludges and leaded anti-knock compound sludges"
lead,282410,"Lead: lead monoxide (litharge, massicot)"
lead,282490,Lead oxides: n.e.c. in heading no. 2824
lead,293110,Organo-inorganic compounds: tetramethyl lead and tetraethyl lead
lead,293190,"Organo-inorganic compounds: other than tetramethyl lead, tetraethyl lead, and tributyltin compounds"
lead,381111,Anti-knock preparations: based on lead compounds
lead,381119,Anti-knock preparations: other than those based on lead compounds
lead,701322,"Stemware drinking glasses, of lead crystal"
lead,701328,"Stemware drinking glasses, other than of lead crystal or glass-ceramics"
lead,701333,"Glassware: drinking glasses (not stemware), of lead crystal"
lead,701337,"Glassware: drinking glasses (not stemware), other than of lead crystal or glass-ceramics"
lead,701341,"Glassware of a kind used for table or kitchen purposes (not drinking glasses), of lead crystal"
lead,701391,"Glassware: n.e.c. in heading no. 7013, of lead crystal"
lead,701399,"Glassware: n.e.c. in heading no. 7013, other than of lead crystal"
lead,721020,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with lead, including terne-plate"
lead,780110,"Lead: unwrought, refined"
lead,780191,"Lead: unwrought, unrefined, containing by weight antimony as the principal other element"
lead,780199,"Lead: unwrought, unrefined, not containing by weight antimony as the principal other element"
lead,780200,Lead: waste and scrap
lead,780411,"Lead: sheets, strip and foil, of a thickness (excluding any backing) not exceeding 0.2mm"
lead,780419,"Lead: plates, sheets, strip and foil, of a thickness (excluding any backing) exceeding 0.2mm"
lead,780420,Lead: powders and flakes
lead,780600,Lead: articles n.e.c. in chapter 78
lead,850710,"Electric accumulators: lead-acid, of a kind used for starting piston engines, including separators, whether or not rectangular (including square)"
lead,850720,"Electric accumulators: lead-acid, (other than for starting piston engines), including separators, whether or not rectangular (including square)"
lead,850780,"Electric accumulators: other than lead-acid, nickel-cadmium, nickel-iron, nickel-metal hydride and lithium-ion, including separators, whether or not rectangular (including square)"
