t,i,j,k,v,q,year
2012,8,792,854590,23.31,44.0,2012
2012,8,807,854590,869.076,1662.6,2012
2012,31,268,854590,6.604,0.17,2012
2012,32,68,854590,0.839,0.008,2012
2012,32,70,854590,0.103,0.004,2012
2012,32,76,854590,0.939,0.007,2012
2012,32,152,854590,7.378,0.227,2012
2012,32,170,854590,0.576,0.04,2012
2012,32,251,854590,0.042,,2012
2012,32,276,854590,0.879,0.041,2012
2012,32,348,854590,0.507,0.002,2012
2012,32,484,854590,1.19,0.032,2012
2012,32,600,854590,2.906,0.101,2012
2012,32,604,854590,2.606,1.167,2012
2012,32,724,854590,0.077,0.001,2012
2012,32,842,854590,0.81,0.009,2012
2012,32,858,854590,2.11,0.023,2012
2012,32,862,854590,0.429,0.009,2012
2012,36,90,854590,47.399,0.61,2012
2012,36,112,854590,13.3,0.252,2012
2012,36,124,854590,3.495,0.015,2012
2012,36,152,854590,5.455,0.021,2012
2012,36,156,854590,37.659,0.06,2012
2012,36,162,854590,5.794,0.02,2012
2012,36,196,854590,12.228,0.127,2012
2012,36,242,854590,12.64,1.597,2012
2012,36,276,854590,0.392,0.002,2012
2012,36,348,854590,5.588,0.2,2012
2012,36,360,854590,0.047,0.003,2012
2012,36,380,854590,21.465,0.629,2012
2012,36,484,854590,4.879,0.01,2012
2012,36,540,854590,11.363,2.1,2012
2012,36,554,854590,126.561,5.207,2012
2012,36,566,854590,0.652,0.012,2012
2012,36,579,854590,2.999,0.154,2012
2012,36,598,854590,433.114,12.145,2012
2012,36,604,854590,1.768,0.006,2012
2012,36,702,854590,32.767,0.061,2012
2012,36,704,854590,33.012,,2012
2012,36,710,854590,2.715,0.039,2012
2012,36,752,854590,20.698,2.5,2012
2012,36,764,854590,4.015,0.042,2012
2012,36,784,854590,1.276,0.018,2012
2012,36,826,854590,13.87,0.043,2012
2012,36,842,854590,30.661,0.135,2012
2012,36,858,854590,0.037,0.005,2012
2012,40,12,854590,1.743,0.057,2012
2012,40,32,854590,1.041,0.002,2012
2012,40,36,854590,98.087,1.766,2012
2012,40,56,854590,1.693,0.016,2012
2012,40,64,854590,0.304,0.004,2012
2012,40,70,854590,1.0,0.02,2012
2012,40,76,854590,10.068,2.198,2012
2012,40,124,854590,450.484,0.003,2012
2012,40,156,854590,70.42,1.275,2012
2012,40,188,854590,0.095,0.011,2012
2012,40,191,854590,1.53,0.068,2012
2012,40,203,854590,12.07,0.054,2012
2012,40,246,854590,0.039,0.001,2012
2012,40,251,854590,63.226,1.051,2012
2012,40,276,854590,4387.913,172.678,2012
2012,40,300,854590,0.329,0.008,2012
2012,40,320,854590,2.419,0.494,2012
2012,40,340,854590,0.009,0.001,2012
2012,40,348,854590,15.453,0.14,2012
2012,40,360,854590,35.265,2.343,2012
2012,40,380,854590,169.516,2.522,2012
2012,40,392,854590,1.446,0.011,2012
2012,40,398,854590,0.1,0.042,2012
2012,40,410,854590,11.442,0.036,2012
2012,40,422,854590,0.739,0.001,2012
2012,40,442,854590,0.672,0.005,2012
2012,40,484,854590,2.092,0.002,2012
2012,40,528,854590,0.614,0.012,2012
2012,40,579,854590,2.606,0.212,2012
2012,40,586,854590,0.933,,2012
2012,40,604,854590,1.849,0.003,2012
2012,40,616,854590,8.513,0.64,2012
2012,40,620,854590,24.418,0.415,2012
2012,40,634,854590,0.221,0.004,2012
2012,40,642,854590,27.9,0.376,2012
2012,40,643,854590,28.27,4.14,2012
2012,40,682,854590,1.077,0.002,2012
2012,40,699,854590,0.258,0.005,2012
2012,40,704,854590,548.371,,2012
2012,40,705,854590,2901.719,54.085,2012
2012,40,710,854590,10.202,0.436,2012
2012,40,724,854590,0.586,0.004,2012
2012,40,752,854590,21.411,0.892,2012
2012,40,757,854590,38.801,0.534,2012
2012,40,764,854590,1.188,0.106,2012
2012,40,784,854590,0.212,0.004,2012
2012,40,792,854590,11.495,0.245,2012
2012,40,804,854590,0.177,0.003,2012
2012,40,826,854590,6.172,0.024,2012
2012,40,842,854590,28.265,0.255,2012
2012,50,586,854590,50.279,22.231,2012
2012,50,686,854590,151.468,93.161,2012
2012,56,8,854590,0.208,,2012
2012,56,12,854590,11.347,0.031,2012
2012,56,24,854590,103.527,2.9,2012
2012,56,32,854590,0.355,0.008,2012
2012,56,36,854590,16.379,0.239,2012
2012,56,40,854590,6.097,0.049,2012
2012,56,48,854590,0.015,0.001,2012
2012,56,70,854590,1.096,0.005,2012
2012,56,76,854590,6.842,0.049,2012
2012,56,100,854590,2.743,0.146,2012
2012,56,112,854590,0.856,0.001,2012
2012,56,120,854590,0.042,0.001,2012
