category,hs_code,description
connectors,851762,"Communication apparatus (excluding telephone sets or base stations): machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus"
connectors,853510,"Electrical apparatus: fuses, for a voltage exceeding 1000 volts"
connectors,853521,"Electrical apparatus: automatic circuit breakers, for a voltage exceeding 1000 volts but less than 72.5kV"
connectors,853529,"Electrical apparatus: automatic circuit breakers, for a voltage of 72.5kV or more"
connectors,853530,"Electrical apparatus: isolating and make-and-break switches, for a voltage exceeding 1000 volts"
connectors,853540,"Electrical apparatus: lightning arresters, voltage limiters and surge suppressors (for a voltage exceeding 1000 volts)"
connectors,853590,"Electrical apparatus: n.e.c. in heading no. 8535, for switching or protecting electrical circuits, for a voltage exceeding 1000 volts"
connectors,853610,"Electrical apparatus: fuses, for a voltage not exceeding 1000 volts"
connectors,853620,"Electrical apparatus: automatic circuit breakers, for a voltage not exceeding 1000 volts"
connectors,853630,"Electrical apparatus: for protecting electrical circuits, n.e.c. in heading no. 8536, for a voltage not exceeding 1000 volts"
connectors,853641,"Electrical apparatus: relays, (for a voltage not exceeding 60 volts)"
connectors,853649,"Electrical apparatus: relays, for a voltage exceeding 60 volts"
connectors,853650,"Electrical apparatus: switches n.e.c. in heading no. 8536, for a voltage not exceeding 1000 volts"
connectors,853661,"Electrical apparatus: lamp-holders, for a voltage not exceeding 1000 volts"
connectors,853669,"Electrical apparatus: plugs and sockets, for a voltage not exceeding 1000 volts"
connectors,853690,"Electrical apparatus: n.e.c. in heading no. 8536, for switching or protecting electrical circuits, for a voltage not exceeding 1000 volts"
connectors,853710,"Boards, panels, consoles, desks and other bases: for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage not exceeding 1000 volts"
connectors,853720,"Boards, panels, consoles, desks and other bases: for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage exceeding 1000 volts"
connectors,853810,"Electrical apparatus: parts (e.g. boards, panels, consoles, desks, cabinets, other bases), for goods of heading no. 8537, not equipped with their apparatus"
connectors,853890,"Electrical apparatus: parts suitable for use solely or principally with the apparatus of heading no. 8535, 8536 or 8537"
connectors,854110,"Electrical apparatus: diodes, other than photosensitive or light emitting diodes"
connectors,854121,"Electrical apparatus: transistors, (other than photosensitive), with a dissipation rate of less than 1W"
connectors,854129,"Electrical apparatus: transistors, (other than photosensitive), with a dissipation rate of 1W or more"
connectors,854130,"Electrical apparatus: thyristors, diacs and triacs, other than photosensitive devices"
connectors,854140,"Electrical apparatus: photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes"
connectors,854150,"Electrical apparatus: photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels"
connectors,854190,"Electrical apparatus: parts for diodes, transistors and similar semiconductor devices and photosensitive semiconductor devices"
