category,hs_code,description
semiconductors,848610,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers
semiconductors,848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits
semiconductors,848640,"Machines and apparatus of a kind used solely or principally for the manufacture or repair of masks and reticles, assembling semiconductor devices or electronic integrated circuits, or for lifting, handling, loading or unloading items of heading 8486"
semiconductors,851981,"Sound recording or reproducing apparatus: using magnetic, optical or semiconductor media, n.e.c. in item no 8519.20, 8519.30 or 8519.50"
semiconductors,852351,"Semiconductor media: solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37"
semiconductors,852352,"Semiconductor media: smart cards, whether or not recorded, excluding products of Chapter 37"
semiconductors,852359,"Semiconductor media: other than smart cards, whether or not recorded, excluding products of Chapter 37"
semiconductors,854150,"Electrical apparatus: photosensitive semiconductor devices n.e.c. in heading no. 8541, including photovoltaic cells, whether or not assembled in modules or made up into panels"
semiconductors,854190,"Electrical apparatus: parts for diodes, transistors and similar semiconductor devices and photosensitive semiconductor devices"
semiconductors,854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits"
semiconductors,854232,Electronic integrated circuits: memories
semiconductors,854233,Electronic integrated circuits: amplifiers
semiconductors,854239,Electronic integrated circuits: n.e.c. in heading no. 8542
semiconductors,854290,Parts of electronic integrated circuits
semiconductors,903082,Instruments and apparatus: for measuring or checking semiconductor wafers or devices
semiconductors,903141,"Optical instruments and appliances: for inspecting semiconductor wafers or devices or for inspecting photomasks or reticles used in manufacturing semiconductor devices, n.e.c. in chapter 90"
