category,hs_code,description
storage_devices,481960,"Paper and paperboard: box files, letter trays, storage boxes and similar articles, used in offices, shops or the like of paper, paperboard, cellulose wadding or webs of cellulose fibres"
storage_devices,841850,"Furniture incorporating refrigerating or freezing equipment: for storage and display, n.e.c. in item no. 8418.1, 8418.2, 8418.3 or 8418.4 (chests, cabinets, display counters, show-cases and the like)"
storage_devices,841919,"Heaters: instantaneous or storage water heaters, non-electric, other than instantaneous gas water heaters"
storage_devices,847150,"Units of automatic data processing machines: processing units other than those of item no. 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit: storage units, input units or output units"
storage_devices,847160,"Units of automatic data processing machines: input or output units, whether or not containing storage units in the same housing"
storage_devices,847170,Units of automatic data processing machines: storage units
storage_devices,851610,"Heaters: electric, instantaneous or storage water and immersion heaters"
storage_devices,851621,Heating apparatus: electric storage heating radiators
storage_devices,851629,Heating apparatus: electric soil heating apparatus and space heating apparatus (excluding storage heating radiators)
storage_devices,852351,"Semiconductor media: solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37"
