t,i,j,k,v,q,year
2012,12,792,853221,10.229,0.045,2012
2012,20,76,853221,75.6,0.083,2012
2012,24,156,261590,31.425,19.3,2012
2012,31,76,853221,0.06,,2012
2012,32,76,853221,0.005,,2012
2012,32,214,261590,45.5,1.046,2012
2012,32,218,853221,0.075,0.004,2012
2012,32,858,853221,0.157,0.007,2012
2012,36,104,810390,0.364,0.001,2012
2012,36,124,853221,5.457,0.029,2012
2012,36,156,261590,0.642,0.012,2012
2012,36,156,853221,10.576,0.013,2012
2012,36,203,810390,0.026,0.001,2012
2012,36,203,853221,18.885,0.039,2012
2012,36,251,853221,0.442,0.004,2012
2012,36,344,810390,201.138,0.56,2012
2012,36,344,853221,8.138,0.114,2012
2012,36,348,853221,2.694,0.001,2012
2012,36,360,261590,72.0,24.462,2012
2012,36,392,810330,9.676,0.039,2012
2012,36,410,853221,0.9,0.004,2012
2012,36,450,261590,0.356,0.005,2012
2012,36,528,261590,0.072,0.001,2012
2012,36,554,261590,33.249,92.76,2012
2012,36,554,810390,0.148,0.002,2012
2012,36,554,853221,2.645,0.008,2012
2012,36,598,261590,0.099,1.0,2012
2012,36,598,810390,11.499,0.058,2012
2012,36,598,853221,0.226,,2012
2012,36,608,810320,13.469,0.103,2012
2012,36,702,853221,9.12,0.048,2012
2012,36,703,853221,2.887,0.001,2012
2012,36,704,853221,1.908,,2012
2012,36,764,261590,41938.117,12185.845,2012
2012,36,764,810390,7.37,0.001,2012
2012,36,764,853221,0.292,0.001,2012
2012,36,784,853221,0.583,0.001,2012
2012,36,826,261590,103752.327,54566.063,2012
2012,36,842,853221,1.936,0.013,2012
2012,40,32,853221,0.094,,2012
2012,40,56,261590,52.488,0.299,2012
2012,40,56,810390,32.724,0.024,2012
2012,40,56,853221,27.361,0.279,2012
2012,40,76,810390,2.785,0.002,2012
2012,40,76,853221,0.021,,2012
2012,40,100,853221,0.171,0.007,2012
2012,40,124,810390,11.402,0.054,2012
2012,40,124,853221,0.001,,2012
2012,40,156,810390,110.313,0.053,2012
2012,40,156,853221,391.052,0.823,2012
2012,40,191,853221,0.026,0.002,2012
2012,40,203,810320,2.146,0.003,2012
2012,40,203,810390,460.519,1.293,2012
2012,40,203,853221,17.608,0.047,2012
2012,40,208,810390,11.666,0.022,2012
2012,40,246,810390,150.368,0.105,2012
2012,40,246,853221,0.004,,2012
2012,40,251,810390,605.711,0.344,2012
2012,40,251,853221,28.778,0.076,2012
2012,40,276,810320,164.038,0.305,2012
2012,40,276,810330,3533.797,13.393,2012
2012,40,276,810390,822.24,0.416,2012
2012,40,276,853221,343.894,1.45,2012
2012,40,344,853221,262.948,,2012
2012,40,348,810390,145.075,0.107,2012
2012,40,348,853221,186.874,2.104,2012
2012,40,360,810320,8191.066,17.723,2012
2012,40,376,810390,289.0,0.435,2012
2012,40,376,853221,2.0,0.006,2012
2012,40,380,261590,1.025,0.05,2012
2012,40,380,810390,30.214,0.017,2012
2012,40,392,810390,6670.932,7.073,2012
2012,40,392,853221,0.453,0.001,2012
2012,40,410,810390,413.582,0.367,2012
2012,40,410,853221,146.932,0.817,2012
2012,40,458,853221,0.003,,2012
