UNU-KEY,UNU Key Description,HS,HS Description
0101,Professional Heating & Ventilation (excl. cooling equipment),845110,Dry-cleaning machines
0101,Professional Heating & Ventilation (excl. cooling equipment),845130,Ironing machines and presses including fusing presses
0102,Dishwashers,842211,Dish washing machines (domestic)
0103,"Kitchen (f.i. large furnaces, ovens, cooking equipment)",851660,"Electric cooking, grilling & roasting equipment nes"
0104,Washing Machines (incl. combined dryers),845011,"Automatic washing machines, of a dry capacity < 10 kg"
0104,Washing Machines (incl. combined dryers),845012,"Washing machines nes, capacity <10 kg, built-in drier"
0104,Washing Machines (incl. combined dryers),845019,"Household/laundry-type washing machines <10 kg, nes"
0104,Washing Machines (incl. combined dryers),845020,"Household or laundry-type washing machines, cap >10kg"
0105,"Dryers (wash dryers, centrifuges)",842112,"Clothes-dryers, centrifugal"
0105,"Dryers (wash dryers, centrifuges)",845121,"Drying machines, capacity <10 kg, except washer-drier"
0105,"Dryers (wash dryers, centrifuges)",845129,"Drying machines, nes"
0106,"Household Heating & Ventilation (f.i. hoods, ventilators, space heaters)",841460,Ventilating hoods having a maximum width < 120 cm
0106,"Household Heating & Ventilation (f.i. hoods, ventilators, space heaters)",851621,Electric storage heating radiators
0106,"Household Heating & Ventilation (f.i. hoods, ventilators, space heaters)",851629,Electric space heating nes and soil heating apparatus
0108,Fridges (incl. combi-fridges),841821,"Refrigerators, household compression type"
0108,Fridges (incl. combi-fridges),841822,"Refrigerators, household absorption type, electric"
0108,Fridges (incl. combi-fridges),841829,"Refrigerators, household type, including non-elecctri"
0109,Freezers,841830,"Freezers of the chest type, < 800 litre capacity"
0109,Freezers,841840,"Freezers of the upright type, < 900 litre capacity"
0111,Air Conditioners (household installed and portable),841510,"Air conditioners window/wall types, self-contained"
0111,Air Conditioners (household installed and portable),841581,Air conditioners nes with reverse cycle refrigeration
0111,Air Conditioners (household installed and portable),841582,"Air conditioners nes, with refrigerating unit"
0112,"Other Cooling (f.i. dehumidifiers, heat pump dryers)",841861,Compression refrigeration equipment with heat exchang
0113,"Professional Cooling (f.i. large airconditioners, cooling displays)",841583,"Air conditioners nes, without refrigerating unit"
0113,"Professional Cooling (f.i. large airconditioners, cooling displays)",841850,Refrigerator/freezer chests/cabinets/showcases
0113,"Professional Cooling (f.i. large airconditioners, cooling displays)",841869,Refrigerating or freezing equipment nes
0114,"Microwaves (incl. combined, excl. grills)",851650,Microwave ovens
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",630110,Electric blankets of textile material
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",841451,"Table, window, ceiling fans, electric motor <125 watts"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",842310,"Personal weighing machines, baby & household scales"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",845210,Household type sewing machines
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",850930,Domestic kitchen waste disposers
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",850980,"Domestic appliances, with electric motor, nes"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",851640,Electric smoothing irons
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",910111,"Wrist-watch, precious metal, battery, with hands"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",910112,"Wrist-watch, precious metal, battery, opto/electric"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",910119,"Wrist-watch, precious metal, battery, other"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",910191,"Pocket-watch, precious-metal case, battery"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",910211,"Wrist-watch, base-metal case, battery, with hands"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",910212,"Wrist-watch, base-metal case, battery, opto/electric"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",910219,"Wrist-watch, base-metal case, battery, other"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",910291,"Pocket-watch, base-metal case, battery"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",910310,"Clocks with watch movements, battery (except vehicle)"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",910390,"Clocks with watch movements, nes (except vehicle)"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",910511,"Alarm clocks, battery or mains powered"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",910521,"Wall clocks, battery or mains powered"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",910591,"Clocks, nes, battery or mains powered"
0201,"Other Small Household (f.i. small ventilators, irons, clocks, adapters)",910700,Time switches
