,tin,antimony,silver,copper,cobalt,gold,lead,zinc,nickel,tungsten,aluminium,Rare Earths (REEs),tantalum
Albania,11.44,956.157,29.001,236455.39,59.534,29.001,1.326,150778.102,3455225.9620000003,0.0,0.0,0.0,0.0
Argentina,258.39549999999997,0.013000000000000001,38365.873,2258263.417,0.161,38365.873,378560.826,315094.379,0.869,64.297,432.411,0.0183,1.6238400000000002
Australia,84005.3885,124608.95700000001,2671577.49,22727870.032,939.9,2671577.49,3980307.763,26308942.592,2686361.055,2374.0405,288695267.057,88699.9332,175934.37717
Austria,15.9175,826.913,2062.388,1809.106,14332.603,2062.388,349.545,8542.479000000001,32.729,1629.441,46757.09099999999,528.2073,664.4897100000001
Bahamas,25.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,37.5,7.523,0.0,0.0
Armenia,0.0005,0.0,146633.715,6548960.004,0.0,146633.715,81.829,156165.766,0.003,5.2465,635.399,0.0,187.83453
Barbados,0.0,0.0,0.0,132.225,0.0,0.0,0.0,0.004,0.0,0.0,0.0,1.5936000000000001,83.7624
Belgium,2760.307,2182.375,9955.748,92682.42700000001,2179.957,9955.748,276881.356,4591576.788,7114.539,729.344,70787.922,241.0527,1395.3798900000002
Bolivia (Plurinational State of),11568.3305,20414.373,22462.347,344184.269,0.0,22462.347,1714863.275,9152151.039,7.276000000000001,12823.024,10000.043,0.0,143.39721
Bosnia Herzegovina,0.0055,36.405,0.0,823.701,0.0,0.0,154770.539,199491.131,27.0,1.585,536119.805,0.0,0.0
Brazil,26512.991,0.159,171348.035,12759269.119,779.504,171348.035,232785.46600000001,95846.325,771121.051,2431.8355,83276236.368,1.0506,7552.29063
Bulgaria,0.321,7319.99,968512.81,2985177.496,0.612,968512.81,173619.58,52138.305,3.697,0.018000000000000002,46037.673,8.6382,5.11071
Myanmar,10003.6865,113039.439,21859.906,187614.47,14.75,21859.906,757084.124,625286.024,5853.308,3386.7785,187.002,4.9559999999999995,18.95721
Burundi,885.244,0.0,1.4349999999999998,270.001,0.0,1.4349999999999998,91.975,0.0,4.065,1059.5304999999998,0.0,255.30899999999997,1826.20443
