,tin,antimony,silver,copper,cobalt,gold,lead,zinc,nickel,tungsten,aluminium,Rare Earths (REEs),tantalum
Albania,7.379,222.659,0.42300000000000004,313340.607,163.614,0.42300000000000004,2.5709999999999997,32171.332000000002,82476.617,0.0,0.0,0.0,0.0
Argentina,1392.877,0.405,279721.198,5408314.299,11.443999999999999,279721.198,1044401.644,293370.438,7.579,1503.7959999999998,488.687,0.44639999999999996,70.64061
Australia,890303.698,578472.708,11113766.286,58458330.827,4962.464,11113766.286,7961420.992,19794248.204,4622077.758,32532.7885,13331909.858,287071.9935,235264.83498
Austria,339.3985,5719.4580000000005,17694.316,3399.781,133998.505,17694.316,285.356,10955.502,708.905,1701.2079999999999,16981.402,7947.9261,4009.05696
Bahamas,0.0785,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.066,4.78,0.0,0.0
Armenia,0.003,0.0,500696.789,8599459.978,0.0,500696.789,226.264,182388.082,0.111,4.7905,38.125,0.0,331.70553
Barbados,0.005,0.0,0.0,523.528,0.0,0.0,0.0,1.474,0.0,0.0,0.0,0.45209999999999995,48.26946
Belgium,18364.6445,9481.993,149456.54200000002,120668.762,15296.011,149456.54200000002,416094.909,4884651.046,13560.792,4709.7465,38205.466,2456.8992000000003,5884.16937
Bolivia (Plurinational State of),132403.3735,90053.524,202774.049,382351.164,0.0,202774.049,2784912.932,12510111.7,5.12,165929.01,1963.2279999999998,0.0,2647.1034900000004
Bosnia Herzegovina,0.2675,112.265,0.0,3159.891,0.0,0.0,258095.887,139525.788,0.411,0.734,29159.273,0.0,0.0
Brazil,172722.468,2.572,422674.256,28029199.387,1759.838,422674.256,219931.40300000002,73145.872,1394599.771,32555.612,3310700.051,25.995899999999995,230778.94434000002
Bulgaria,1.2954999999999999,19601.24,6737866.068,3477644.248,6.658,6737866.068,264798.458,56944.288,55.711999999999996,0.025,1341.311,17.1942,83.01882
Myanmar,98427.696,197364.238,18916.718999999997,182700.555,20.25,18916.718999999997,600513.3859999999,394231.796,32487.536,22763.030499999997,135.001,14.564099999999998,344.67636
Burundi,11257.341,0.0,8.267999999999999,52.293,0.0,8.267999999999999,97.867,0.0,12.322,11756.9345,0.0,584.0120999999999,50791.03056
Cameroon,0.47050000000000003,0.0,12062.46,0.001,5.188000000000001,12062.46,449.42,0.0,0.0,0.3265,272.242,0.0,26.317020000000003
Canada,1081.434,75892.36,2935242.334,36884459.598,8457.607,2935242.334,359426.662,1199408.365,1715677.129,163824.906,34900.159,2929.5528000000004,28051.63506
Sri Lanka,0.3455,0.0,8309.287,51.346000000000004,0.0,8309.287,827.711,407.081,0.0,0.0,42.596000000000004,0.039,6434.588400000001
Chile,1255.6074999999998,6442.444,593515.489,223954637.531,1.1340000000000001,593515.489,442630.115,2074312.589,1.05,732.711,19.804,6.0888,9.435
China,43887.862,79686.569,26188.226,210874.431,16201.100999999999,26188.226,70898.746,60864.207,31286.114999999998,38557.7275,2917125.941,592148.4294,23596.6596
Colombia,2258.5924999999997,0.673,681710.314,561220.445,27.005,681710.314,2420.337,4013.5330000000004,10.634,3161.5370000000003,213.069,0.44999999999999996,1391.87415
Congo,442949.4665,0.0,74.027,142584.36800000002,41282.734,74.027,8387.397,69815.77,0.072,2064.686,50.828,0.0,186842.92221000002
Dem. Rep. of the Congo,543416.3395,23300.074,780.421,12821276.993,4357703.295,780.421,7541.478,16495.957,64.313,7202.764,0.0,0.026699999999999998,275156.10066
Costa Rica,8.562999999999999,0.0,2655.551,0.277,0.0,2655.551,0.271,30.873,0.0,0.0,33.666,0.047099999999999996,2.25471
Croatia,0.0015,0.0,1309.132,146488.54499999998,50.999,1309.132,1526.78,526.767,14.701,17.3755,6959.327,0.024,9.020370000000002
Czechia,3.745,272.78000000000003,241.594,178.315,13.15,241.594,813.0419999999999,239.136,13676.511,410.7095,6112.601,122.8701,6499.18806
Denmark,6.5809999999999995,20.338,82.122,172.293,16.033,82.122,373.017,5004.776,7.314,102.112,17259.532,11.340300000000001,550.58121
Ethiopia,0.0415,0.0,1823.0590000000002,672.367,0.0,1823.0590000000002,545.9780000000001,1101.167,463.447,0.0,0.034,0.0,60779.61924
Estonia,0.2625,1.6569999999999998,530.952,8563.959,0.0,530.952,1602.205,99.635,36.989000000000004,1087.4334999999999,1424.948,19192.942799999997,918.19176
Finland,0.005,22.345,1067689.75,1126323.286,338.42999999999995,1067689.75,163661.169,564696.331,2080844.42,396.0045,100.016,13.488299999999999,2.3077500000000004
France,11130.8195,167.149,93158.546,174948.565,3010.237,93158.546,3484.418,897014.504,7853.745,4385.879,51846.752,1362.8916,4667.76531
Gabon,18.4385,0.0,4714.063,402.21700000000004,0.0,4714.063,796.81,0.0,0.0,0.0,335.846,0.0,6.25515
Germany,3501.657,224.486,1579171.472,296629.936,19521.237,1579171.472,401401.902,1023843.958,61371.901,11206.3295,268975.337,2854.8867,105483.64017000001
Greece,35.9815,11.082,579800.9,6904.011,0.011,579800.9,436086.649,384010.775,2057.3489999999997,0.149,252788.398,243.2373,0.07854
Guinea,48.333,0.0,3494.4410000000003,0.0,0.0,3494.4410000000003,0.0,1.64,32032.487999999998,2.507,32751394.425,0.0,241.02497999999997
Guyana,85.263,5.139,8.019,0.002,7.623,8.019,0.0,0.0,0.0,0.0,1772919.28,98.7102,34.1751
Honduras,4.713,4085.511,342.593,3420.8179999999998,0.733,342.593,344188.578,395589.379,0.0,0.0,204.60600000000002,0.0,0.012750000000000001
"China, Hong Kong SAR",9940.695,487.546,5395.4220000000005,59995.406,7092.338000000001,5395.4220000000005,15352.731,4025.177,3102.379,20740.306999999997,25893.681,27067.8588,77209.62267000001
Hungary,287.555,0.005,2.326,475.13100000000003,10.291,2.326,948.095,6608.357,3381.666,1.186,14432.037,30.057900000000004,72.4914
Indonesia,61992.680499999995,129.741,1368584.308,48001452.061000004,1573.165,1368584.308,192887.401,272639.841,6335860.913,1130.5365,6521155.137,19.7325,1340.5095
