,tin,silver,copper,aluminium,gold,nickel,cobalt,tantalum,Rare Earths (REEs),lithium
Afghanistan,324.17,194.231,379.848,1130.499,2548524.591,327.022,0.0,0.0,0.0,0.0
Albania,8.471,1385.486,313445.51,12007.955,54306.073,83315.087,285.23199999999997,0.0,0.0,0.0
Algeria,6.3309999999999995,79.50200000000001,5326.844,0.524,36139.679,0.001,0.0,0.00051,0.0,0.0
Andorra,3.6774999999999998,1429.416,111.07600000000001,1813.538,72783.14,27.756,212.883,0.0,0.0,0.0
Angola,0.10200000000000001,1.265,13951.776,2983.4809999999998,123141.743,12.835,0.445,22.78323,0.0396,0.0
Antigua and Barbuda,0.003,141.22,0.049,0.007,5757.539000000001,0.007,0.002,0.0,0.0,19.491
Azerbaijan,0.005,14191.712,332017.084,725262.7390000001,1718554.615,2137.12,0.001,0.0,0.0,0.0
Argentina,1486.82,6010933.898,5410010.578,4584048.657,25095691.423,445.273,93.828,70.64061,0.44639999999999996,3039552.403
Australia,919057.7825,13732296.549,92583178.496,45532823.797,172527353.912,30298211.018,1882789.758,235589.41275000002,287071.9935,4588.513
Austria,11846.2975,427536.725,5797765.706,172127.118,7222307.3950000005,137976.512,158677.719,43650.90765,7947.9261,9638.965
Bahamas,0.079,20.195,15.39,199567.66999999998,2451.33,9841.261999999999,20802.474000000002,0.0,0.0,0.0
Bahrain,9.9325,2621.8070000000002,1297.93,7110098.99,1218973.795,0.032,31.491,103.275,0.0,0.0
Bangladesh,0.5375,579.108,561.9549999999999,64.39,12843.469000000001,457.874,6.157,2.3771099999999996,0.0231,0.003
Armenia,0.003,545135.084,8599487.178,1639.652,3943676.504,143.861,0.0,331.70553,0.0,0.257
Barbados,0.005,508.045,554.522,0.001,65757.26599999999,0.0,0.0,48.26946,0.45209999999999995,0.0
Belgium,1305364.124,5556685.83,15917941.453,1127072.928,19083944.777,1229953.992,1222255.581,6132.72654,2456.8992000000003,564380.754
Bhutan,0.0095,0.0,36774.346999999994,0.046,2.341,0.026,0.002,5.86551,0.0,0.0
Bolivia (Plurinational State of),2630536.343,9216458.297,548878.204,2119.583,16952123.107,637.6329999999999,0.04,2647.1034900000004,0.0,64301.186
Bosnia Herzegovina,0.30750000000000005,4666.209,14493.332,495418.482,22180.014000000003,7.457999999999999,0.009,0.0,0.0,0.0
Botswana,0.257,3380.8050000000003,1671782.848,748.004,343550.156,2977.493,47.998,37.183080000000004,0.0,0.0
Brazil,1400243.1275,623211.632,32568878.269,10074654.037,26820832.808000002,2578172.127,145521.804,231325.99431,25.995899999999995,10004.402
Belize,1478.0784999999998,48.147,10.183,2280.602,205.731,172.71400000000003,116.083,0.0,0.0,0.0
Br. Indian Ocean Terr.,2357.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Br. Virgin Isds,343.474,0.0,1650.7559999999999,1730.21,8417.178,27.329,0.018,0.0,0.0,0.0
Bulgaria,10965.781500000001,7137092.649999999,22388409.813,50870.226,7092304.908,3383.195,848.467,159.91356,17.1942,64.957
Myanmar,138506.313,49242.159,4853293.541,8075.587999999999,19801.232,32487.553,20.252,344.67636,14.564099999999998,19.682000000000002
Burundi,11257.341,8.267999999999999,52.293,0.001,1491205.267,12.322,0.0,50791.03056,584.0120999999999,0.0
Belarus,355.953,17236.502,18437.421000000002,18886.203,150625.494,553.441,265.65700000000004,325.33308,0.0003,0.502
Cambodia,183.147,14474.547,135023.26100000003,5986.999,6475935.839,0.417,6.9910000000000005,0.74613,0.0,3.961
